year,mêmes_ADJ anneaux_NOUN,mêmes_ADJ canaux_NOUN
1800,2.829747991484055e-08,7.860410988769218e-08
1801,1.6668277424969347e-08,1.4287095950749062e-08
1802,2.0140561218795483e-08,6.042168365638645e-08
1803,9.55666195068261e-08,2.7304748684287006e-08
1804,2.2246657849223084e-08,8.404293083685843e-08
1805,6.822906328807221e-08,1.1371511021707192e-07
1806,8.645007376628655e-09,2.0171682990621775e-08
1807,1.1387820464392462e-08,3.701041606518629e-08
1808,2.2660739062985158e-08,6.118399653587403e-08
1809,3.840352036377226e-08,4.969867006821005e-08
1810,4.680253518074551e-09,1.8721014072298203e-08
1811,2.5070767684098882e-09,6.016983888912364e-08
1812,5.3344164641089264e-09,4.267533171287141e-08
1813,0.0,4.888760685162197e-08
1814,3.776012391654149e-08,1.5733386149463513e-08
1815,1.8880564667256294e-08,9.170560133497929e-08
1816,2.0394914201915526e-07,1.1819779643928996e-07
1817,2.9580593974287694e-08,5.1376822796100896e-08
1818,4.768470951432846e-09,3.099506074022429e-08
1819,1.7596784473994376e-08,5.072014630513877e-08
1820,0.0,1.779972080839798e-08
1821,1.3806083387635226e-08,2.9584464655840748e-08
1822,4.511527151862538e-08,5.213320264374488e-08
1823,1.680056804787e-08,7.214361374963119e-08
1824,3.3684450784221553e-08,3.789500624407083e-08
1825,6.163809906922779e-09,8.277116592125822e-08
1826,1.3211976401805714e-08,5.460950447400137e-08
1827,1.2904182611350734e-08,4.977327350275118e-08
1828,2.2013523448549677e-08,9.172300963200541e-08
1829,9.430493719264632e-09,9.259029809527419e-08
1830,3.861629238599562e-08,5.5315229730013016e-08
1831,3.1182412207897414e-09,7.171954763407484e-08
1832,3.788391467196561e-08,6.22378593106987e-08
1833,1.9692167896323554e-08,4.170106393530659e-08
1834,9.334531370086552e-09,4.29388435918554e-08
1835,1.8151411040889798e-08,2.7983425354705105e-08
1836,1.8146025126952736e-08,4.2340726480460944e-08
1837,4.174734336004349e-09,4.940102726891382e-08
1838,2.209256599883247e-08,2.840472923537618e-08
1839,2.7965899818127582e-08,7.410963576148788e-08
1840,1.8472096741106725e-08,9.363442643461894e-08
1841,4.494383976094696e-09,4.943822418113086e-08
1842,1.6770663080478698e-08,5.9032732480091e-08
1843,2.953455480181333e-09,4.016699506337318e-08
1844,1.5367971784030487e-08,3.2931367854871496e-08
1845,8.37034175305007e-09,5.245414413934668e-08
1846,1.2294452567118697e-08,5.854501239355159e-08
1847,1.3483059113639229e-08,3.343798482546845e-08
1848,0.0,3.459445352405055e-08
1849,1.1731181359664333e-08,5.865590324560799e-08
1850,3.2587180953669304e-08,6.517436190733861e-08
1851,1.483370937194195e-08,4.9660677348128957e-08
1852,1.3672145193766028e-08,2.4740073101270355e-08
1853,1.3138249599364826e-08,3.702597695109944e-08
1854,8.313063126763609e-09,3.221311928314208e-08
1855,2.1227748447927297e-09,3.3964397516683675e-08
1856,9.836659486950339e-09,4.4523826403519706e-08
1857,1.4156376515472857e-08,1.8549734193129552e-08
1858,1.468102794888182e-08,5.970284888690003e-08
1859,2.49516496353408e-08,4.277425702525761e-08
