year,vous_PRON ouvrez_VERB,vous_PRON couvrez_VERB
1800,2.1694734186894493e-07,1.006132670511306e-07
1801,2.3573707075286165e-07,9.762848662830947e-08
1802,1.2308120744819462e-07,1.3427040812530322e-07
1803,1.2872238741579167e-07,1.5602713077100816e-07
1804,2.4471324167052444e-07,1.6314216111368296e-07
1805,1.705726573320021e-07,1.8478705676727714e-07
1806,8.645007554264339e-08,1.9883516522156697e-07
1807,1.395007984683616e-07,1.3665384290817428e-07
1808,9.290903335568146e-08,1.5862518409903714e-07
1809,1.1521055931495994e-07,1.0843346531785869e-07
1810,2.2699229162981283e-07,1.3104709495337374e-07
1811,1.1783260944753238e-07,8.022645658911642e-08
1812,1.7070133040419933e-07,6.401299534886107e-08
1813,1.2078115219082974e-07,7.764502107932003e-08
1814,1.982406629963407e-07,7.237357380063258e-08
1815,2.319612200096799e-07,1.4295284778143014e-07
1816,1.413738370814599e-07,8.575134380350846e-08
1817,1.868248027392383e-07,1.3856172653703425e-07
1818,2.7537919677911304e-07,6.437435451367435e-08
1819,1.8321358119521847e-07,1.0661581539839204e-07
1820,1.768105697408373e-07,2.052901226790027e-07
1821,2.356895763000466e-07,1.7947908836912774e-07
1822,1.5339192316332628e-07,1.7043547018147365e-07
1823,1.6998220786490492e-07,1.373693505613005e-07
1824,1.4231680012244396e-07,1.1200080152207192e-07
1825,1.8667538981276266e-07,1.6554232873389196e-07
1826,1.726364864396146e-07,1.145037975547325e-07
1827,1.6038055328237988e-07,1.0968554664536612e-07
1828,1.8528048428834154e-07,8.163348041989593e-08
1829,1.714635171623513e-07,7.372931642990466e-08
1830,1.878630406793036e-07,1.335914960876039e-07
1831,1.9644920001837818e-07,1.730623901963213e-07
1832,2.0430253044878555e-07,6.223785775638646e-08
1833,2.0271349576717057e-07,1.1931137677834158e-07
1834,1.5028594635424497e-07,8.961149511321764e-08
1835,2.2235479235632738e-07,9.378229037793062e-08
1836,2.5270020032053253e-07,1.1290860379986611e-07
1837,1.8716726479794943e-07,6.540417429867773e-08
1838,1.8179025573772378e-07,9.341999263057232e-08
1839,1.5311331402756423e-07,1.1466019067540856e-07
1840,1.8790582068106687e-07,7.197747908804786e-08
1841,2.292135832249187e-07,5.971110139668667e-08
1842,2.2673935617945062e-07,8.787827177059171e-08
1843,1.978815262759781e-07,9.037573978076807e-08
1844,2.2667757448857628e-07,8.232841608446506e-08
1845,2.0144622503437404e-07,8.426144448847595e-08
1846,1.937839968491062e-07,9.659927258098833e-08
1847,2.2274014099821215e-07,8.305564502819607e-08
1848,1.777994036444852e-07,5.470750963354476e-08
1849,1.7680565278510585e-07,8.211826596493665e-08
1850,2.3761485579143482e-07,7.807345436816604e-08
1851,2.1218653500909568e-07,9.738652484436727e-08
1852,1.7838894983412956e-07,7.031389381850772e-08
1853,2.0364287678376058e-07,1.1585547543546681e-07
1854,3.444725535928228e-07,1.626242998042926e-07
1855,2.96657795217925e-07,1.2683580052907928e-07
1856,2.003572241449092e-07,1.2580569608289238e-07
1857,1.9526036787453904e-07,9.616572693715852e-08
1858,2.2706656466198183e-07,1.0129909711054097e-07
1859,1.7415233344308945e-07,6.619825243525668e-08
1860,2.1512763836994964e-07,8.376246807273446e-08
1861,2.2919583919644992e-07,6.649508543787874e-08
1862,1.902072259696297e-07,7.81611655398251e-08
1863,2.1976330977224734e-07,1.0288918605994013e-07
1864,2.531616303258488e-07,8.438721277315153e-08
1865,2.4663864195417773e-07,6.542513864005173e-08
1866,2.0435574299426662e-07,7.736324381113491e-08
1867,2.761249717764258e-07,5.968958305402339e-08
1868,1.7487153769479846e-07,9.97854536777254e-08
1869,1.7873680135949144e-07,1.0108884751502956e-07
1870,2.0355873786570555e-07,7.511603783427745e-08
1871,1.6250401557726946e-07,9.240424425627225e-08
1872,1.9714326171538232e-07,4.777398121547094e-08
1873,2.0951015855530386e-07,1.2510749058947113e-07
1874,1.505601456841532e-07,4.301718714572189e-08
1875,2.557522620350028e-07,7.266339707712177e-08
1876,1.6868381891299578e-07,8.706261023228024e-08
1877,1.9049233657142395e-07,5.999271435186415e-08
1878,1.696983886745329e-07,2.9591534445039258e-08
1879,2.0588426252743375e-07,7.69775014841656e-08
1880,2.0472929662673778e-07,4.556670862854162e-08
1881,1.8267970247620724e-07,6.484432146791619e-08
