year,cavaliers_NOUN couverts_ADJ
1800,9.432493897065797e-09
1801,9.524730337773235e-09
1802,2.2378401354217203e-08
1803,0.0
1804,0.0
1805,5.685755422035754e-09
1806,0.0
1807,0.0
1808,3.852325747288887e-08
1809,1.129515236897305e-08
1810,1.4040760554223652e-08
1811,0.0
1812,1.8670457180292033e-08
1813,2.8757416448144113e-09
1814,0.0
1815,8.091670444798638e-09
1816,0.0
1817,9.341240669868967e-09
1818,4.768470951432846e-09
1819,1.2421260464634543e-08
1820,1.779972080839798e-08
1821,4.930744257336528e-09
1822,1.0025615893027862e-09
1823,2.9648061783404955e-09
1824,1.0947446504872005e-08
1825,5.283265824829186e-09
1826,7.0463874735082754e-09
1827,2.7651818612639545e-08
1828,1.6510142586412258e-08
1829,1.971830521085849e-08
1830,5.218417697960831e-09
1831,3.274153215215847e-08
1832,1.2176972319366541e-08
1833,1.853380560135065e-08
1834,1.213489042584115e-08
1835,2.4958190181223472e-08
1836,1.8146025126952736e-08
1837,1.2524203896191466e-08
1838,3.597932263232906e-08
1839,2.516931019158619e-08
1840,4.458782232319436e-09
1841,3.2102742686390684e-09
1842,1.542900918138912e-08
1843,3.5441467538532834e-09
1844,1.3721403568922597e-08
1845,1.2834524554250493e-08
1846,1.4050803187615202e-08
1847,1.294373674909366e-08
1848,3.218088684420195e-09
1849,1.9272654583346593e-08
1850,6.788996032014438e-09
1851,6.449438760824933e-09
1852,1.2370036550635177e-08
1853,1.1943863675867306e-09
1854,5.7152309551611324e-09
1855,1.4859423913549108e-08
1856,1.2942972915652717e-08
1857,1.2203773103180993e-08
1858,1.4191660291373864e-08
1859,1.323965115318515e-08
1860,1.0069804545764782e-08
1861,2.782418562219391e-08
1862,2.1234535907410645e-08
1863,2.1976331865403154e-08
1864,1.342523781033833e-08
1865,1.7886009118228685e-08
1866,1.216403244796993e-08
1867,8.73506067478047e-09
1868,1.531360993567432e-08
1869,7.325278605918584e-09
1870,2.2936195165357276e-09
1871,2.442870794538976e-08
1872,1.4513614310374123e-08
1873,1.7958012854535355e-09
1874,4.779687312606029e-09
1875,3.432916173551348e-09
1876,6.650616057868319e-09
1877,1.0514186854493346e-08
1878,1.5701630218245555e-08
1879,6.109325489944695e-09
1880,3.2089231272180996e-09
1881,5.5780060570498335e-09
1882,4.6587693702804245e-09
1883,4.423537092179686e-09
1884,3.9610181801208455e-09
1885,6.445635691854079e-10
1886,7.744156427236248e-09
1887,9.793386546164129e-09
1888,1.9021844099853524e-09
1889,9.397704836544563e-09
1890,7.209825181320184e-09
1891,1.466070642663908e-08
1892,3.761107425503951e-09
1893,4.310891643655168e-09
1894,1.5123694296903523e-08
1895,1.1435367319734269e-08
1896,6.486732040400511e-09
1897,4.661370844871726e-09
1898,6.7900258748920805e-09
1899,2.2110313580014918e-09
1900,3.114631885736685e-09
