year,pouvais_VERB ouvrir_VERB,pouvais_VERB couvrir_VERB
1800,2.2009151834367913e-08,6.288328968651058e-09
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,2.842877711017877e-09
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,5.0141535368197765e-09
1812,0.0,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,1.1921177378582115e-09,3.5763532135746345e-09
1819,1.035105001712111e-09,0.0
1820,2.3732962262101864e-09,2.3732962262101864e-09
1821,7.88919063410276e-09,0.0
1822,1.0025615893027862e-09,3.0076847679083585e-09
1823,1.3835761869529506e-08,3.9530747564242574e-09
1824,5.052667617633233e-09,1.6000115010683658e-08
1825,8.805443041381977e-10,1.7610886082763955e-09
1826,9.688783109140786e-09,0.0
1827,5.530363722527909e-09,7.373818444733615e-09
1828,8.255071293206129e-09,9.172301251858528e-10
1829,3.429270423183084e-09,0.0
1830,1.0436835840010872e-09,0.0
1831,9.354723218280014e-09,4.677361609140007e-09
1832,0.0,0.0
1833,6.950177322551099e-09,1.1583628500844156e-09
1834,1.8669061851994684e-09,1.120143711119681e-08
1835,3.025235173481633e-09,0.0
1836,4.032449929525228e-09,2.016224964762614e-09
1837,9.045257876039159e-09,0.0
1838,6.312161904276081e-09,1.2624323808552163e-09
1839,6.9914751765765e-10,6.9914751765765e-10
1840,5.732719632334238e-09,0.0
1841,6.420548537278137e-09,0.0
1842,1.341653010911159e-09,0.0
1843,1.2995204023980023e-08,0.0
1844,2.195424508855126e-09,0.0
1845,7.812318791877715e-09,0.0
1846,1.7563503984519002e-09,5.854501328173001e-10
1847,5.9325460100012606e-09,0.0
1848,1.6090443422100975e-09,0.0
1849,5.02764896381791e-09,0.0
1850,5.431196825611551e-09,0.0
1851,2.579775504329973e-09,1.2898877521649865e-09
1852,6.510545436100301e-09,1.9531636308300904e-09
1853,2.388772735173461e-09,8.360704129017904e-09
1854,1.0391328908454511e-09,2.0782657816909023e-09
1855,3.714855978387277e-09,0.0
1856,8.801221973442352e-09,6.73034605824796e-09
1857,9.274867096564776e-09,1.4644527812635033e-09
1858,7.34051397444091e-09,1.468102750479261e-09
1859,1.171199848215565e-08,0.0
1860,8.238931314963338e-09,1.8308735638683515e-09
1861,7.073945429425521e-09,0.0
1862,7.228778020618165e-09,4.517986262886353e-10
1863,2.2975255475898848e-08,4.495158911765884e-09
1864,1.0068928801842958e-08,4.794727948009836e-10
1865,7.0602665935837194e-09,4.23615986733239e-09
1866,1.1190909532388105e-08,9.731225825149181e-10
1867,7.76449837758264e-09,3.396968040192405e-09
