year,voulez_VERB ouvrir_VERB,voulez_VERB couvrir_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,1.8128591960930862e-08,0.0
1809,2.25903047379461e-08,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,5.3344164641089264e-09,8.00162425207418e-09
1813,2.8757416448144113e-09,0.0
1814,0.0,9.440030979135372e-09
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,3.1053151161586356e-09,0.0
1820,1.0679833017945839e-08,0.0
1821,4.930744257336528e-09,3.94459531705138e-09
1822,0.0,9.023054303725075e-09
1823,0.0,4.941343334508019e-09
1824,4.210556348027694e-09,3.3684450784221553e-09
1825,1.7610886082763955e-09,0.0
1826,2.642395191543301e-09,5.284790383086602e-09
1827,0.0,0.0
1828,2.7516904310687096e-09,9.172301251858528e-10
1829,3.429270423183084e-09,2.571952872898464e-09
1830,0.0,2.0873671680021744e-09
1831,0.0,0.0
1832,5.411987746839486e-09,1.3529969367098715e-09
1833,8.108539617524002e-09,0.0
1834,1.8669061851994684e-09,9.334531370086552e-09
1835,1.739510224751939e-08,1.5126175867408165e-09
1836,2.688300027031687e-09,6.720750067579218e-10
1837,9.74104708006962e-09,8.349468672008697e-09
1838,5.680945491803868e-09,1.2624323808552163e-09
1839,0.0,3.4957374772659477e-09
1840,6.369688665408546e-10,3.821813088222825e-09
1841,1.0914932957462042e-08,7.704658244733764e-09
1842,2.683306021822318e-09,1.341653010911159e-09
1843,2.3627644285539873e-09,4.134837805480629e-09
1844,4.9397050894128824e-09,6.037417232818143e-09
1845,3.348136878855712e-09,5.580227835366713e-09
1846,5.269050973311096e-09,7.025401593807601e-09
1847,1.6179670936367074e-09,5.393223645455691e-10
1848,1.126331028444838e-08,8.045221711050488e-10
1849,2.011059585527164e-08,4.1897072478036534e-09
1850,1.0183494048021657e-08,1.3577992064028876e-09
1851,1.9348316282474798e-09,0.0
1852,1.0416872697760482e-08,6.510545436100301e-10
1853,2.20961471342207e-08,2.388772735173461e-09
1854,9.871762074453727e-09,1.0391328908454511e-09
1855,5.837630823180007e-09,2.653468555990912e-09
1856,1.0872097000458325e-08,1.5531567143511893e-09
1857,5.369659827891837e-09,2.9289055625270066e-09
1858,5.872411001917044e-09,2.936205500958522e-09
1859,6.110608019582742e-09,1.018434669930457e-09
1860,3.204028820036342e-09,2.242820151820979e-08
1861,7.545541969022906e-09,1.8863854922557266e-09
1862,4.066187830886747e-09,9.035972858839614e-09
1863,2.9967726078439227e-09,9.989241656072068e-10
1864,5.274200631788517e-09,9.589455896019672e-10
1865,7.0602665935837194e-09,1.4120533631256649e-09
1866,6.3252967308358166e-09,1.4596839292835284e-09
1867,4.85281148598915e-09,0.0
1868,4.939874287401835e-09,9.385760613156435e-09
1869,4.883519366671862e-09,1.4650557433881772e-09
1870,4.587239033071455e-09,6.880858549607183e-09
1871,6.37270636261178e-09,4.248470908407853e-09
1872,6.652073114565837e-09,4.8378714367913744e-09
1873,1.3767810003173508e-08,0.0
1874,4.182226565063729e-09,3.5847653734322193e-09
1875,6.293679799540541e-09,0.0
1876,9.069021977836655e-09,0.0
1877,1.8554447978047506e-09,6.184815992682502e-10
1878,3.0195443923020093e-09,3.0195443923020093e-09
1879,1.3440515367335593e-08,0.0
1880,4.492492600149944e-09,3.8507077526617195e-09
1881,8.367009307619355e-09,2.091752326904839e-09
1882,5.324308105514319e-09,1.3310770263785798e-09
1883,9.479008689083912e-09,1.8958017378167824e-09
1884,7.922036360241691e-09,6.601696966868076e-10
1885,1.6114089618213256e-08,1.933690763067375e-09
1886,1.355227396970804e-08,1.936039106809062e-09
1887,1.3057849246322917e-09,0.0
1888,5.07249175996094e-09,1.268122939990235e-09
1889,3.759081934617825e-09,0.0
1890,1.0487018364813139e-08,6.554386478008212e-10
1891,3.824531802365527e-09,6.374220040683554e-10
1892,2.5074049503359674e-09,1.3163876211308434e-08
1893,9.853466487186324e-09,3.079208221734575e-09
1894,7.561847148451761e-09,3.150769645188234e-09
1895,1.3842813118003505e-08,6.018614495673091e-10
1896,1.7691086373616827e-09,1.7691086373616827e-09
1897,6.409385022720926e-09,5.2440420894583895e-09
1898,7.355861253444118e-09,5.092519295146758e-09
1899,1.879376654301268e-08,4.4220627160029835e-09
1900,3.633737311048435e-09,4.15284251431558e-09
1901,2.794369402536745e-09,4.470991132876634e-09
1902,3.437198747846537e-09,1.4730852093691738e-09
1903,9.720396931811592e-09,5.400220270956879e-10
1904,1.0211787859759625e-08,0.0
1905,1.186974607492175e-08,5.160759042333041e-10
1906,7.716276506641861e-09,5.144184522798412e-10
1907,1.5428529565042481e-09,2.5714217422034835e-09
1908,2.9468334439286537e-09,9.822778146428846e-10
1909,6.60118004702781e-09,1.1001967115120692e-09
1910,6.412980813053082e-09,1.068830135508847e-09
1911,4.25629931299909e-09,1.0640748282497725e-09
1912,1.5628263128064646e-09,1.0418842455450772e-09
1913,2.121195885607108e-09,5.30298971401777e-10
1914,2.0090231700464756e-09,3.3483718020477227e-09
1915,1.1780761921542648e-09,1.1780761921542648e-09
1916,1.0987462051303964e-09,1.0987462051303964e-09
1917,3.289927441585405e-09,2.1932848870420685e-09
1918,5.743188147278033e-09,0.0
1919,7.366278698128781e-09,2.762354567309444e-09
1920,0.0,1.514446346106979e-09
1921,9.087297137000405e-09,3.0290989716519334e-09
1922,0.0,1.4755870969551665e-09
1923,7.431163684401554e-09,1.0615948120573648e-09
1924,5.156649773851996e-09,0.0
1925,4.399271169575059e-09,0.0
1926,6.687683296036084e-09,6.687683296036084e-09
1927,1.1149224876660924e-09,1.1149224876660924e-09
1928,0.0,0.0
1929,2.2280812750352652e-09,8.912325100141061e-09
1930,2.100720708497761e-09,1.0503603542488804e-09
1931,6.843213995466613e-09,2.2810713318222042e-09
1932,4.383814644626227e-09,2.1919073223131136e-09
1933,2.2941324395731044e-09,0.0
1934,0.0,0.0
1935,0.0,0.0
1936,0.0,0.0
1937,2.5182236296217297e-09,0.0
1938,2.5930428915188486e-09,0.0
1939,0.0,0.0
1940,2.5357829169792012e-09,0.0
1941,0.0,0.0
1942,1.2136847082899749e-08,6.068423541449874e-09
1943,0.0,0.0
1944,0.0,0.0
1945,2.178504043826024e-09,0.0
1946,2.7842208538686464e-09,2.7842208538686464e-09
1947,7.152522574216391e-09,1.1920870957027319e-09
1948,4.348755133776194e-09,0.0
1949,2.945102384188658e-09,0.0
1950,6.381216888229346e-09,0.0
1951,3.1984206394497505e-09,2.1322803522849654e-09
1952,2.1089607837865287e-09,7.381362632230548e-09
1953,0.0,7.54167928107563e-09
1954,4.886268278880834e-09,9.772536113672459e-10
1955,1.8771215692936494e-09,1.8771215692936494e-09
1956,6.104799332717903e-09,8.72114158667614e-10
1957,4.417518795207798e-09,8.835037701437898e-10
1958,0.0,8.272243445794913e-10
1959,7.750747821333448e-10,2.325224457422337e-09
1960,0.0,2.076250060767393e-09
1961,2.08444772553662e-09,0.0
1962,5.0735651235811474e-09,1.2683912808952869e-09
1963,1.2932106496776896e-09,1.2932106496776896e-09
1964,3.041984220075733e-09,1.2167936658258327e-09
1965,3.830430195250756e-09,2.73602163147757e-09
1966,3.3234448526542337e-09,1.1078149508847446e-09
1967,2.9582012395223956e-09,4.930335584241163e-10
1968,3.5931326802796093e-09,4.042274071025531e-09
1969,4.995933444718048e-09,1.3625273131978588e-09
1970,5.058597540852361e-09,3.6789800095249348e-09
1971,2.0553589941130213e-09,1.0276794970565106e-09
1972,3.5911027485013847e-09,0.0
1973,1.6539611902288698e-09,1.102640756478479e-09
1974,4.500457340128605e-09,2.2502286700643026e-09
1975,4.569184142155791e-09,5.711480177694739e-10
1976,2.856763492431469e-09,2.285410749536254e-09
