year,aviez_VERB omis_VERB,aviez_VERB commis_VERB
1800,3.144164484325529e-09,6.288328968651058e-09
1801,0.0,2.3811825400343878e-08
1802,0.0,2.2378401354217203e-09
1803,3.900678446910888e-09,1.3652374342143503e-08
1804,9.887403784603066e-09,2.4718509461507665e-09
1805,2.842877711017877e-09,1.9900143755080535e-08
1806,2.881669125542885e-09,2.881669125542885e-09
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,0.0,0.0
1809,4.518061036407062e-09,0.0
1810,2.3401267590372754e-09,7.020380277111826e-09
1811,1.0028307073639553e-08,7.521229861140455e-09
1812,8.00162425207418e-09,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,3.1466771410748606e-09
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,4.670620334934483e-09,9.341240669868967e-09
1818,4.768470951432846e-09,1.4305412854298538e-08
1819,1.035105001712111e-09,1.6561680027393777e-08
1820,0.0,7.119888678630559e-09
1821,1.1833785507064931e-08,1.4792232327920374e-08
1822,1.0025615893027862e-08,9.023054303725075e-09
1823,0.0,1.9765373782121287e-09
1824,1.0105335235266466e-08,2.0210670470532932e-08
1825,3.522177216552791e-09,1.3208164340028361e-08
1826,3.5231937367541377e-09,7.927186018719112e-09
1827,0.0,2.7651818612639545e-09
1828,1.8344602503717056e-09,2.7516904310687096e-08
1829,0.0,1.8860987438529264e-08
1830,6.262101504006523e-09,3.1310507520032616e-09
1831,0.0,1.2472964883158966e-08
1832,4.058990921151917e-09,9.470978667991403e-09
1833,5.791814139399776e-09,9.266902800675325e-09
1834,5.600718555598405e-09,1.9602515166639023e-08
1835,7.563087933704082e-10,4.0840674842002045e-08
1836,1.3441500135158435e-09,1.1425274948351216e-08
1837,2.7831563720326358e-09,1.3219993100221927e-08
1838,3.1560809521380406e-09,1.199310784016916e-08
1839,3.4957374772659477e-09,3.4957374772659477e-09
1840,4.458782232319436e-09,1.2102408852854296e-08
1841,6.420548537278137e-10,1.219904177673925e-08
1842,6.708265054555795e-10,1.0062397137744483e-08
1843,1.7720733769266417e-09,5.31621990873532e-09
1844,0.0,2.8540519281250454e-08
1845,5.580227946389016e-10,1.0602432709561072e-08
1846,5.854501328173001e-10,2.1661655580373917e-08
1847,2.1572894581822766e-09,1.5640349459999925e-08
1848,4.82713291560799e-09,2.815827571112095e-08
1849,8.379414495607307e-09,1.0893239199560867e-08
1850,2.7155984128057753e-09,4.073397619208663e-09
1851,0.0,1.7413483988093503e-08
1852,2.6042181744401205e-09,6.510545436100301e-09
1853,0.0,1.851298847554972e-08
1854,0.0,8.313063126763609e-09
1855,0.0,9.552486801567284e-09
1856,0.0,3.6240324075009767e-09
1857,9.763018171682347e-10,8.298565390418844e-09
1858,2.4468380654951716e-09,1.2234189661342043e-08
1859,5.092173349652285e-10,2.0877910955618972e-08
1860,7.323494255473406e-09,7.323494255473406e-09
1861,7.545541969022906e-09,1.839225838295988e-08
1862,0.0,8.584174260306554e-09
1863,0.0,1.2486552236623538e-08
1864,1.0548401263577034e-08,1.582260189536555e-08
1865,3.294791106611683e-09,2.8241067262513297e-09
1866,3.4059290943133647e-09,1.6543083347642096e-08
1867,9.7056229719783e-10,1.067618526917613e-08
1868,1.975949626142892e-09,1.1361710683388537e-08
1869,4.883519144627257e-10,1.0255390314739543e-08
1870,5.734048791339319e-10,8.027668307875047e-09
1871,0.0,4.248470908407853e-09
1872,1.8142017887967654e-09,1.2094678591978436e-09
1873,2.3944017879529156e-09,5.387403856360606e-09
1874,0.0,7.169530746864439e-09
1875,2.2886108563824337e-09,2.2886108563824337e-09
1876,0.0,1.0882827083946722e-08
1877,0.0,8.040260901509555e-09
1878,1.2078177347163432e-09,1.3889904337816006e-08
1879,0.0,9.163987790827832e-09
1880,0.0,8.984985200299889e-09
1881,6.972507571312292e-10,1.1156012114099667e-08
1882,0.0,3.3276925659464496e-09
1883,6.951272890631799e-09,3.791603475633565e-09
1884,2.6406787867472303e-09,4.621187876807653e-09
1885,0.0,6.445635580831777e-09
1886,0.0,2.452316216761119e-08
1887,0.0,5.223139698529167e-09
1888,6.340614699951175e-10,8.242799331981132e-09
1889,6.265136742733546e-10,4.385595886446936e-09
1890,0.0,3.2771931834929546e-09
1891,3.824531802365527e-09,4.461953917456185e-09
1892,4.387958441043338e-09,3.1342561879199593e-09
1893,0.0,6.15841644346915e-09
1894,0.0,7.561847148451761e-09
1895,1.8055843487019274e-09,1.625025980445116e-08
1896,5.89702897624278e-10,1.7691086373616827e-09
1897,0.0,1.2818770045441852e-08
1898,2.26334195829736e-09,9.619203211741478e-09
1899,1.6582735185011188e-09,1.3818945987509323e-08
1900,0.0,8.30568502863116e-09
1901,0.0,4.470991132876634e-09
1902,9.820567692386817e-10,4.910283846193408e-10
1903,5.400220270956879e-10,4.860198465905796e-09
1904,5.374625189347171e-10,4.299700151477737e-09
1905,0.0,4.64468330463319e-09
1906,0.0,3.0865106026567446e-09
1907,5.142843373384665e-10,1.4399961223432456e-08
1908,3.437972351250096e-09,2.9468334439286537e-09
1909,0.0,7.701377313651392e-09
1910,1.6032452032632705e-09,4.809735720812114e-09
1911,0.0,7.448523575703803e-09
1912,5.209421227725386e-10,4.167536982180309e-09
1913,1.060597942803554e-09,4.242391771214216e-09
1914,0.0,6.696743604095445e-09
1915,1.1780762143587253e-08,8.246533234057551e-09
1916,0.0,1.0987462051303964e-09
1917,2.1932848870420685e-09,1.864292187292449e-08
1918,1.4932290071101306e-08,0.0
1919,1.8415696745321952e-09,5.524709134618888e-09
1920,0.0,8.329454459499175e-09
1921,7.572747429129834e-10,3.0290989716519334e-09
1922,2.951174193910333e-09,5.164555005876537e-09
1923,2.1231896241147297e-09,7.431163684401554e-09
