year,aux_ADP anneaux_NOUN,aux_ADP canots_NOUN
1800,1.3519907327008696e-07,1.226224086714467e-07
1801,1.1191558257905854e-07,5.9529565277216534e-08
1802,1.879785713754245e-07,3.8043282302169246e-08
1803,1.794312112224361e-07,4.4857802805609026e-08
1804,9.39303390623536e-08,4.2021465418429216e-08
1805,1.3930100806192058e-07,2.2743021688143017e-08
1806,7.492339904047185e-08,2.881669214360727e-08
1807,1.6227644472621705e-07,6.832692633906845e-08
1808,7.931259204951857e-08,7.704651494577774e-08
1809,1.4457795316502597e-07,4.743964154840796e-08
1810,1.427477371862551e-07,6.084329839950442e-08
1811,1.5543875520052097e-07,1.504246105454854e-08
1812,4.187516857712126e-07,2.9339290108509886e-08
1813,1.581657897986588e-07,3.4508900625951355e-08
1814,5.34935111318191e-07,1.5733386149463513e-08
1815,1.1598061178119679e-07,5.3944472000466703e-08
1816,6.44293859153322e-07,7.879853569647821e-08
1817,1.9149543106777855e-07,1.5568733857662664e-08
1818,9.656153565629211e-08,3.337929754820834e-08
1819,1.0040518816367694e-07,3.415846450138815e-08
1820,1.6613073228199937e-07,1.3290458333869992e-07
1821,1.4693617345074017e-07,5.423818549843418e-08
1822,1.1830226753772877e-07,3.0076847679083585e-08
1823,1.620760627929485e-07,4.0519015698237126e-08
1824,2.054751462310378e-07,2.7789671008804362e-08
1825,1.655423345070517e-07,5.195211505437669e-08
1826,1.074574091930458e-07,1.0569581476715939e-07
1827,1.2074627997460397e-07,4.2399456390285195e-08
1828,2.311419962097716e-07,5.6868267428455965e-08
1829,1.483159492998709e-07,8.573175946935407e-09
1830,1.461157055349105e-07,5.740259823028282e-08
1831,1.0757932500382594e-07,5.3010102085693234e-08
1832,2.8412936758925866e-07,6.629684889958298e-08
1833,1.471120830709438e-07,1.0077756851245567e-07
1834,1.69888461520884e-07,5.507373401769655e-08
1835,1.550433026409337e-07,9.22696727911898e-08
1836,1.5726554847272922e-07,5.2421849972006385e-08
1837,1.5724832858055038e-07,2.5048407792382932e-08
1838,1.672722840240226e-07,4.039783618736692e-08
1839,1.5381245455081682e-07,3.775396706373613e-08
1840,1.7962522347314547e-07,1.9746034141121527e-08
1841,1.3932590547938162e-07,4.1091510638580075e-08
1842,1.6837745731024256e-07,5.2324468313713624e-08
1843,1.4708209050695586e-07,3.898561390380806e-08
1844,1.9594163280789445e-07,2.9089375408464235e-08
1845,2.583645497544751e-07,2.622707206967334e-08
1846,1.8910039845110305e-07,2.4588905356281998e-08
1847,1.4238110956910077e-07,2.1033571329098777e-08
1848,1.0861049304367043e-07,2.976732105253177e-08
1849,1.6088476684217312e-07,2.4300303991253713e-08
1850,2.3286256478627365e-07,3.8018377779280854e-08
1851,1.0899551572407518e-07,3.353708066811123e-08
1852,2.4870283255040704e-07,3.1901673080980686e-08
1853,1.5706180533925362e-07,2.926246556178569e-08
1854,1.48076430783739e-07,1.8704392701351935e-08
1855,1.4116452717871653e-07,2.1227748447927297e-08
1856,1.6463462326754552e-07,2.6921383955436085e-08
1857,1.35705956028076e-07,2.0502337605421417e-08
1858,3.0879096679647944e-07,2.6425849508626698e-08
1859,1.6651406964385274e-07,2.698851919724632e-08
1860,1.8171419968737723e-07,2.654766717569146e-08
1861,1.4006411896971827e-07,2.5466203368296192e-08
1862,1.5180433665662463e-07,2.530072343298606e-08
1863,1.1887197415294537e-07,3.546180782354469e-08
1864,1.7980229927161417e-07,2.3494166945248196e-08
