year,pouvons_VERB analyser_VERB,pouvons_VERB canaliser_VERB
1800,6.288328968651058e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,2.4616241489638924e-08,0.0
1803,5.265916058760922e-08,0.0
1804,0.0,0.0
1805,3.695740957709859e-08,0.0
1806,0.0,0.0
1807,1.1387820464392462e-08,0.0
1808,0.0,0.0
1809,6.7770917766551975e-09,0.0
1810,0.0,0.0
1811,3.259199843341776e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,0.0
1817,7.784366928831332e-09,0.0
1818,1.3113295338484932e-08,0.0
1819,1.035105001712111e-09,0.0
1820,3.5599443393152796e-09,0.0
1821,2.2681422962023134e-08,0.0
1822,5.012807946513931e-09,0.0
1823,0.0,0.0
1824,8.421112696055388e-09,0.0
1825,8.805443041381977e-10,0.0
1826,2.290075862276808e-08,0.0
1827,2.949527377893446e-08,0.0
1828,2.2930752408001354e-08,0.0
1829,2.6576845613135447e-08,0.0
1830,1.5655253093882493e-08,0.0
1831,2.8064171431196883e-08,0.0
1832,1.488296597074168e-08,0.0
1833,1.6217079235048004e-08,0.0
1834,6.534171426153534e-09,0.0
1835,1.4369867074037757e-08,0.0
1836,1.4785650037651976e-08,0.0
1837,1.3915781860163179e-09,0.0
1838,9.468243078458727e-09,0.0
1839,1.3283802502428443e-08,0.0
1840,2.93005673057678e-08,0.0
1841,3.146068650039524e-08,0.0
1842,2.0124794275488966e-08,0.0
1843,8.860366662588604e-09,0.0
1844,2.7991662321369404e-08,0.0
1845,1.897277535078956e-08,0.0
1846,1.6978054517835517e-08,0.0
1847,8.629157832729106e-09,0.0
1848,8.84974404868899e-09,0.0
1849,4.273501730267526e-08,0.0
1850,1.425689166723032e-08,0.0
1851,4.514607354622058e-09,0.0
1852,1.5625309046640723e-08,0.0
1853,1.0152284346531815e-08,0.0
1854,1.7665259477439577e-08,0.0
1855,1.8574279891936385e-08,0.0
