year,bas - fonds couverts
1800,3.4447684704730364e-09
1801,5.229965793773772e-09
1802,2.4635042894516346e-09
1803,4.28571134136746e-09
1804,0.0
1805,1.2488940548394112e-08
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,5.5186069047863384e-09
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,9.123260369392483e-09
1819,0.0
1820,6.474363267727767e-09
1821,8.640257398440099e-09
1822,0.0
1823,0.0
1824,0.0
1825,1.9221408908975945e-09
1826,9.610591433784066e-09
1827,0.0
1828,8.018486319372187e-09
1829,0.0
1830,0.0
1831,3.422896410754106e-09
1832,0.0
1833,1.5208534875910118e-08
1834,1.0228743407836305e-09
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,1.5285157584088438e-09
1840,9.741954798414554e-09
1841,7.01979030459654e-10
1842,8.068728796217783e-09
1843,6.454178302917057e-10
1844,1.19679477439405e-09
1845,0.0
1846,6.406604691200357e-10
1847,5.890599674707175e-10
1848,8.809016294186733e-10
1849,0.0
1850,7.430066562008619e-10
1851,1.411713745902432e-09
1852,5.7068256786863e-09
1853,3.922225211283603e-09
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,1.6082963849584075e-09
1859,0.0
1860,6.523376949729709e-09
1861,5.163843797006962e-10
1862,4.951085097459895e-10
1863,5.482613252283386e-10
1864,1.0499079383663457e-09
1865,5.159605520610455e-10
1866,5.3393063303985855e-09
1867,5.323331775386464e-10
1868,1.0819822815477664e-09
1869,1.6071937114503498e-09
1870,6.283288334074655e-10
1871,0.0
1872,6.633511517861734e-10
1873,6.560424425927636e-10
1874,1.3110328378473923e-09
1875,6.286970388735824e-10
1876,4.648581963806464e-09
1877,1.157285201003333e-08
1878,1.9940511464255906e-09
1879,4.704370226704668e-09
1880,2.4734440273732616e-08
1881,1.0758149926459737e-08
1882,3.6638168054992093e-09
1883,0.0
1884,8.729810652141623e-09
1885,8.522500927199417e-09
1886,4.978023770974005e-09
1887,7.202624274782465e-09
1888,0.0
1889,2.76562484025078e-09
1890,1.4457949282231652e-09
1891,4.919045171192238e-09
1892,0.0
1893,1.3585883529287912e-09
1894,3.479404764306082e-09
1895,3.3209788252719363e-09
1896,4.553048160715889e-09
1897,5.797657465222983e-09
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,3.5765954642386077e-09
1904,3.5611360527099123e-09
1905,1.1395792087753875e-09
1906,1.7026970944300501e-09
1907,5.683689630053834e-10
1908,0.0
1909,0.0
1910,5.898358468314768e-10
1911,5.871810260238419e-10
1912,2.299088697199636e-09
1913,0.0
1914,3.693296779516686e-09
1915,1.6884525777527415e-08
1916,0.0
1917,2.41220465824199e-09
1918,0.0
1919,0.0
1920,0.0
1921,5.014175741280269e-09
1922,8.143886676137413e-10
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,2.5303301676160572e-09
1929,6.171313238212406e-09
1930,0.0
1931,0.0
1932,1.2128820170431709e-09
1933,1.2687977335446021e-09
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,1.4344111676223292e-08
1939,0.0
1940,5.629229971049199e-09
1941,6.561927001769163e-09
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,1.081607470254653e-09
1950,0.0
1951,1.1799059507211496e-09
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,3.659567315850154e-09
1959,0.0
1960,3.061346287580591e-09
1961,0.0
1962,1.3988515901175447e-09
1963,0.0
1964,6.711313171869904e-10
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,4.992740665343831e-10
1970,5.057877450198589e-10
1971,5.666332403286845e-10
1972,0.0
1973,6.093281434971232e-10
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,6.441445155047631e-10
1980,6.261667295781592e-10
1981,0.0
1982,2.0456143445812813e-09
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,6.713679612246892e-10
1988,0.0
1989,1.205561317441095e-09
1990,0.0
1991,0.0
1992,0.0
1993,1.2132143067944412e-09
1994,0.0
1995,2.3715431840543033e-09
1996,0.0
1997,0.0
1998,0.0
1999,1.4955428007112914e-09
2000,4.81735262791716e-10
2001,0.0
2002,0.0
2003,0.0
2004,9.593307259692097e-10
2005,0.0
2006,1.3462255754603802e-09
2007,0.0
2008,9.297675962471885e-10
2009,5.21569676337208e-10
2010,0.0
2011,0.0
2012,3.749565102850738e-10
2013,1.2320777731389398e-09
2014,2.395155185297426e-10
2015,4.902833139475149e-10
2016,4.5849760099692105e-10
2017,2.78901984840374e-10
2018,0.0
2019,2.832501178051672e-10
