year,mais_CONJ oser_VERB,mais_CONJ causer_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,9.524730337773235e-09
1802,6.713520406265161e-09,1.7902721083373763e-08
1803,3.1205427575287104e-08,0.0
1804,2.4718509461507665e-09,4.943701892301533e-09
1805,2.842877711017877e-09,2.842877711017877e-09
1806,0.0,2.881669125542885e-09
1807,2.8469551160981155e-09,0.0
1808,2.2660739951163578e-09,2.2660739062985158e-08
1809,9.036122072814123e-09,2.4849335034105025e-08
1810,2.8081521108447305e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,1.600324850414836e-08,1.0668832928217853e-08
1813,0.0,8.627225156487839e-09
1814,3.1466772298927026e-08,0.0
1815,3.506390644503199e-08,2.697223555614414e-09
1816,1.8540831092650478e-08,0.0
1817,2.3353101674672416e-08,1.556873407970727e-09
1818,4.768470951432846e-09,0.0
1819,2.070210003424222e-09,4.140420006848444e-09
1820,3.9159387732468076e-08,1.1866481131050932e-09
1821,1.577838171229473e-08,9.86148829262845e-10
1822,2.606660132187244e-08,1.4035862250239006e-08
1823,1.1859224269272772e-08,9.882686891060644e-10
1824,1.0105335235266466e-08,0.0
1825,7.044354211060977e-09,4.4027217427355936e-09
1826,4.403992281964975e-09,0.0
1827,8.295545916858771e-09,0.0
1828,1.1923991571904935e-08,8.255071293206129e-09
1829,2.2290258527846163e-08,8.57317605795771e-10
1830,4.174734336004349e-09,0.0
1831,4.677361609140007e-09,7.795602829929749e-09
1832,6.76498479457166e-09,0.0
1833,1.50587169400751e-08,5.791814250422078e-09
1834,7.467624740797874e-09,5.600718555598405e-09
1835,1.0588323107185715e-08,2.2689263801112247e-09
1836,5.3765999430410716e-09,2.016224964762614e-09
1837,3.4789453540184923e-09,1.8090515530033713e-08
1838,5.680945935893078e-09,6.943378094703689e-09
1839,6.9914751765765e-10,4.894032512581248e-09
1840,3.821813199245128e-09,1.9109065441114126e-09
1841,1.3483151928284087e-08,3.852329122366882e-09
1842,1.0733223643200063e-08,4.024959032733477e-09
1843,1.122313109114259e-08,1.4767278067040479e-08
1844,2.744280691580059e-09,1.097712254427563e-09
1845,6.138250796539069e-09,1.2834524554250493e-08
1846,9.367202125076801e-09,7.025401593807601e-09
1847,6.47186837454683e-09,5.9325460100012606e-09
1848,1.206783206697537e-08,0.0
1849,1.0893239643650077e-08,5.865590457787562e-09
1850,6.1100964288129944e-09,6.788996032014438e-09
1851,5.804494884742439e-09,2.579775504329973e-09
1852,1.9531636308300904e-09,1.3021090872200602e-09
1853,1.074947708623597e-08,1.1943863675867306e-09
1854,7.79349651480743e-09,1.5586993362681767e-09
1855,5.837630823180007e-09,7.429711956774554e-09
1856,8.283502550554545e-09,8.28350277259915e-09
1857,4.881509085841174e-09,1.464452725752352e-09
