year,pas_ADV omis_VERB,pas_ADV commis_VERB
1800,2.04370692813427e-07,4.999221800972009e-07
1801,1.262026785298076e-07,3.905139465132379e-07
1802,2.215461734067503e-07,5.124653625898645e-07
1803,1.3457341196954076e-07,5.187902161196689e-07
1804,1.0134588990240445e-07,4.5976426576999074e-07
1805,1.3930100806192058e-07,6.424903631341294e-07
1806,2.1612518708025164e-07,4.553037342702737e-07
1807,1.508886242618246e-07,7.572900813102024e-07
1808,2.1980918063491117e-07,6.662257305833919e-07
1809,1.423189246452239e-07,5.670166842719482e-07
1810,2.4103306373035593e-07,5.241884082352044e-07
1811,7.52123057168319e-08,6.16740862824372e-07
1812,9.601949813031752e-08,6.294611694102059e-07
1813,1.0927818294703684e-07,6.326631591946352e-07
1814,1.950939889638903e-07,4.625615304121311e-07
1815,1.726223075593225e-07,7.363420309047797e-07
1816,2.248075787747439e-07,4.913320026389556e-07
1817,1.5101672090622742e-07,7.597542435178184e-07
1818,2.396156730810617e-07,7.391129770439875e-07
1819,1.8631889986409078e-07,7.307841087822453e-07
1820,1.1391821885808895e-07,6.514698043247336e-07
1821,1.8046523564407835e-07,7.622930411343987e-07
1822,1.523893615740235e-07,6.115625410529901e-07
1823,1.353928098524193e-07,5.998791152705962e-07
1824,1.549484807128465e-07,5.920041985518765e-07
1825,1.8579484617475828e-07,5.714732651540544e-07
1826,1.6294771398861485e-07,6.755723802598368e-07
1827,1.4102427314810484e-07,7.475208576579462e-07
1828,1.72439257539736e-07,6.81502001498302e-07
1829,1.9203913836918218e-07,7.364358225459e-07
1830,1.3880992355552735e-07,5.740259894082556e-07
1831,2.385454536124598e-07,7.234319809867884e-07
1832,2.3406846594298258e-07,6.859694394734106e-07
1833,1.1467792404573629e-07,7.054429715935839e-07
1834,1.23215812664057e-07,6.524837203869538e-07
1835,1.5731222902104491e-07,7.623592637173715e-07
1836,1.7339534963412007e-07,6.72747091812198e-07
1837,1.349830824892706e-07,6.70044869366393e-07
1838,1.4770458278690057e-07,5.131787474965677e-07
1839,1.7268943963699712e-07,6.376225201165653e-07
1840,1.5414646270528465e-07,5.917440830671694e-07
1841,1.5794549312886375e-07,5.932586759627156e-07
1842,1.5227762162339786e-07,8.103584150376264e-07
1843,1.890211507316053e-07,5.824214213134837e-07
1844,1.5861941449202277e-07,7.003404220995435e-07
1845,1.439698849026172e-07,7.377061592706013e-07
1846,1.43435286759086e-07,8.073357093962841e-07
1847,1.8768417930914438e-07,7.86871339641948e-07
1848,1.4481399546184548e-07,6.556855964845454e-07
1849,1.6088476684217312e-07,6.686773303954396e-07
1850,1.1609183303562531e-07,6.524225000248407e-07
1851,1.3221350059211545e-07,6.89445016632817e-07
1852,1.7969105670090357e-07,6.894667876622407e-07
1853,1.7438040345041372e-07,6.11525820204406e-07
1854,1.1950028522278444e-07,7.180408374551916e-07
1855,1.432873091289366e-07,6.235650857888686e-07
1856,1.6101058974982152e-07,6.896016202517785e-07
1857,2.1429825380891998e-07,6.336198907774815e-07
1858,1.5561889199489087e-07,7.648815767424821e-07
1859,1.4156242400531482e-07,6.787867050661589e-07
1860,1.9590346767017763e-07,7.451655505974486e-07
1861,1.7873502144993836e-07,7.031501922938332e-07
1862,1.2243742730788654e-07,7.386907441286894e-07
1863,1.3585368208168802e-07,7.496925604755234e-07
1864,1.668565374757236e-07,7.307165219572198e-07
1865,1.8544966451372602e-07,7.389745633190614e-07
1866,1.435355869716659e-07,8.05745514753653e-07
1867,1.9168605547292827e-07,7.250100111377833e-07
1868,1.3881046356800653e-07,7.365352416854876e-07
1869,1.9338736478857754e-07,8.560809305890871e-07
1870,1.4965867478622386e-07,7.190496944531333e-07
1871,1.401995461947081e-07,7.604762686241884e-07
1872,1.7537283270030457e-07,7.32332807729108e-07
1873,1.8257313172398426e-07,7.201163612080563e-07
1874,1.4398807479665265e-07,7.599703053529083e-07
1875,1.4017741989391652e-07,6.459604264819063e-07
1876,2.3458537157239334e-07,6.221349053703307e-07
1877,1.4225076938600978e-07,6.661046541012183e-07
1878,1.6728274943034194e-07,6.818131055297272e-07
1879,1.6678457370744582e-07,7.746624532956048e-07
1880,1.4183440555370908e-07,6.456353389694414e-07
1881,1.5269792186245468e-07,7.258380492203287e-07
1882,1.0715169906916344e-07,8.738520591577981e-07
1883,1.4660867009297363e-07,6.218229486876226e-07
1884,1.2213139655159466e-07,6.892171882100229e-07
1885,1.1731057014685575e-07,7.019297072474728e-07
1886,1.6456333185033145e-07,6.092070066188171e-07
1887,1.351487384226857e-07,7.390742666757433e-07
1888,1.3188478931169811e-07,7.05710419879324e-07
1889,1.9296621189823782e-07,7.236233159346739e-07
1890,1.3436492452001403e-07,7.281923330992868e-07
1891,1.466070642663908e-07,6.865034833936079e-07
1892,1.7802575769110263e-07,5.817179271616624e-07
1893,1.5211288939553924e-07,6.244634391805448e-07
1894,1.4304494300176884e-07,6.7237425582789e-07
1895,1.534746729703329e-07,6.927425033609325e-07
1896,1.2560671791561617e-07,6.993876127125986e-07
1897,1.415891404121794e-07,7.434886697410548e-07
1898,1.1995712156931404e-07,7.570878892693145e-07
1899,1.1442087100022036e-07,8.634077630631509e-07
1900,1.2769990576089185e-07,7.329767299779633e-07
1901,1.1624577211932774e-07,7.511264925597061e-07
1902,1.1195447058298669e-07,6.236060698938672e-07
1903,1.1070451222394695e-07,6.993285524004023e-07
1904,1.8327472162127378e-07,6.406553438864648e-07
1905,9.650619148260375e-08,7.921765359242272e-07
1906,1.1625856899399878e-07,6.867486490591546e-07
1907,1.3114249952650425e-07,6.839981665507366e-07
1908,1.075594227017973e-07,7.254121783262235e-07
1909,1.402750768875194e-07,6.331632107503538e-07
1910,1.1276157607653658e-07,6.434357260332035e-07
1911,1.3354139127841336e-07,6.927127174094494e-07
1912,1.734737224978744e-07,6.527404821099481e-07
1913,1.3257474051897589e-07,6.087832389312098e-07
1914,1.25898779401723e-07,6.803891778872639e-07
1915,1.0249262771822032e-07,7.563249369013647e-07
1916,9.888715624128963e-08,7.020988164185837e-07
1917,1.4037023277069238e-07,6.79918287005421e-07
1918,1.4013379256994085e-07,6.972230153223791e-07
1919,1.445632165086863e-07,6.160050816106377e-07
1920,1.0752569323813077e-07,6.898303013258555e-07
1921,1.2343578248419362e-07,6.717027076774684e-07
1922,1.3354063810311345e-07,6.684409754598164e-07
1923,1.592392209204263e-07,7.208228680610773e-07
1924,1.1731378180002139e-07,6.935694045751006e-07
1925,1.4297631878434913e-07,6.422935712180333e-07
1926,1.2037828867050848e-07,5.506192337634275e-07
1927,1.4828468408722983e-07,6.94596735684172e-07
1928,1.8510186805542617e-07,5.872985298083222e-07
1929,1.6599204855083372e-07,5.91555590290227e-07
1930,1.3339575843929197e-07,5.924032393522793e-07
1931,1.4712910001435375e-07,6.238730065888376e-07
1932,1.6987281981073465e-07,5.578403943218291e-07
1933,1.7894232939852373e-07,5.563271088249166e-07
1934,1.845163382085957e-07,6.601850941478915e-07
1935,1.4481624077689048e-07,6.438937134589651e-07
1936,1.5155893606788595e-07,5.771364044449001e-07
1937,1.561298716978854e-07,6.673292887171556e-07
1938,1.3224519079813035e-07,6.171442237246083e-07
1939,1.4376406909377693e-07,5.61291642497963e-07
1940,1.8511215671423997e-07,6.035163551132428e-07
1941,1.2986610897769424e-07,5.519310093404783e-07
1942,1.9115533689273434e-07,6.371844847308239e-07
1943,1.6258117341294565e-07,6.88066734255699e-07
1944,1.4780655988033686e-07,6.940481966921652e-07
1945,1.4378126422798232e-07,7.363343570432335e-07
1946,1.2946627236942732e-07,5.777258138550678e-07
1947,1.692763618166282e-07,6.842579978183494e-07
1948,1.4568330186648382e-07,6.392670002242085e-07
1949,1.2860280662607693e-07,6.469408617704175e-07
1950,1.2868787280240213e-07,6.508841465802107e-07
1951,1.5352418358816067e-07,7.004541089372651e-07
1952,1.2970109253274131e-07,6.506144245577161e-07
1953,1.3682760879873967e-07,7.035309295133629e-07
1954,1.7101937999086658e-07,6.625779747082561e-07
1955,1.389069979040869e-07,6.410369906006963e-07
1956,1.3256135389383417e-07,7.011797720224422e-07
1957,1.5903067662748072e-07,6.387732014445646e-07
1958,1.4890038357862068e-07,6.344810685732227e-07
1959,1.1161076685084481e-07,6.161844794405624e-07
1960,1.3980083224396367e-07,5.986520932310668e-07
1961,1.1117055009890464e-07,6.593803050236602e-07
1962,1.2683912586908264e-07,6.303904456217424e-07
1963,1.0668988181805616e-07,5.670728455697827e-07
1964,1.1437860791829735e-07,6.43683847556531e-07
1965,1.313290454163507e-07,6.172464850351389e-07
1966,1.2407527094637771e-07,5.965583227407478e-07
1967,1.5678466525059775e-07,6.439018420678622e-07
1968,1.3204763149587961e-07,6.090359647714649e-07
1969,1.3080261851428077e-07,5.486443228619464e-07
1970,1.7153244868950424e-07,5.380508127927897e-07
1971,1.1253090548279943e-07,5.837219418936002e-07
1972,1.205584538865878e-07,5.422565436674631e-07
1973,1.2239311786288454e-07,5.391913191488129e-07
1974,1.2826303930069116e-07,5.591818421635253e-07
1975,9.766630881813398e-08,5.191735681364662e-07
1976,1.331251695546598e-07,5.810657057736535e-07
1977,1.0930813942877649e-07,5.718108582186687e-07
1978,1.0633658575898153e-07,5.46534408840671e-07
1979,1.223062469080105e-07,6.308427487056179e-07
1980,1.0176420062180114e-07,6.003519388286804e-07
1981,1.1449244396999347e-07,5.674017984347302e-07
1982,1.191840439673797e-07,6.151634579509846e-07
