year,ses_DET anneaux_NOUN,ses_DET canaux_NOUN
1800,3.6472307485269084e-07,6.885720154059527e-07
1801,3.0241018578180956e-07,3.6908329548168695e-07
1802,3.5581658153205353e-07,3.714814624800056e-07
1803,7.723343458110321e-07,2.925508926221454e-07
1804,2.9909395493632474e-07,5.265042570812284e-07
1805,4.1221727542506414e-07,6.766049196471613e-07
1806,2.0171684411707247e-07,2.1612518708025164e-07
1807,1.366538526781369e-07,4.014206638203177e-07
1808,2.1980917441766223e-07,3.625718463240446e-07
1809,3.6596293284674175e-07,3.9758938097378405e-07
1810,1.0296557917399696e-07,2.9017572789058477e-07
1811,1.830166027616542e-07,1.9053783040234862e-07
1812,1.3069320914382843e-07,5.041023327656546e-07
1813,1.552900528167811e-07,4.744973740589131e-07
1814,2.6746755166229264e-07,2.926409763404081e-07
1815,1.1867783866748027e-07,4.207668684585997e-07
1816,4.194862963657897e-07,2.989708889344911e-07
1817,4.032302172163327e-07,2.631116160500824e-07
1818,2.0742848505506117e-07,3.695564860795031e-07
1819,1.3352854577597384e-07,3.8609417174484406e-07
1820,7.238553756394595e-08,2.5750265475465994e-07
1821,1.7849294109417713e-07,2.563987031578563e-07
1822,1.954995099140433e-07,3.328504618593797e-07
1823,1.1266262855968989e-07,3.271169362051296e-07
1824,2.0210670914622142e-07,3.056863819850264e-07
1825,1.8227267073456233e-07,2.8617690750465385e-07
1826,1.9641805737435902e-07,2.4221956795855704e-07
1827,2.4333601444936903e-07,2.7836165372718824e-07
1828,1.7885986736132509e-07,2.595761163792787e-07
1829,1.748927964673186e-07,3.2063679711313853e-07
1830,2.442219582121652e-07,2.6509561656951064e-07
1831,2.3854545871948574e-07,2.6660963725611e-07
1832,4.776079087775997e-07,3.9372211368959853e-07
1833,2.791654349909578e-07,3.845764524612605e-07
1834,2.7350174924833937e-07,2.819028370737442e-07
1835,2.730274744067174e-07,2.881536573795529e-07
1836,2.7219039111514576e-07,2.822714924022307e-07
1837,2.2056513948598422e-07,3.4580718644150465e-07
1838,2.0640769737845233e-07,3.1182079074376645e-07
1839,1.6639710809229769e-07,2.740658298083787e-07
1840,2.484178533990189e-07,2.5606147024959114e-07
1841,2.1316220788492046e-07,2.7287330484071504e-07
1842,1.7106076333206488e-07,3.823711107742156e-07
1843,2.2741607730303315e-07,2.7526206736183667e-07
1844,1.8002480528522824e-07,2.958334583968991e-07
1845,1.8582159616586935e-07,2.8235953131172664e-07
1846,2.4413270560685874e-07,2.5759805399871993e-07
1847,1.6880789477369262e-07,2.044031806036628e-07
1848,1.6975418359876926e-07,2.5020639271566836e-07
1849,1.8937478474256864e-07,2.3462362253034996e-07
1850,2.3150476380351392e-07,2.4372495843749675e-07
1851,1.954179964513969e-07,2.515281041226558e-07
1852,5.377710650122935e-07,2.9167243420502587e-07
1853,2.0483726359543653e-07,2.39474473140433e-07
1854,1.8756348252324528e-07,1.9899394421152294e-07
1855,1.777823932513911e-07,2.1280817463775747e-07
1856,2.0553441415493978e-07,2.11229315816297e-07
1857,2.543266277577061e-07,2.225968178670712e-07
1858,2.2266225530032102e-07,1.9770451054057503e-07
1859,2.61228492393073e-07,2.2965701762522883e-07
1860,3.0529817252045177e-07,2.924820652339122e-07
1861,2.145763522420907e-07,1.881669495773508e-07
1862,2.2815829980871172e-07,2.2183312697876545e-07
1863,1.743122703956601e-07,1.8080528035868682e-07
1864,1.9754278635097933e-07,1.893917527251432e-07
1865,1.7132913576745068e-07,1.5673792419512722e-07
1866,2.1943913930400072e-07,2.0338261652597112e-07
1867,2.654488007181044e-07,2.3390551540103388e-07
1868,1.936430620297358e-07,2.652712396411516e-07
1869,2.436875983224951e-07,1.9631746361881142e-07
1870,1.7316827793933953e-07,1.6514061185191053e-07
1871,1.4657224145508962e-07,1.4975860396226892e-07
1872,1.983527262439111e-07,1.6630183241606034e-07
1873,2.1130595673213293e-07,1.6641092093205856e-07
1874,2.5093357169936326e-07,2.539208763252532e-07
1875,1.7908379845721356e-07,2.1055219212584575e-07
1876,2.0979670978249487e-07,2.71466050305591e-07
1877,2.22653381953819e-07,2.6285467091824444e-07
1878,1.696983971122279e-07,1.9204302015296548e-07
1879,2.462058112939758e-07,2.2421223233592968e-07
1880,2.2526640641729045e-07,1.6750579101554308e-07
1881,2.6565252486676627e-07,2.7820304016046293e-07
1882,2.1896217239358862e-07,2.4558372357930125e-07
1883,1.9842724974239445e-07,1.8073309560051598e-07
1884,2.6076701953314796e-07,2.409619321852574e-07
1885,2.5847000184597846e-07,2.1270598438150046e-07
1886,2.671734025128103e-07,1.419762036825034e-07
1887,1.9325616840148996e-07,1.723636052775035e-07
1888,1.6866034968643362e-07,1.6866034791007678e-07
1889,2.0674951528576457e-07,1.3971255441447283e-07
1890,1.795901845014214e-07,1.6779229916608074e-07
1891,1.8995175343761161e-07,1.9505112902606925e-07
1892,2.3005440574763725e-07,2.037266493282175e-07
1893,1.866000192141115e-07,1.835208110478881e-07
1894,2.1677295025668286e-07,2.533218754763311e-07
1895,2.0403103828670055e-07,1.7032678378825494e-07
1896,2.0226809560597303e-07,1.8752551889100744e-07
1897,1.9577757282007724e-07,1.7538407137696055e-07
1898,1.952132435700804e-07,1.827648616892219e-07
1899,1.6251079948403913e-07,2.2552519496343848e-07
1900,1.2510437463753021e-07,1.7597669976776587e-07
1901,1.7939852314796667e-07,2.118132016448726e-07
1902,1.5074571080297972e-07,1.9788443750279328e-07
1903,1.7280704911470934e-07,2.1870892452646729e-07
1904,1.4618980159752937e-07,1.8757442177275152e-07
1905,1.837230259593703e-07,2.017856770564208e-07
1906,1.388929854462262e-07,2.1657016624487824e-07
1907,1.270282332654915e-07,1.9028520270580884e-07
1908,1.1247080999865489e-07,1.8073911345339866e-07
1909,1.9638511505881695e-07,1.9528491179698904e-07
1910,1.4536089221195425e-07,2.169725159539837e-07
1911,1.6759178489422766e-07,1.968538386742935e-07
1912,1.578454660311479e-07,1.6045017359189728e-07
1913,2.0363480990326366e-07,1.9355913061236407e-07
1914,1.2656845171932218e-07,1.4665869230157114e-07
1915,1.2134185201073677e-07,2.0262910627177888e-07
1916,1.1756584528122005e-07,1.9777431159440084e-07
1917,1.0198774946790223e-07,2.237150544814881e-07
1918,1.4357970012923715e-07,2.2857889447891466e-07
1919,1.1878124706043991e-07,2.2651307207688376e-07
1920,1.0828291463482742e-07,2.286814009266891e-07
1921,1.688722619519467e-07,2.1506602210230596e-07
1922,1.741192794391111e-07,1.9846646370780263e-07
1923,1.69855171261446e-07,1.687935791139239e-07
1924,1.70169449198454e-07,1.5083200455290324e-07
