year,aurions_VERB assez_ADV,aurions_VERB cassé_VERB
1800,9.432493897065797e-09,0.0
1801,1.1905912700171939e-08,0.0
1802,6.713520406265161e-09,0.0
1803,3.900678446910888e-09,0.0
1804,0.0,0.0
1805,1.7057265822018053e-08,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,7.521229861140455e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,3.4613449884091096e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,6.952811659743929e-09,0.0
1817,1.401186100480345e-08,0.0
1818,2.6226590676969863e-08,0.0
1819,1.0351049795076506e-08,0.0
1820,1.542642635854463e-08,0.0
1821,9.861488514673056e-09,9.86148829262845e-10
1822,5.012807946513931e-09,0.0
1823,9.882686891060644e-10,0.0
1824,1.1789557774477544e-08,0.0
1825,1.6730341556581152e-08,0.0
1826,1.6735169694470642e-08,0.0
1827,3.502563927781921e-08,0.0
1828,6.420610709767516e-09,0.0
1829,8.573175946935407e-09,1.714635211591542e-09
1830,1.1480519646056564e-08,0.0
1831,1.7150327380477393e-08,9.354723218280014e-09
1832,1.352996914505411e-08,0.0
1833,2.20088942626262e-08,0.0
1834,1.4001796166951408e-08,0.0
1835,4.5378527602224494e-09,0.0
1836,9.409050427677812e-09,6.720750067579218e-10
1837,9.045257876039159e-09,6.957890930081589e-10
1838,9.468243078458727e-09,0.0
1839,3.2859933440931854e-08,3.4957374772659477e-09
1840,1.9746034141121527e-08,0.0
1841,1.926164472365599e-08,0.0
1842,1.341653010911159e-08,0.0
1843,7.678984559333912e-09,0.0
1844,8.781698035420504e-09,0.0
1845,7.254296274794569e-09,5.580227946389016e-10
1846,9.952652035849496e-09,0.0
1847,8.089835468183537e-09,0.0
1848,3.218088684420195e-09,0.0
1849,1.508294644736452e-08,0.0
1850,1.4935791270431764e-08,0.0
1851,1.7413483988093503e-08,0.0
1852,1.9531636308300904e-09,0.0
1853,1.7318601663873778e-08,0.0
1854,4.312401458150816e-08,0.0
1855,1.9104973603134567e-08,0.0
1856,1.6049286344355096e-08,0.0
1857,4.393358121745905e-09,0.0
1858,5.3830437884982985e-09,0.0
1859,1.0693564256314403e-08,0.0
1860,2.0597328287408345e-08,0.0
1861,1.3204698667834691e-08,0.0
1862,8.584174260306554e-09,0.0
1863,1.748117206545885e-08,0.0
