year,fus_VERB assez_ADV
1800,4.244622004989651e-07
1801,2.9764782993879635e-07
1802,2.2378401354217203e-07
1803,1.8333189188979304e-07
1804,3.188687855981698e-07
1805,2.3595885068061762e-07
1806,2.0459850702536642e-07
1807,3.017772485236492e-07
1808,2.0847880932706175e-07
1809,3.2530039106859476e-07
1810,5.826915412399103e-07
1811,1.3036799373367103e-07
1812,4.0808285461935156e-07
1813,2.645682286583906e-07
1814,1.950939889638903e-07
1815,2.2926400333744823e-07
1816,2.8274766350477876e-07
1817,3.798771217589092e-07
1818,3.2067967481452797e-07
1819,2.1737204747296346e-07
1820,3.5124784858453495e-07
1821,4.260162995706196e-07
1822,3.980169367423514e-07
1823,5.257589350549097e-07
1824,3.4273929827577376e-07
1825,7.220463089652185e-07
1826,4.1749845536287467e-07
1827,2.9956137836961716e-07
1828,3.714781939834211e-07
1829,6.258418352445005e-07
1830,4.2999764104934e-07
1831,3.196197155830305e-07
1832,3.436612132645678e-07
1833,4.992543836124241e-07
1834,2.9403773282865586e-07
1835,3.8647380051770597e-07
1836,3.004175255227892e-07
1837,2.8457773737500247e-07
1838,3.9261647089006146e-07
1839,3.216078710011061e-07
1840,2.853620628684439e-07
1841,2.548957809267449e-07
1842,2.810762964600144e-07
1843,2.563599537097616e-07
1844,1.9868592460170476e-07
1845,2.3213748079342622e-07
1846,2.324237016182451e-07
1847,1.9092011882548832e-07
1848,2.494018644938478e-07
1849,1.8183330041665613e-07
1850,2.2335797211781028e-07
1851,1.6704046856830246e-07
1852,1.9596741651639604e-07
1853,3.1651239851271384e-07
1854,2.691354268335999e-07
1855,2.1705372432734293e-07
1856,2.448810505484289e-07
1857,3.246203448270535e-07
1858,3.1025905400383635e-07
1859,2.5104415612986486e-07
1860,2.5632229494476633e-07
1861,2.0372962694636954e-07
1862,2.466820490099053e-07
1863,1.8779773824917356e-07
1864,2.0377594012188638e-07
1865,1.8592035644360294e-07
1866,2.1651977988312865e-07
1867,1.4509906520743243e-07
1868,2.5637945100243087e-07
1869,2.0657286370351358e-07
1870,2.058523449477434e-07
1871,2.676536610124458e-07
1872,3.011574847278098e-07
1873,2.77750615396144e-07
1874,2.001494010528404e-07
1875,2.591851853139815e-07
1876,2.194703370150819e-07
1877,1.843075096985558e-07
1878,1.4674985493456916e-07
1879,2.138263823781017e-07
1880,2.413110280485853e-07
1881,1.7640444127664523e-07
1882,1.8368862697570876e-07
1883,2.0032304348660546e-07
1884,1.8418734271108406e-07
1885,1.611408890767052e-07
1886,1.7166213694963517e-07
1887,1.5995865965123812e-07
1888,1.7880533675906918e-07
1889,1.7855639100616827e-07
1890,1.5927159324746754e-07
1891,1.7847816025096108e-07
1892,2.1939793271030794e-07
1893,1.8044160299268697e-07
1894,2.2181419012667902e-07
1895,2.0704034398022486e-07
1896,2.6359720095570083e-07
1897,1.5440791401033493e-07
1898,1.6748730047311255e-07
1899,1.2271223681636911e-07
1900,1.6092265298084385e-07
1901,1.212756330914999e-07
1902,1.2619429412552563e-07
1903,1.3986570479573857e-07
1904,1.4618980515024305e-07
1905,1.3263151288356312e-07
1906,1.394074047311733e-07
1907,1.316567903586474e-07
1908,1.4783280732899584e-07
1909,1.3147351296538545e-07
1910,1.4749855381523957e-07
1911,1.340734314680958e-07
1912,1.3857059855126863e-07
1913,1.246202572247057e-07
1914,1.2790781056537526e-07
1915,8.599955947374838e-08
1916,8.899844061716067e-08
1917,8.334482259897413e-08
1918,1.1141784739265859e-07
1919,1.2338516341969807e-07
1920,1.1282624967634547e-07
1921,1.0223209301329916e-07
1922,1.7264369489566889e-07
1923,1.0934426342146253e-07
1924,1.418078738879558e-07
1925,1.1548086575885463e-07
1926,1.5047287149627664e-07
1927,1.2933101345424802e-07
1928,1.473959372333411e-07
1929,1.3145680100024038e-07
1930,1.5545333553745877e-07
1931,1.0378874293337503e-07
1932,1.20554901172909e-07
1933,1.238831544014829e-07
1934,1.1023053758663082e-07
1935,1.2686381012372294e-07
1936,7.274828561776303e-08
1937,8.310137644684801e-08
1938,8.9459980756601e-08
1939,1.0247013904063351e-07
1940,6.085878823114399e-08
1941,8.559357667081713e-08
1942,8.799214157306778e-08
1943,1.219358836124229e-07
1944,6.7476911169706e-08
1945,7.84261473540937e-08
1946,9.46635054788203e-08
1947,1.0251949333905941e-07
1948,1.0871887923258328e-07
1949,9.718838356320703e-08
1950,1.063536174683577e-07
1951,1.151431376911205e-07
1952,6.115985939914026e-08
1953,1.023513576114965e-07
1954,6.449873524161376e-08
1955,8.25933454962069e-08
1956,7.761816078755146e-08
1957,7.598132611974506e-08
1958,7.114129374485856e-08
1959,8.21579249077331e-08
1960,1.1350167028467695e-07
1961,7.504011989567516e-08
1962,1.1098423868816099e-07
1963,8.599850787049945e-08
1964,7.665800438871884e-08
1965,9.302473813477263e-08
1966,8.197830680956031e-08
1967,8.381570637538971e-08
1968,9.0277460174093e-08
1969,7.902658438752042e-08
