year,jeux_NOUN ouverts_ADJ,jeux_NOUN couverts_ADJ
1800,6.288328968651058e-09,3.144164484325529e-09
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,7.801356893821776e-09,0.0
1804,4.943701892301533e-09,4.943701892301533e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,7.521229861140455e-09,0.0
1812,8.00162425207418e-09,0.0
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,9.270415546325239e-09,0.0
1817,3.113746815941454e-09,0.0
1818,2.384235475716423e-09,0.0
1819,1.035105001712111e-09,0.0
1820,4.746592452420373e-09,0.0
1821,1.97229765852569e-09,0.0
1822,3.0076847679083585e-09,0.0
1823,9.882686891060644e-10,0.0
1824,0.0,0.0
1825,0.0,1.7610886082763955e-09
1826,2.642395191543301e-09,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,1.714635211591542e-09,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,2.705993873419743e-09,0.0
1833,1.1583628500844156e-09,0.0
1834,0.0,9.334530925997342e-10
1835,1.5126175867408165e-09,0.0
1836,6.720750067579218e-10,0.0
1837,0.0,0.0
1838,3.1560809521380406e-09,6.312161904276081e-10
1839,6.9914751765765e-10,0.0
1840,6.369688665408546e-10,0.0
1841,6.420548537278137e-10,6.420548537278137e-10
1842,6.708265054555795e-10,0.0
1843,1.7720733214154905e-09,0.0
1844,5.488561272137815e-10,0.0
1845,2.7901139176833567e-09,0.0
1846,4.6836010625384006e-09,0.0
1847,5.393223645455691e-10,0.0
1848,0.0,0.0
1849,9.217356655710773e-09,0.0
1850,6.1100964288129944e-09,6.788996032014438e-10
1851,0.0,0.0
1852,3.2552727180501506e-09,0.0
1853,5.3747388761848924e-09,5.971931837933653e-10
1854,3.6369652289813814e-09,0.0
1855,3.714855978387277e-09,5.306937111981824e-10
1856,5.177189232874468e-10,0.0
1857,9.763018171682347e-10,4.881509085841174e-10
1858,5.872411001917044e-09,0.0
1859,5.092173349652285e-10,0.0
1860,3.661747127736703e-09,0.0
1861,1.226150558863992e-08,0.0
1862,4.517986429419807e-09,0.0
1863,1.4983863039219614e-09,0.0
1864,2.8768367688059016e-09,0.0
1865,9.41368871743009e-10,0.0
1866,9.731225825149181e-10,4.865612912574591e-10
1867,1.455843445796745e-09,0.0
1868,0.0,0.0
1869,4.883519144627257e-10,0.0
1870,1.1468097582678638e-09,0.0
1871,5.3105884134652115e-09,0.0
1872,2.4189357183956872e-09,0.0
1873,5.986004469882289e-10,0.0
