year,guerriers_NOUN couverts_ADJ
1800,6.288328968651058e-09
1801,1.4287095950749062e-08
1802,4.475680270843441e-09
1803,2.145373123596528e-08
1804,5.6852570651244605e-08
1805,3.1271653710973624e-08
1806,4.610670600868616e-08
1807,8.540865792383556e-09
1808,2.7192887941396293e-08
1809,2.25903047379461e-08
1810,6.552355102940055e-08
1811,4.011322829455821e-08
1812,3.467370746079723e-08
1813,2.0130190847567064e-08
1814,5.034683425719777e-08
1815,8.631115377966125e-08
1816,4.1716869958463576e-08
1817,2.1796227045456362e-08
1818,5.722165141719415e-08
1819,3.726378139390363e-08
1820,3.559944161679596e-08
1821,2.9584464655840748e-08
1822,4.712039469723095e-08
1823,1.1859224713361982e-08
1824,2.189489300974401e-08
1825,4.57883047033647e-08
1826,4.1397527184017235e-08
1827,1.3825909306319772e-08
1828,7.337841001486822e-09
1829,2.743416338546467e-08
1830,2.817945699007396e-08
1831,3.4300654760954785e-08
1832,1.352996914505411e-08
1833,3.70676112027013e-08
1834,2.14694217959277e-08
1835,3.025235173481633e-08
1836,3.2259599436201825e-08
1837,1.0436836284100082e-08
1838,3.787297231383491e-08
1839,2.027527834513876e-08
1840,1.0828470564661075e-08
1841,1.8619591202195807e-08
1842,1.8112315203211438e-08
1843,2.2446261738195972e-08
1844,3.1833653935109396e-08
1845,1.2834524554250493e-08
1846,1.9905304071698993e-08
1847,2.0494249852731627e-08
1848,1.769948809737798e-08
1849,1.0893239199560867e-08
1850,1.765138968323754e-08
1851,3.224719336003545e-08
1852,1.7578472011337e-08
1853,1.7318601663873778e-08
1854,1.8184826089395756e-08
1855,2.1227748447927297e-08
1856,1.5531567143511893e-08
1857,1.2691923956253959e-08
1858,1.468102794888182e-08
1859,2.64793023063703e-08
1860,7.323494255473406e-09
1861,1.2733101684148096e-08
1862,2.3041730301542884e-08
1863,1.5982786649715308e-08
1864,1.102787461348953e-08
1865,1.882737743486018e-09
1866,1.0704348518686402e-08
1867,1.94112459439566e-08
