year,concours_NOUN ouverts_ADJ
1800,0.0
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,2.259030518203531e-09
1810,4.680253518074551e-09
1811,2.5070768572277302e-08
1812,5.601137331723294e-08
1813,0.0
1814,1.8880061958270744e-08
1815,5.394447111228828e-09
1816,9.270415546325239e-09
1817,1.556873407970727e-09
1818,0.0
1819,0.0
1820,1.1866481131050932e-09
1821,9.86148829262845e-10
1822,4.010246357211145e-09
1823,0.0
1824,1.6842225392110777e-09
1825,2.641632912414593e-09
1826,0.0
1827,2.4886637361998254e-08
1828,3.668920500743411e-09
1829,3.429270423183084e-09
1830,1.0436835840010872e-09
1831,6.236482441579483e-09
1832,0.0
1833,1.1583628500844156e-09
1834,1.8669061851994684e-09
1835,7.563087933704082e-10
1836,1.3441500135158435e-09
1837,4.870523429012508e-09
1838,3.1560809521380406e-09
1839,5.5931801412612e-09
1840,0.0
1841,1.926164561183441e-09
1842,2.0124795163667386e-09
1843,1.7720733769266417e-09
1844,3.841993001518773e-09
1845,1.6740683839167048e-09
1846,1.1709002434301397e-08
1847,1.0247124926365814e-08
1848,3.218088684420195e-09
1849,2.3462360942971827e-08
1850,1.4935791270431764e-08
1851,7.739326512989919e-09
1852,5.859490892490271e-09
1853,7.166318205520383e-09
1854,1.0391328908454511e-09
1855,5.306937111981824e-09
1856,1.5531567143511893e-09
1857,2.4407544874094356e-09
1858,3.9149408159744326e-09
1859,1.018434714339378e-08
1860,6.408057418028079e-09
1861,8.960331421281609e-09
1862,3.343309917802628e-08
1863,3.696019457155586e-08
1864,4.315255153208852e-09
1865,1.5532586106203894e-08
1866,1.313715514150715e-08
1867,1.067618526917613e-08
1868,1.679557171119228e-08
1869,6.836927024522765e-09
1870,2.064257476064313e-08
1871,6.37270636261178e-09
1872,9.07100905500613e-09
1873,1.7958013298624564e-08
1874,1.6131444846578802e-08
1875,1.9453191668628023e-08
1876,1.9347247137702084e-08
1877,2.10283741530759e-08
1878,1.4493812761084968e-08
1879,1.221865053580018e-08
1880,1.1552123257985158e-08
1881,1.8128519629900808e-08
1882,1.4641847734253588e-08
1883,1.9589950994713945e-08
1884,9.902545450302114e-09
1885,1.4180398522078974e-08
1886,1.9360392178313646e-08
1887,2.1545451422966266e-08
1888,2.0924028509838877e-08
1889,1.2530273263422487e-08
1890,9.176141180233799e-09
1891,9.561329727958423e-09
1892,1.1283321832422644e-08
1893,1.8475249441429753e-08
1894,1.1972924651715289e-08
1895,1.444467478961542e-08
1896,3.9510093363670507e-08
1897,1.3984112534615178e-08
1898,5.488604104542105e-08
1899,1.3818945987509323e-08
1900,3.322274055861385e-08
1901,3.185581110010105e-08
1902,2.553347666633954e-08
1903,1.5120616758679262e-08
1904,3.0097901060344157e-08
1905,2.5287719473965353e-08
1906,1.4918135171626545e-08
1907,1.799995152929057e-08
1908,1.6698723070973642e-08
1909,9.901770181564018e-09
1910,2.3514263425283843e-08
1911,1.3832972545202438e-08
1912,1.614920552839294e-08
1913,1.484837142129436e-08
1914,3.0135346662518714e-08
1915,1.5314990164938536e-08
1916,1.9777431692347136e-08
1917,1.096642476827725e-08
1918,1.4932289182922887e-08
1919,1.5653342400057113e-08
1920,3.180337415642498e-08
1921,1.363094581652291e-08
1922,8.115728866719962e-09
1923,2.3355086309351236e-08
1924,2.578324886925998e-09
1925,5.499088961968823e-09
1926,1.1146138456652466e-09
1927,2.2298449753321847e-09
1928,4.570416489713125e-09
1929,0.0
1930,0.0
1931,2.2810713318222042e-09
1932,3.287861094491973e-09
1933,2.2941324395731044e-09
1934,8.38710612072191e-09
1935,3.590485242455088e-09
1936,2.424942913137329e-09
1937,5.0364472592434595e-09
1938,1.2965214457594243e-09
1939,7.647025235257843e-09
1940,0.0
1941,0.0
1942,9.102635090130207e-09
1943,2.9032352077962287e-09
1944,6.4263723231761105e-09
1945,0.0
1946,1.3921104269343232e-09
1947,2.3841741914054637e-09
1948,4.348755133776194e-09
1949,1.9634016634739737e-09
1950,3.190608444114673e-09
1951,1.0661401761424827e-09
1952,6.326882129314981e-09
1953,8.61906213067698e-09
1954,4.886268056836229e-09
