year,quelques_DET anneaux_NOUN,quelques_DET canots_NOUN
1800,5.973912209356058e-08,1.2576657937302116e-08
1801,1.4048977448055666e-07,6.429193177837078e-08
1802,1.1412984690650774e-07,3.8043282302169246e-08
1803,2.4964342060229683e-07,3.315576790896557e-08
1804,1.6067031149979982e-07,4.696516775481996e-08
1805,5.685755510853596e-08,2.55858996212055e-08
1806,7.780506905419315e-08,2.881669214360727e-08
1807,1.0249038240317532e-07,3.9857372513552036e-08
1808,5.4385776326881796e-08,1.8128591960930862e-08
1809,5.6475762733043666e-08,9.487928509521737e-08
1810,1.146662111928265e-07,3.7442029032774826e-08
1811,5.264861258069686e-08,2.5070768572277302e-08
1812,1.600324850414836e-08,1.3336041604361526e-08
1813,2.5881675469463516e-08,6.326631663000626e-08
1814,9.125363931161701e-08,3.1466771410748606e-09
1815,8.90083740046066e-08,1.6183341333686485e-08
1816,3.4995818509742094e-07,3.2446456188495176e-08
1817,1.5724421909002473e-07,3.113746771532533e-08
1818,1.5974377731708955e-07,5.841376893300776e-08
1819,8.69488232524418e-08,1.9666994477418598e-08
1820,1.293446416639199e-07,4.746592363602531e-08
1821,1.311577904061778e-07,2.070912508145284e-08
1822,1.1128433641260926e-07,1.7043547018147365e-08
1823,1.0673301498176357e-07,1.2847492847356534e-08
1824,5.052667706451075e-08,9.263223965660927e-09
1825,6.339919167430708e-08,3.258013947515792e-08
1826,9.512622767271495e-08,3.170874407487645e-08
1827,7.650336897313537e-08,4.608636466896243e-08
1828,1.3024667566696735e-07,1.7427372100975447e-08
1829,7.287199821348622e-08,3.086343358660315e-08
1830,1.2002361415852647e-07,4.696576283436116e-08
1831,9.978371906527173e-08,1.7150327380477393e-08
1832,4.058990654698391e-08,3.24719258149031e-08
1833,9.730247763073407e-08,5.560141724814116e-08
1834,1.0267984040801537e-07,3.827157701863371e-08
1835,9.302598158456021e-08,4.689114518896531e-08
1836,1.2030142637620145e-07,1.6129800162190122e-08
1837,9.671468070848732e-08,4.6617869564613557e-08
1838,7.953324221432467e-08,1.7674053331973028e-08
1839,6.991475354212184e-08,4.4046292835275835e-08
1840,6.624476184269312e-08,4.45878196586591e-08
1841,8.73194574424474e-08,2.5682193705023337e-08
1842,6.909513272645995e-08,2.750388627958955e-08
1843,3.5441465817687146e-08,1.476727762295127e-08
1844,7.13512991468157e-08,1.2623690981428126e-08
1845,8.872562579087528e-08,3.124927738795691e-08
1846,6.732676327558806e-08,1.9319854160926297e-08
1847,5.716817153000875e-08,8.089835468183537e-09
1848,1.0297883434873256e-07,1.367687696429698e-08
1849,6.033178823194874e-08,1.2569122853633985e-08
1850,7.875235219501064e-08,1.4935791270431764e-08
1851,8.190787248452125e-08,1.7413483988093503e-08
1852,6.185018408544352e-08,1.0416872919805087e-08
1853,8.300985476772382e-08,3.642878443343989e-08
1854,6.598493706988506e-08,8.313063126763609e-09
1855,5.413075854221461e-08,1.4859423913549108e-08
1856,4.297067207614802e-08,9.318940619174043e-09
1857,5.0767694936837415e-08,1.0251168913733011e-08
1858,8.857553268626361e-08,9.297984426837047e-08
1859,7.179964445214182e-08,1.985947606364391e-08
1860,8.513561944312187e-08,1.5562425292880988e-08
1861,6.225072013421595e-08,2.923897596263103e-08
1862,4.563166206006386e-08,1.1294965879260488e-08
1863,7.042415139935088e-08,1.2986014596982898e-08
1864,6.137251484794604e-08,2.2055748005733733e-08
1865,5.695281718454126e-08,2.5416960092172758e-08
1866,8.855415245534459e-08,2.1408697037372804e-08
1867,6.842464372880386e-08,3.299911632836938e-08
1868,8.891773273234094e-08,2.5687345139857598e-08
1869,1.0499566194255294e-07,7.325278605918584e-09
1870,9.461180283665271e-08,1.777555080906268e-08
1871,3.6112004275778986e-08,2.0180236592892697e-08
1872,7.982487915114689e-08,2.056095360636334e-08
1873,6.225444709739847e-08,1.616221290134945e-08
1874,7.946229940714034e-08,1.3741600746186577e-08
1875,6.064818869333521e-08,1.3159512146643237e-08
1876,5.3204929351124974e-08,1.4510435297765412e-08
1877,8.473197832259416e-08,3.277952487223956e-08
1878,7.911206401089999e-08,4.589707369717644e-08
1879,9.652733878873221e-08,3.9710614241350584e-08
1880,7.958129266683045e-08,2.4387816210946767e-08
1881,7.948658442558099e-08,3.2770785196589713e-08
1882,6.988154721554451e-08,2.9283693692150337e-08
1883,6.066565411133595e-08,3.6020231242162026e-08
1884,6.007544062214265e-08,1.8484751507230612e-08
1885,6.252266460116118e-08,1.6114089174124047e-08
1886,3.9366128135043255e-08,2.5168509054651622e-08
1887,4.3090901069575693e-08,1.566941953967671e-08
1888,5.833365390728318e-08,1.775372027168487e-08
1889,9.39770474772672e-08,2.2554493106508033e-08
1890,6.947649322519567e-08,2.94947390955258e-08
1891,6.756673442964711e-08,1.0836174402228949e-08
1892,5.0774950466347946e-08,2.005923915859853e-08
1893,7.390099932003125e-08,3.8182182970913914e-08
1894,3.591877373310126e-08,1.4493540145821271e-08
1895,5.296380867214623e-08,1.9259566386153892e-08
1896,5.897028865220477e-08,1.2383760905620989e-08
1897,5.477110631701976e-08,5.244042200480692e-09
1898,5.714938433598604e-08,1.4145887350380804e-08
1899,3.703477347016815e-08,2.1557555740514545e-08
