year,ils_PRON ouvrent_VERB,ils_PRON couvrent_VERB
1800,5.376521272637547e-07,6.225445474683511e-07
1801,2.952666413591487e-07,4.381375902084983e-07
1802,2.304975339484372e-07,4.520437073551875e-07
1803,2.6719646939454833e-07,5.129392093294882e-07
1804,1.8538881363383553e-07,5.339197954867814e-07
1805,2.5870188125054483e-07,2.331159763002688e-07
1806,9.509507759020153e-08,2.2765185292428214e-07
1807,1.5658253005312872e-07,3.0747114720952595e-07
1808,2.402038390414418e-07,4.237558286490639e-07
1809,3.049691308376623e-07,3.9758938186196247e-07
1810,3.1591710580869403e-07,3.135769759410323e-07
1811,2.5822890492577244e-07,3.234128911344669e-07
1812,2.8005685592802365e-07,3.440698677081855e-07
1813,1.552900528167811e-07,1.696687590424517e-07
1814,2.3600078158381166e-07,2.5802753356174435e-07
1815,2.8051125777750485e-07,1.995945364541285e-07
1816,2.201723727779381e-07,5.353665031293531e-07
1817,2.4909974172260263e-07,2.693390932506645e-07
1818,2.634580269500475e-07,3.290245018661153e-07
1819,2.308284123841986e-07,3.4468997256453804e-07
1820,1.8867704554281772e-07,3.1090181096260494e-07
1821,1.538392204736283e-07,2.218834840306272e-07
1822,1.965020715033461e-07,3.117966542731665e-07
1823,1.9963027853009407e-07,2.47067177383542e-07
1824,2.0294881686311328e-07,2.7284405490490826e-07
1825,2.1485281109789867e-07,3.530982581878561e-07
1826,1.514973337890524e-07,2.475043601180005e-07
1827,2.101538285614879e-07,2.599270985115254e-07
1828,2.2472138283546883e-07,3.320373060944348e-07
1829,1.671769247479915e-07,2.391916176236464e-07
1830,1.690767437168006e-07,2.650956325567222e-07
1831,2.2763161489081085e-07,1.980083226271745e-07
1832,1.8536058377094378e-07,2.0565552816265154e-07
1833,2.027135010962411e-07,3.405586745941491e-07
1834,2.18428024112427e-07,2.8843701471714667e-07
1835,2.495819089176621e-07,2.2991786607917675e-07
1836,2.1439192821048891e-07,3.1789146603955487e-07
1837,2.5674617631921137e-07,2.477009175549938e-07
1838,1.9188972188999287e-07,2.62585935217885e-07
1839,1.7758346793073088e-07,2.2652379705334624e-07
1840,2.2803486032785258e-07,1.7070765778726127e-07
1841,1.906902937776067e-07,2.4269672849186463e-07
1842,2.3277679161992637e-07,2.019187768098618e-07
1843,1.417658683777745e-07,2.5813200821289684e-07
1844,2.3710585139724571e-07,2.272264438829552e-07
1845,1.986561208866533e-07,2.2544121236478532e-07
1846,2.3066735721499754e-07,1.674387366534802e-07
1847,2.0062791961095172e-07,1.634146826745564e-07
1848,2.2043906966473514e-07,3.0974104703318517e-07
1849,2.43840972302678e-07,2.3378567703957742e-07
1850,2.1656897786215268e-07,2.0842217196559432e-07
1851,2.0831687663758203e-07,1.7993934875448758e-07
1852,1.8685264890905273e-07,1.8099316179132074e-07
1853,2.2036428148908271e-07,2.2275306221786195e-07
1854,2.2341356853416983e-07,2.1665920613145317e-07
1855,1.6876059660830833e-07,1.8521210876087935e-07
1856,2.2986720082940337e-07,1.739535520073332e-07
1857,2.289427811774658e-07,1.6206609743107947e-07
1858,2.099386975373818e-07,1.3506545926134095e-07
1859,1.9859476552142041e-07,1.7618919745387984e-07
1860,1.9773434445369276e-07,1.624900232144455e-07
1861,2.41928940880598e-07,1.5609840176011858e-07
1862,1.8523744316212287e-07,1.6626189314195017e-07
1863,2.1976331154860418e-07,1.818041965861994e-07
1864,1.6925389090260978e-07,1.5247234230741924e-07
1865,2.127493665682323e-07,1.6521023837867688e-07
1866,1.7954111086737612e-07,1.7175613464814887e-07
1867,1.8586267458431394e-07,1.858626816897413e-07
1868,2.0994465188550748e-07,1.798114119822003e-07
1869,1.7482999226103857e-07,1.4211040522127405e-07
1870,2.0413213519532292e-07,1.7316827793933953e-07
1871,1.3701318479775182e-07,1.5613130699421163e-07
1872,1.638828948102855e-07,1.7537283980573193e-07
1873,1.2869909404855662e-07,1.3887530236900147e-07
1874,2.2345038175330956e-07,1.481703115757682e-07
1875,2.4202060089351107e-07,2.105521943462918e-07
1876,2.3458537690146386e-07,1.723114237961454e-07
1877,1.4781710078182186e-07,1.6946395930972358e-07
