year,veux_VERB oser_VERB,veux_VERB causer_VERB
1800,0.0,1.8864987794131594e-08
1801,0.0,3.5717739876872656e-08
1802,0.0,8.951360541686881e-09
1803,0.0,9.751696339321825e-09
1804,0.0,1.2359254952798437e-08
1805,0.0,8.528632911009026e-09
1806,0.0,4.3225035994964855e-08
1807,0.0,2.8469551160981155e-09
1808,2.2660739951163578e-09,9.064295980465431e-09
1809,0.0,0.0
1810,0.0,9.360507036149102e-09
1811,0.0,7.521229861140455e-09
1812,0.0,1.8670457180292033e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,5.394447111228828e-09
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,2.5034472272977837e-08
1819,0.0,5.175524897538253e-09
1820,0.0,1.898636980968149e-08
1821,0.0,1.1833785507064931e-08
1822,0.0,2.3058916553964082e-08
1823,0.0,2.4706716672540097e-08
1824,0.0,5.894778887238772e-09
1825,0.0,4.4027217427355936e-09
1826,0.0,1.7615968683770689e-09
1827,0.0,1.013900075008678e-08
1828,0.0,6.420610709767516e-09
1829,0.0,4.286587973467704e-09
1830,0.0,5.218417697960831e-09
1831,7.795603274018958e-09,3.1182412207897414e-09
1832,0.0,2.1647950987357945e-08
1833,0.0,5.791814139399776e-09
1834,9.334530925997342e-10,5.600718555598405e-09
1835,0.0,1.0588323107185715e-08
1836,0.0,1.1425274948351216e-08
1837,0.0,1.0436836284100082e-08
1838,0.0,1.199310784016916e-08
1839,6.9914751765765e-10,1.11863602825224e-08
1840,6.369688665408546e-10,3.821813088222825e-09
1841,0.0,2.247191943638427e-08
1842,0.0,6.708265054555795e-09
1843,0.0,1.0041748765843295e-08
1844,2.195424508855126e-09,9.879410178825765e-09
1845,0.0,2.4553003186156275e-08
1846,4.0981511517657054e-09,8.781752214304106e-09
1847,2.1572894581822766e-09,3.235934187273415e-09
1848,0.0,1.6090443422100975e-09
1849,5.865590679832167e-09,8.379414495607307e-09
1850,0.0,2.7155984128057753e-09
1851,0.0,1.870337307252612e-08
1852,3.906327261660181e-09,1.3021090872200602e-09
1853,5.971931837933653e-10,8.957897534855874e-09
1854,0.0,2.182179059673217e-08
1855,5.306937111981824e-10,1.6451505047143655e-08
1856,5.177189232874468e-10,6.73034605824796e-09
1857,0.0,1.122747050885664e-08
1858,0.0,8.808616946964776e-09
1859,0.0,1.323965115318515e-08
1860,0.0,2.5632230560290736e-08
1861,0.0,2.8295781717702084e-08
1862,0.0,2.891511208247266e-08
1863,0.0,3.696019490462277e-08
