year,autres_ADJ heures_NOUN,autres_ADJ coeurs_NOUN
1800,1.9808235851570544e-07,0.0
1801,1.7620750725200196e-07,2.3811825844433088e-09
1802,1.320325679898815e-07,0.0
1803,3.0815360219094146e-07,4.290746247193056e-08
1804,2.644880510160874e-07,0.0
1805,2.04687196969644e-07,0.0
1806,2.564685530614952e-07,2.881669125542885e-09
1807,1.537355700520493e-07,0.0
1808,1.314322983780869e-07,2.2660739951163578e-09
1809,1.4909601020463015e-07,0.0
1810,1.8252988986944274e-07,2.3401267590372754e-09
1811,2.206227520673565e-07,0.0
1812,1.973734100602087e-07,0.0
1813,1.4666282766029326e-07,0.0
1814,1.604805390797992e-07,0.0
1815,1.0249449644561537e-07,0.0
1816,9.965696534663948e-08,0.0
1817,2.055072834128424e-07,1.556873407970727e-09
1818,2.944530876902718e-07,2.384235475716423e-09
1819,1.3870406745386532e-07,1.035105001712111e-09
1820,1.3409123589269711e-07,0.0
1821,1.400331378631492e-07,0.0
1822,1.0627152846609533e-07,3.0076847679083585e-09
1823,1.8678278479455912e-07,0.0
1824,1.0863235644364977e-07,0.0
1825,1.6906450905906922e-07,8.805443041381977e-10
1826,1.4885493726524146e-07,1.7615968683770689e-09
1827,2.451794500757387e-07,0.0
1828,1.3941897708535933e-07,9.172301251858528e-10
1829,2.571952677499212e-07,1.714635211591542e-09
1830,2.2021723111720348e-07,1.0436835840010872e-09
1831,1.559120579308626e-07,0.0
1832,1.7453660050570363e-07,4.058990921151917e-09
1833,1.888131464511389e-07,0.0
1834,1.8389025413512172e-07,2.8003592777992026e-09
1835,3.4714572905159e-07,0.0
1836,2.2984965841743588e-07,0.0
1837,1.4959464933461675e-07,6.957890930081589e-10
1838,1.6474743036454242e-07,2.5248647617104325e-09
1839,1.3843120427736721e-07,6.9914751765765e-10
1840,1.554203974407642e-07,1.9109065441114126e-09
1841,1.9903700021473014e-07,0.0
1842,2.0124794586351413e-07,6.708265054555795e-10
1843,1.8547700486593044e-07,1.7720733769266417e-09
1844,2.689395000032846e-07,5.488561272137815e-10
1845,1.8358950626407022e-07,0.0
1846,2.0022395119667635e-07,0.0
1847,3.0795305594466527e-07,1.6179670936367074e-09
1848,2.204390716631366e-07,8.045221711050488e-10
1849,1.625606529387369e-07,8.379414939696517e-10
1850,2.2878916094981605e-07,0.0
1851,1.9219328084574272e-07,6.449438760824933e-10
1852,1.692741751213589e-07,0.0
1853,2.0901761921265916e-07,0.0
1854,2.1821790241460803e-07,1.558699391779328e-09
1855,2.1705372432734293e-07,0.0
1856,1.8793196510102916e-07,5.177189232874468e-10
1857,1.3961115952199066e-07,9.763018171682347e-10
1858,2.0847060255846372e-07,4.893676019968041e-10
1859,1.604034665092513e-07,5.092173349652285e-10
1860,1.9132629347495822e-07,9.154367819341758e-10
