year,tes_DET offres_NOUN,tes_DET coffres_NOUN
1800,1.2576657937302116e-08,0.0
1801,4.286128785224719e-08,7.143547753329926e-09
1802,3.3567602031325805e-08,2.6854081625060644e-08
1803,2.3404069793286908e-08,7.801356893821776e-09
1804,1.9774807569206132e-08,0.0
1805,2.842877711017877e-09,2.842877711017877e-09
1806,1.4408345627714425e-08,0.0
1807,5.693910232196231e-09,8.540865792383556e-09
1808,9.064295980465431e-09,1.1330369975581789e-08
1809,3.162642769893864e-08,0.0
1810,4.680253518074551e-09,0.0
1811,5.0141535368197765e-09,5.0141535368197765e-09
1812,1.8670457180292033e-08,8.00162425207418e-09
1813,2.8757416448144113e-09,0.0
1814,9.440030979135372e-09,0.0
1815,2.966945977789237e-08,0.0
1816,4.6352077731626196e-09,2.0858434979231788e-08
1817,3.425121564148981e-08,1.556873407970727e-09
1818,3.5763532135746345e-09,8.344824387052086e-09
1819,1.3456364911235141e-08,1.9666995143552413e-08
1820,2.3732962262101864e-08,1.6613073583471305e-08
1821,1.97229765852569e-09,1.0847637454958203e-08
1822,2.0051231786055723e-08,7.017931125119503e-09
1823,2.3718449426723964e-08,3.9530747564242574e-09
1824,4.294767652623932e-08,8.421112696055388e-10
1825,2.289415235168235e-08,6.163810128967384e-09
1826,1.2331177856594877e-08,1.0569580766173203e-08
1827,1.0139000472531023e-08,3.6869092223668076e-09
1828,1.3758452155343548e-08,4.586150570418113e-09
1829,6.858540846366168e-09,5.143905745796928e-09
1830,6.262101504006523e-09,1.7742621594152297e-08
1831,9.354723218280014e-09,0.0
1832,2.4353945637933805e-08,4.058990921151917e-09
1833,6.950177322551099e-09,2.3167257001688313e-09
1834,1.5868702352150876e-08,4.667265685043276e-09
1835,1.8151411040889798e-08,2.0420337421001022e-08
1836,1.747394939854985e-08,8.064899859050456e-09
1837,2.5048407570338327e-08,1.3915781860163179e-09
1838,1.1361891205652341e-08,6.312161904276081e-10
1839,1.8177836125232716e-08,1.3982950353153e-09
1840,2.7389660761656387e-08,8.917563742993906e-09
1841,1.219904222082846e-08,7.0626033910059505e-09
1842,2.0795621225033756e-08,1.542900918138912e-08
1843,2.4809026388794564e-08,4.7255288571079745e-09
1844,7.1351298203126134e-09,8.232841963717874e-09
1845,1.0044410636567136e-08,3.9061593959388574e-09
1846,1.5807152919933287e-08,3.5127007969038004e-09
1847,8.089835468183537e-09,4.314578916364553e-09
1848,4.02261068899179e-09,8.045221711050488e-10
1849,3.3517659758786067e-09,2.513824481908955e-09
1850,1.1541293254424545e-08,6.1100964288129944e-09
1851,1.7413483988093503e-08,6.449438760824933e-10
1852,9.114763388495817e-09,1.9531636308300904e-09
1853,1.0152284346531815e-08,1.1346670270029335e-08
1854,1.2989161579657349e-08,7.27393034694046e-09
1855,1.0613874223963649e-08,1.5920811335945473e-09
1856,1.2425253714809514e-08,3.1063135952358323e-09
1857,1.8549735136819123e-08,3.905207268672939e-09
1858,1.4681027837859517e-08,2.9362056119808244e-09
1859,1.2221216261210088e-08,6.61982535454797e-09
1860,7.781213007262977e-09,1.1442959468865865e-08
1861,1.7920662287451705e-08,8.017138064531082e-09
1862,1.0843167252971853e-08,2.2589932147099034e-09
1863,7.491931519609807e-09,5.9935452156878455e-09
1864,1.2945765792693464e-08,1.4384183844029508e-09
