year,as_VERB omis_VERB,as_VERB commis_VERB
1800,0.0,9.432493897065797e-09
1801,0.0,1.1905912700171939e-08
1802,2.2378401354217203e-09,1.5664880947952042e-08
1803,0.0,3.90067853572873e-08
1804,0.0,3.9549615138412264e-08
1805,0.0,3.695740957709859e-08
1806,0.0,2.881669125542885e-08
1807,0.0,3.9857372513552036e-08
1808,0.0,4.5321479902327155e-09
1809,0.0,2.710836710662079e-08
1810,9.360507036149102e-09,1.6380887757350138e-08
1811,0.0,2.5070767684098882e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,5.751483289628823e-09
1814,0.0,1.2586708564299443e-08
1815,0.0,2.697223555614414e-09
1816,2.3176038865813098e-09,1.8540831092650478e-08
1817,0.0,9.341240669868967e-09
1818,0.0,7.152706427149269e-09
1819,1.035105001712111e-09,1.3456364911235141e-08
1820,0.0,1.779972080839798e-08
1821,0.0,3.0570614484304315e-08
1822,0.0,3.8097340393505874e-08
1823,0.0,5.336650943377208e-08
1824,8.421112696055388e-10,1.0105335235266466e-08
1825,0.0,2.6416328680056722e-08
1826,0.0,1.145037931138404e-08
1827,0.0,2.2121454890111636e-08
1828,0.0,4.586150570418113e-09
1829,3.429270423183084e-09,1.2859763920403111e-08
1830,0.0,1.0436835395921662e-08
1831,4.677361609140007e-09,9.354723218280014e-09
1832,0.0,1.7588959622116818e-08
1833,8.108539617524002e-09,3.243415847009601e-08
1834,0.0,1.9602515166639023e-08
1835,2.2689263801112247e-09,2.4201881387853064e-08
1836,6.720750067579218e-10,3.427582484505365e-08
1837,4.87052354003481e-09,3.6876823372722356e-08
1838,3.1560809521380406e-09,3.976661844262708e-08
1839,0.0,2.027527834513876e-08
1840,3.1848443882154243e-09,3.630722389402763e-08
1841,0.0,2.0545755319290038e-08
1842,0.0,4.293289634915709e-08
1843,1.7720733769266417e-09,4.134837894298471e-08
1844,5.488561272137815e-10,4.720162749549672e-08
1845,5.580227946389016e-10,3.348136701220028e-08
1846,2.9272506640865004e-09,1.1709002656346001e-08
1847,0.0,4.368511241636952e-08
1848,1.6090443422100975e-09,1.769948809737798e-08
1849,0.0,1.005529792763582e-08
1850,2.0366988096043315e-09,1.6293590476834652e-08
1851,6.449438760824933e-10,2.5152811389261842e-08
1852,1.3021090872200602e-09,1.8229528109259263e-08
1853,0.0,3.523439673358553e-08
1854,0.0,3.636965217879151e-08
1855,5.306937111981824e-10,2.7065379271107304e-08
1856,5.177189232874468e-10,1.3978411317339123e-08
1857,0.0,2.147863931156735e-08
1858,0.0,2.838332058274773e-08
1859,5.092173349652285e-10,5.4995471288066256e-08
1860,9.154367819341758e-10,2.9751696217772405e-08
1861,2.357981809808507e-09,3.065376574795664e-08
1862,4.517986262886353e-10,3.34330998441601e-08
1863,9.989241656072068e-10,1.9479021062807078e-08
1864,0.0,2.1096802527154068e-08
1865,1.882737743486018e-09,3.9066808454890634e-08
1866,1.4596839292835284e-09,2.4814625021463144e-08
1867,0.0,2.523461972714358e-08
1868,0.0,3.1615194018286275e-08
1869,0.0,4.102156125895817e-08
1870,5.734048791339319e-10,2.6376625328339287e-08
1871,0.0,3.717412155879174e-08
1872,1.2094678591978436e-09,2.0560953828407946e-08
1873,1.7958012854535355e-09,2.6338419445437466e-08
1874,2.3898436563030145e-09,1.7326366119618797e-08
1875,2.2886108563824337e-09,2.7463329388410784e-08
1876,6.04601479992084e-10,2.5997863417615008e-08
1877,6.184815992682502e-10,2.1028373708986692e-08
1878,3.6234530931267273e-09,3.01954443671093e-08
1879,0.0,1.2829582729523281e-08
1880,3.2089231272180996e-09,1.7328185109022343e-08
1881,0.0,1.9523021421719022e-08
1882,1.3310770263785798e-09,1.5307385581309063e-08
1883,1.2638677882037541e-09,3.349249766415596e-08
1884,0.0,2.2445769687351458e-08
1885,6.445635691854079e-10,2.1915161241281567e-08
1886,1.2906927748801422e-09,1.4197620856748472e-08
1887,1.3057849246322917e-09,1.1099172247952538e-08
1888,0.0,1.4583413587843097e-08
1889,3.759081934617825e-09,1.628935564212952e-08
1890,0.0,1.5730527991308918e-08
1891,6.374220040683554e-10,6.3742202627281586e-09
1892,6.268512375839919e-10,1.002961980134387e-08
1893,1.2316833108982905e-09,1.3548516086814288e-08
1894,6.301539290376468e-10,1.071261657159539e-08
1895,0.0,1.023164486468886e-08
1896,0.0,1.2383760683576384e-08
1897,0.0,1.631479840114025e-08
1898,0.0,2.093591255913907e-08
1899,0.0,2.1557555740514545e-08
1900,5.191053142894475e-10,1.557315876254961e-08
1901,0.0,7.824234593556412e-09
1902,0.0,1.0802624572647801e-08
1903,1.6200660812870638e-09,1.7820726228023887e-08
1904,0.0,1.4511488011237361e-08
1905,2.0643036169332163e-09,1.4450125540577119e-08
1906,1.0288369045596824e-09,7.716276506641861e-09
1907,5.142843373384665e-10,2.3657079850636364e-08
1908,0.0,1.6698722404839828e-08
1909,1.6502950117569526e-09,1.5952851484257735e-08
1910,5.344150677544235e-10,2.9927242906069296e-08
1911,0.0,1.4365010514438836e-08
1912,1.0418842455450772e-09,2.0837685354990754e-08
1913,3.71209285532359e-09,6.893886794756554e-09
1914,1.3393487430235496e-09,1.875088173619588e-08
1915,0.0,1.295883844676382e-08
1916,0.0,1.8678685265172135e-08
1917,1.0966424435210342e-09,8.773139548168274e-09
1918,0.0,1.1486376294556067e-08
1919,0.0,8.287063479883727e-09
1920,0.0,9.843901693784574e-09
1921,1.1359120755116692e-08,1.741731914250977e-08
1922,6.640141769764796e-09,2.4347187377316004e-08
1923,1.0615948120573648e-09,1.2739137744688378e-08
1924,0.0,2.0626599095407983e-08
1925,1.0998177923937646e-09,2.3096173862313663e-08
1926,1.1146138456652466e-09,3.343841470382358e-08
1927,1.1149224876660924e-09,8.919379901328739e-09
1928,1.1426041224282812e-09,2.5137291359556002e-08
1929,0.0,2.1166771446701205e-08
1930,3.1510811737689437e-09,1.2604324695075775e-08
1931,0.0,1.0264820993199919e-08
1932,1.0959536611565568e-09,8.767629289252454e-09
1933,6.882397318719313e-09,1.1470662641954732e-08
1934,2.3963160344919743e-09,1.7972370258689807e-08
1935,3.590485242455088e-09,7.180970484910176e-09
1936,2.424942913137329e-09,9.699771652549316e-09
1937,0.0,1.2591118370153254e-08
1938,0.0,1.5558256905023882e-08
1939,0.0,1.5294050470515685e-09
1940,2.5357829169792012e-09,2.5357829613881222e-08
1941,2.9515025978810172e-09,1.7709016475464523e-08
1942,0.0,6.068423541449874e-09
1943,0.0,2.6129116648121453e-08
1944,0.0,3.213186161588055e-08
1945,2.178504043826024e-09,3.485606470121638e-08
1946,0.0,2.3665876369705074e-08
1947,2.3841741914054637e-09,2.7418003867296648e-08
1948,0.0,5.435944139264848e-09
1949,9.817008317369869e-10,1.1780409536754632e-08
1950,0.0,2.3397795700930146e-08
1951,0.0,1.0661401539380222e-08
1952,2.1089607837865287e-09,1.370824520563474e-08
1953,0.0,1.4005975934594517e-08
1954,9.772536113672459e-10,7.818028890937967e-09
1955,3.754243138587299e-09,9.385607846468247e-09
1956,1.744228317335228e-09,2.441919733087161e-08
1957,8.835037701437898e-10,1.4136060322300636e-08
1958,0.0,2.1507833736222892e-08
1959,2.325224457422337e-09,1.7826719656000023e-08
1960,1.3841666701708277e-09,1.7302083321624195e-08
1961,0.0,1.945484662257968e-08
1962,0.0,2.2831043722248978e-08
1963,3.2330267352165265e-09,2.5217607557692645e-08
1964,1.2167936658258327e-09,1.3993127545575135e-08
1965,0.0,2.2435377999840966e-08
1966,3.3234448526542337e-09,1.2185964237687585e-08
1967,1.4791006197611978e-09,2.3665609916179164e-08
1968,1.3474247273492779e-09,2.4253646202510026e-08
1969,3.1792304344691047e-09,1.544197658631674e-08
1970,3.219107425067591e-09,1.5175793066646293e-08
1971,0.0,2.4664307929356255e-08
1972,1.5390440033513642e-09,2.3598675014113724e-08
1973,5.513203782392395e-10,9.37244681864513e-09
1974,1.6876715580593782e-09,1.7439271360331077e-08
1975,2.2845920710778955e-09,1.7134439644905797e-08
1976,5.713526873840635e-10,2.285410793945175e-08
1977,1.7630346071939584e-09,1.4104276857551667e-08
1978,5.940591352171509e-10,1.6039596317796168e-08
1979,2.925986564150662e-09,2.57486831856113e-08
1980,2.2740602734216964e-09,1.5349906234973787e-08
1981,3.795329828193417e-09,1.707898356073656e-08
1982,0.0,2.296775925003658e-08
1983,1.89459470334441e-09,1.6419821946556112e-08
1984,5.799008495621649e-10,1.0438215625185876e-08
1985,1.8046674155058895e-09,1.804667348892508e-08
1986,0.0,1.498621315931814e-08
1987,0.0,1.8943532964499354e-08
1988,1.1993107618124554e-09,1.2592763276586538e-08
1989,5.488122178931576e-10,1.6464365870660913e-08
1990,1.6345953479657283e-09,1.3076762783725826e-08
1991,0.0,2.8721180100887977e-08
1992,2.7549720282848966e-09,1.652983172562017e-08
1993,5.539207426075166e-10,2.1602909683338112e-08
1994,1.0549853213248639e-09,1.5297286992677073e-08
1995,1.626735190995987e-09,1.7894087989134277e-08
1996,0.0,1.1743802375008272e-08
1997,4.79489448146353e-10,2.6371919759071716e-08
1998,1.9072516899143466e-09,2.1456582288692516e-08
1999,1.8280804647829996e-09,1.0511462811280126e-08
