year,deux_DET ouvertures_NOUN,deux_DET couvertures_NOUN
1800,1.144475856307281e-06,4.7162465932615305e-08
1801,8.810375327072961e-07,2.6193008650921e-08
1802,8.906603454761353e-07,3.1329761895904085e-08
1803,1.0804879462256167e-06,2.5354410126965377e-08
1804,8.50316711265009e-07,5.6852571983512235e-08
1805,7.903200298642332e-07,3.695740935505398e-08
1806,6.368488900676539e-07,4.8988373357872206e-08
1807,6.576466375918244e-07,6.832692633906845e-08
1808,4.962702035982147e-07,5.6651849433819734e-08
1809,8.222871121787989e-07,7.228897835886983e-08
1810,4.703654750137787e-07,6.552354792077608e-08
1811,3.5349782478988345e-07,1.2284675676710322e-07
1812,1.3442729609458581e-06,6.401299401659344e-08
1813,8.483437641260139e-07,5.176335093892703e-08
1814,4.908816282345185e-07,5.349351139827263e-08
1815,6.98580880253985e-07,1.3486118000116676e-08
1816,1.3349398457762618e-06,6.025770460382773e-08
1817,9.777165193014525e-07,4.514932783195036e-08
1818,6.199012285712513e-07,4.530047448270125e-08
1819,8.23943582695108e-07,3.105314938522952e-08
1820,4.663527057857664e-07,8.306536614099969e-08
1821,6.025369589934826e-07,6.607196922914227e-08
1822,5.87501077120578e-07,4.8122956286533736e-08
1823,6.028438992444762e-07,5.237824218795595e-08
1824,7.579001497504123e-07,6.147412268120434e-08
1825,5.115962302681965e-07,3.610231491535387e-08
1826,6.368172513759873e-07,4.844391243707946e-08
1827,7.410687636877356e-07,5.622536392024813e-08
1828,8.530239954396279e-07,5.503380623439469e-08
1829,8.050212088051012e-07,2.5719527840806222e-08
1830,8.443400147939428e-07,7.30578508800761e-08
1831,7.062816180791742e-07,5.76874619184764e-08
1832,8.591530775703404e-07,1.0688675899928057e-07
1833,6.591084833473815e-07,1.0772774372558303e-07
1834,7.607642551477056e-07,8.58776871837108e-08
1835,8.334523187158993e-07,9.15133639978194e-08
1836,7.191202602285784e-07,6.317505202302343e-08
1837,7.959827499348648e-07,8.349468894053302e-08
1838,7.801831891640632e-07,1.0793797144970085e-07
1839,8.858199187500304e-07,8.949087892951013e-08
1840,7.643626460662745e-07,7.070354257621148e-08
1841,6.266455407910598e-07,3.531301606685133e-08
1842,5.681900745457824e-07,6.104521110827932e-08
1843,7.005596458498076e-07,1.5535176167702502e-07
1844,6.619204615532226e-07,7.519328898419886e-08
1845,7.254296185976727e-07,6.640471195140663e-08
1846,5.831083438323503e-07,4.1566958097760676e-08
1847,5.970298815327624e-07,5.06963022672835e-08
1848,6.500539129206118e-07,4.022610866627474e-08
1849,6.711911311185759e-07,9.720121130207815e-08
1850,6.775417844551157e-07,6.313766309773428e-08
1851,6.36559605027287e-07,8.126293105092941e-08
1852,7.682443676770845e-07,1.1067927552232959e-07
1853,7.721707877550443e-07,9.674529355407913e-08
1854,6.64005899153608e-07,4.41631466951975e-08
1855,6.145433175674953e-07,9.287139945968192e-08
1856,6.761409316879963e-07,8.542362373020751e-08
1857,6.921980038043785e-07,6.492406900981962e-08
1858,6.205181346530253e-07,6.851146661102092e-08
1859,5.810170051745445e-07,5.550469017734372e-08
1860,6.325668255868777e-07,8.33047497650341e-08
1861,5.833647378494788e-07,1.2072866972800966e-07
1862,5.86886397258013e-07,8.584174260306554e-08
1863,5.933609443786736e-07,6.642845651327889e-08
