year,moins_ADV osé_VERB,moins_ADV causé_VERB
1800,2.829747991484055e-08,6.288328968651058e-09
1801,5.000483582762172e-08,0.0
1802,1.1189200677108602e-08,2.2378401354217203e-09
1803,3.1205427575287104e-08,1.3652374342143503e-08
1804,0.0,9.887403784603066e-09
1805,2.2743021688143017e-08,0.0
1806,5.76333825108577e-09,2.5935023018064385e-08
1807,1.1387820464392462e-08,5.693910232196231e-09
1808,6.798221985349073e-09,0.0
1809,2.25903047379461e-08,0.0
1810,3.510190182964834e-08,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,1.4378708002027452e-08,0.0
1814,1.2586708564299443e-08,1.2586708564299443e-08
1815,1.8880564667256294e-08,0.0
1816,1.622322720606917e-08,2.5493642752394408e-08
1817,2.80237220096069e-08,4.514932783195036e-08
1818,3.457141417584353e-08,1.1921176934492905e-08
1819,7.24573512300708e-09,0.0
1820,2.3732962262101864e-09,2.1359666035891678e-08
1821,2.3667571014129862e-08,7.88919063410276e-09
1822,1.2030739071633434e-08,1.4035862250239006e-08
1823,2.569498569471307e-08,1.087095569118901e-08
1824,2.105278085196005e-08,6.736890156844311e-09
1825,8.805443485471187e-09,1.937197424695114e-08
1826,1.4092774947016551e-08,1.76159691278599e-08
1827,5.530363722527909e-09,4.608636583469661e-09
1828,1.559291185060374e-08,1.834460228167245e-08
1829,1.800366966620004e-08,3.0006116702452346e-08
1830,8.349468672008697e-09,1.878630406793036e-08
1831,0.0,0.0
1832,1.8941957335982806e-08,2.705993873419743e-09
1833,1.50587169400751e-08,1.0425265983826648e-08
1834,2.8003592777992026e-09,2.14694217959277e-08
1835,1.5126175867408165e-09,3.025235173481633e-08
1836,1.2097349788575684e-08,1.344150035720304e-08
1837,1.461157062010443e-08,1.87863058442872e-08
1838,1.009945904684173e-08,1.199310784016916e-08
1839,1.3283802502428443e-08,2.1673573158409454e-08
1840,8.917564464638872e-09,1.9109065441114126e-09
1841,3.2102742686390684e-09,8.346713542550788e-09
1842,1.0733224087289273e-08,1.1404051036834062e-08
1843,1.3585895519696578e-08,8.269675610961258e-09
1844,1.4270259640625227e-08,7.1351298203126134e-09
1845,6.138250796539069e-09,2.2320911785556063e-09
1846,8.781752214304106e-09,2.3418005312692003e-09
1847,7.550513103637968e-09,1.0786447290911383e-08
1848,1.126331028444838e-08,2.574470947536156e-08
1849,2.2624419893091385e-08,3.3517659758786067e-09
1850,9.504594444820214e-09,4.073397619208663e-09
1851,9.029214709244116e-09,1.9348316726564008e-08
1852,2.4740073101270355e-08,3.906327261660181e-09
1853,1.3735443005202796e-08,6.569124799682413e-09
1854,5.195664343204953e-09,1.2469595134234623e-08
1855,2.3350523292720027e-08,7.429711956774554e-09
1856,1.0872097000458325e-08,1.4496129630003907e-08
1857,1.5620829074691756e-08,1.0739319655783675e-08
1858,6.361778659424999e-09,2.3489644007668176e-08
1859,6.619825576592575e-09,9.165912473463322e-09
1860,9.154368096897514e-09,1.0985241161165504e-08
1861,1.0375120318428799e-08,1.131831339762357e-08
1862,1.8523744316212287e-08,1.355395884417021e-08
1863,9.989241434027463e-09,1.4983863039219614e-09
1864,1.6781548595190543e-08,1.2466292886870178e-08
1865,1.553258677233771e-08,1.1767110841276462e-08
1866,1.556996132023869e-08,1.702964524952222e-08
1867,2.523461972714358e-08,1.649955905236311e-08
1868,5.9278488784286765e-09,1.4819621974027086e-08
1869,1.4650557544904075e-08,2.783605879130846e-08
1870,1.6055336615750093e-08,2.8670243068518175e-08
1871,7.434824311758348e-09,1.4869648623516696e-08
1872,1.5723081503438152e-08,1.4513614310374123e-08
1873,1.3767810447262718e-08,5.9860045809045914e-09
1874,7.766991494406739e-09,1.4936523129449597e-08
1875,9.154443425529735e-09,7.437985338754061e-09
1876,1.3301232115736639e-08,5.078652520751348e-08
1877,1.0514186854493346e-08,1.4843558382438005e-08
1878,1.6305540029293297e-08,1.1474268646338714e-08
1879,4.276527687530063e-09,1.0996785704264767e-08
1880,1.7328185109022343e-08,7.701415505323439e-09
1881,1.045876096839038e-08,9.064259565150223e-09
1882,7.320923423037584e-09,1.1979693681496428e-08
1883,1.3902545781263598e-08,1.64302811356265e-08
1884,1.7824582698722224e-08,1.2543224237049344e-08
1885,1.2891271161663553e-08,1.4180398189012067e-08
1886,1.1616235084943582e-08,1.355227396970804e-08
1887,3.264462256069578e-09,1.3057849024278312e-08
1888,5.07249175996094e-09,2.0924028731883482e-08
1889,1.8168895721260014e-08,8.14467782106476e-09
1890,1.3108772733971819e-08,9.176140736144589e-09
1891,8.92390783491237e-09,1.1473596295275001e-08
1892,1.4417578242387208e-08,5.641661360300532e-09
1893,6.774258043407144e-09,2.3401982574000613e-08
1894,1.5753848003896564e-08,2.0164925729204697e-08
1895,9.629783193076946e-09,2.1065151400989635e-08
1896,4.717623180994224e-09,1.533227589334274e-08
1897,5.2440420894583895e-09,9.322741689743452e-09
1898,3.3950129374460403e-09,3.960848538042683e-09
1899,7.185851913504848e-09,8.291367592505594e-09
1900,7.267474289029963e-09,4.15284251431558e-09
1901,1.117747761014698e-08,1.0618603774048552e-08
1902,1.0802624572647801e-08,1.3748794991386148e-08
1903,1.0260418292773466e-08,1.674068350610014e-08
1904,5.374625189347171e-09,6.449550227216605e-09
1905,1.5482277126999122e-09,8.773290538499623e-09
1906,1.2346042743693886e-08,8.230695236477459e-09
1907,6.171411992550446e-09,7.71426478252124e-09
1908,9.822778146428846e-09,3.437972351250096e-09
1909,1.1552065082298668e-08,1.1001967337165297e-08
1910,1.068830179917768e-08,1.068830179917768e-08
1911,8.51259862599818e-09,9.044636151145369e-09
1912,1.3544495303108306e-08,9.897900277167082e-09
1913,6.363587878865928e-09,7.42418571064718e-09
1914,7.366418142140674e-09,1.4732836284281348e-08
1915,1.5314990164938536e-08,3.534228465440492e-09
1916,1.2086208478478966e-08,1.0987461607214755e-08
1917,6.57985488317081e-09,5.483212106582869e-09
1918,4.594550517822427e-09,1.033773866510046e-08
1919,5.524709134618888e-09,3.6831393490643904e-09
1920,1.4387240288016301e-08,9.843901693784574e-09
