year,serions_VERB en_ADP
1800,9.746909768182377e-08
1801,8.096020565062645e-08
1802,1.656001700212073e-07
1803,7.606323038089613e-08
1804,1.458392091535643e-07
1805,1.2792949632967066e-07
1806,1.2391177506287931e-07
1807,9.11025637151397e-08
1808,1.0877155176558517e-07
1809,8.810219043198231e-08
1810,1.9657065308820165e-07
1811,5.264861258069686e-08
1812,4.5342538612658245e-08
1813,4.601186631703058e-08
1814,3.1466772298927026e-08
1815,1.2407228666688752e-07
1816,1.4137383175238938e-07
1817,9.341240314597599e-08
1818,1.3351719019283337e-07
1819,1.583710655950199e-07
1820,1.7918387129611801e-07
1821,1.7652064343565144e-07
1822,2.1454818011079624e-07
1823,1.4824030358795426e-07
1824,9.515857612996115e-08
1825,1.3560382683408534e-07
1826,2.334115833946271e-07
1827,1.0415518403306123e-07
1828,1.0548146178734896e-07
1829,7.973054039212002e-08
1830,1.5550885734683106e-07
1831,2.2451337144957506e-07
1832,1.204167290325131e-07
1833,1.4016190164056752e-07
1834,1.3068343207578437e-07
1835,1.8983351424139983e-07
1836,2.1103154779211764e-07
1837,1.2941677596245427e-07
1838,1.5780405249188334e-07
1839,9.788065113980338e-08
1840,1.5159858435254137e-07
1841,1.5987166079867166e-07
1842,1.3148199684565043e-07
1843,1.7543526098506845e-07
1844,1.7014539821502694e-07
1845,1.6852288808877347e-07
1846,1.5221704074974696e-07
1847,1.396844879764103e-07
1848,1.1906928421012708e-07
1849,1.0725651122811541e-07
1850,1.5546801535037957e-07
1851,1.5607642467330152e-07
1852,1.3086196304357145e-07
1853,1.409375869343421e-07
1854,1.4703729789289355e-07
1855,1.369189703837037e-07
1856,1.6877636710432853e-07
1857,1.3619410310639068e-07
1858,1.5464016200894548e-07
1859,1.476730204785781e-07
1860,1.327383358784573e-07
1861,1.4383689972419234e-07
1862,1.617439124856901e-07
1863,1.818041965861994e-07
1864,1.5151340448937844e-07
1865,1.7415324293779122e-07
1866,1.1774783104101516e-07
1867,1.44613778729763e-07
1868,1.1411108857828367e-07
1869,2.0120099009091064e-07
1870,1.9667787398702785e-07
1871,1.646282470346705e-07
1872,1.6932550295223336e-07
1873,1.292977032107956e-07
1874,1.469753811988994e-07
1875,1.9281546315141895e-07
1876,1.7654363659858063e-07
1877,1.5214646964523126e-07
1878,1.5278894238690555e-07
1879,1.692283149168361e-07
1880,1.5210295600809332e-07
1881,1.485144167645558e-07
1882,1.7769878013496054e-07
1883,1.8578856497697416e-07
1884,1.9210938262403943e-07
1885,1.5147243459523452e-07
1886,1.4778431989270757e-07
1887,1.9978509158136148e-07
1888,2.0416779022980336e-07
1889,1.6602612618044077e-07
1890,1.8090106834733888e-07
1891,1.4405736692424398e-07
1892,1.849211201943035e-07
1893,1.4287526539646933e-07
1894,1.506067945911127e-07
1895,1.3842813473274873e-07
1896,1.8162849357850064e-07
1897,1.5091188743099337e-07
1898,1.7767234794519027e-07
1899,1.4095324729623826e-07
1900,1.6663280177908746e-07
1901,2.0734221095608518e-07
1902,1.851176989475789e-07
1903,1.738870878398302e-07
1904,1.9509889170876704e-07
1905,1.7133720575657208e-07
1906,2.057673782474012e-07
1907,1.7537095686748216e-07
1908,1.7779228755898657e-07
1909,1.6778000144768157e-07
1910,1.5818686449620145e-07
1911,1.612073390333535e-07
1912,1.6253393653187231e-07
1913,1.5961998656166543e-07
1914,1.5737347780486743e-07
1915,1.7788950401609327e-07
1916,1.7909563609919132e-07
1917,2.3906804358375666e-07
1918,1.780388316774406e-07
1919,1.9888952351720945e-07
1920,1.5674520170705364e-07
1921,1.522122232699985e-07
1922,1.7338147983991803e-07
1923,1.9639503534563119e-07
1924,2.3720589581444074e-07
1925,1.8696901804560184e-07
1926,1.7387975503879716e-07
1927,1.79502521291397e-07
1928,1.428255131941114e-07
1929,1.7044821731815318e-07
1930,1.5650368823116878e-07
1931,2.1670177829946624e-07
1932,1.8521616595990054e-07
1933,1.5944220876917825e-07
1934,1.7133659468981932e-07
1935,1.4361941680363088e-07
1936,1.6489612164605205e-07
1937,1.951623289642157e-07
1938,1.9577473153731262e-07
1939,1.7129336526977568e-07
1940,1.3186071612381056e-07
1941,1.0035108743977617e-07
1942,1.7295006671247393e-07
1943,1.7709734834170376e-07
1944,1.8957798886276578e-07
1945,2.2656442411062017e-07
1946,2.0881655871107796e-07
1947,2.0503898667811882e-07
1948,1.6742707487082953e-07
1949,1.5903553673979332e-07
1950,2.1483430145963212e-07
1951,1.9190522948520083e-07
1952,1.7715269962081948e-07
1953,2.0793487465198268e-07
1954,1.9838248022097105e-07
1955,1.604938972832315e-07
1956,1.7529494300561055e-07
1957,1.7405024266281544e-07
1958,1.9357050007329235e-07
1959,1.4571405415608751e-07
1960,1.792495822883211e-07
1961,2.1469811883889633e-07
1962,1.5347534088050452e-07
1963,1.6294454496801336e-07
1964,1.7521828965527675e-07
1965,1.9371033488368994e-07
1966,1.567558172155259e-07
1967,1.6615230435945705e-07
1968,1.6752980513956572e-07
