year,les_DET oeufs_NOUN,les_DET queues_NOUN
1800,1.050150927994764e-06,8.615010642643028e-07
1801,1.750169179359773e-06,5.905332614020153e-07
1802,1.635861167414987e-06,6.512114509860112e-07
1803,5.74569926703461e-06,6.319098986296012e-07
1804,1.4015394937949566e-06,4.943701750192986e-07
1805,1.4356532724857374e-06,6.169044581838534e-07
1806,3.0257525018839715e-07,7.002456179350247e-07
1807,3.387876525984268e-07,2.676137782486876e-07
1808,3.172503699744311e-07,4.985362878073829e-07
1809,3.004510509274638e-07,5.195770214072581e-07
1810,4.937667354987241e-07,3.2761775514700275e-07
1811,1.6797414126301646e-07,4.337242813789999e-07
1812,2.0270783229747735e-07,5.521120840512594e-07
1813,3.911008619184031e-07,3.364617811030257e-07
1814,5.349350913341766e-07,4.090680283397319e-07
1815,2.2656678222432447e-07,4.2346410822347025e-07
1816,3.963102610526903e-07,4.959672370574708e-07
1817,6.196355881726845e-07,5.807137881674862e-07
1818,4.828076922702706e-07,4.7327074170766537e-07
1819,5.775886062764357e-07,4.181824095894626e-07
1820,2.7174242323013686e-07,4.1651347970628194e-07
1821,1.2425475581778755e-07,3.5994431257790893e-07
1822,1.9349438673543773e-07,3.358581466272881e-07
1823,1.8678277735606486e-07,4.565801319245111e-07
1824,2.147383737494124e-07,4.2105562236827154e-07
1825,1.9107811288776588e-07,5.714732651540544e-07
1826,1.6030530847199742e-07,3.188490431682567e-07
1827,6.756261352047765e-07,4.0648173893487183e-07
1828,3.1460993210608024e-07,4.0082956687115256e-07
1829,1.7746473929269868e-07,4.560929554031645e-07
1830,2.0143092882562996e-07,3.903376502023548e-07
1831,1.7773974980705987e-07,8.029471203485627e-07
1832,1.9483155533350782e-07,5.601407337962883e-07
1833,1.8997151052246863e-07,3.8573483607251546e-07
1834,2.240287466648283e-07,3.407103807973044e-07
1835,1.8680827196249083e-07,4.4924741615659514e-07
1836,2.083432480426417e-07,5.09432847906055e-07
1837,2.866651082067406e-07,4.146902981005951e-07
1838,2.9793404321409866e-07,5.276967414147293e-07
1839,2.0415107082616402e-07,5.229623525337956e-07
1840,1.1911317832069557e-07,3.465110633982249e-07
1841,1.5280905474313045e-07,3.5634045580934526e-07
1842,2.8912622784815767e-07,2.710139028749836e-07
1843,1.7720733613835193e-07,3.077500796422328e-07
1844,2.2064016780287687e-07,3.419373744151244e-07
1845,1.8414752256390443e-07,2.829175596019695e-07
1846,1.7504959481939864e-07,3.6883359655348613e-07
1847,3.1658221377739437e-07,2.8638018534365983e-07
1848,2.051531546864993e-07,3.6444853890316153e-07
1849,2.0864742733550656e-07,3.44393953355393e-07
1850,1.7379830286046172e-07,2.82422242037228e-07
1851,2.3024495665602274e-07,3.6374834877506146e-07
1852,1.9401425377374437e-07,4.3295126772591175e-07
1853,1.9229620096261613e-07,4.03702586027066e-07
1854,1.1430461621664278e-07,3.782443620536924e-07
1855,1.719447624282111e-07,6.506304828235443e-07
1856,1.1234500962853389e-07,4.297067022207557e-07
1857,1.571845890113721e-07,4.573974052846097e-07
1858,8.514996041597556e-08,6.038796485086095e-07
1859,1.4461772246399107e-07,5.117634174212071e-07
1860,5.60705014196472e-07,4.687036181394433e-07
1861,1.763770467455572e-07,3.6925996482750634e-07
1862,1.0888347223847461e-07,4.6218998761560215e-07
1863,9.439833159596844e-08,2.7420468029504264e-07
1864,1.486365611702567e-07,3.442614797677379e-07
1865,1.2237795188330125e-07,3.346566295192588e-07
1866,1.3429091927363856e-07,4.1746958601152073e-07
1867,1.0918825665839904e-07,4.532525856859593e-07
1868,1.0966520536115354e-07,3.813582871714516e-07
1869,8.790334371511221e-08,2.9887137564799104e-07
1870,1.5481931425753714e-07,3.709929501383158e-07
1871,9.452847815616394e-08,5.777920186744723e-07
1872,1.1006157296655772e-07,4.6866880154539103e-07
1873,1.5862911295627669e-07,4.884579638542164e-07
1874,1.332337859483168e-07,4.4869315729556547e-07
1875,2.0940789680068406e-07,4.3712468311696284e-07
1876,1.0278224960025284e-07,3.839219289147877e-07
1877,1.6822699777652161e-07,4.3664800486453714e-07
1878,2.143876439708592e-07,4.1850885779126656e-07
1879,1.2035370577923032e-07,4.276527647562034e-07
1880,1.5852080514910938e-07,4.6529384434279564e-07
1881,1.2480788336155513e-07,6.052136285461529e-07
1882,2.642187848511668e-07,5.484037082226223e-07
1883,2.799467148095758e-07,4.790058945047804e-07
1884,1.1618986661687813e-07,5.294561091773176e-07
1885,1.2440076779807185e-07,4.028522297971904e-07
1886,1.35522741750993e-07,3.846264391427212e-07
1887,1.93909063028741e-07,3.4538011917106815e-07
1888,1.4076164656096068e-07,3.639512868858219e-07
1889,2.506054730400109e-07,3.5398021935861834e-07
1890,1.3502035778323318e-07,2.956028168910052e-07
1891,2.9958834346643926e-07,4.264353137273247e-07
1892,3.3787280573349676e-07,3.178135656867198e-07
1893,1.1269902422950118e-06,3.159267709662572e-07
1894,2.1047141474106468e-07,3.7305111888485953e-07
1895,1.1014064926762046e-07,2.750506933324459e-07
1896,1.4152869398653678e-07,3.538217399068344e-07
1897,2.0684832635620154e-07,3.6824830473847214e-07
1898,1.8163319970287972e-07,5.081202729684264e-07
1899,1.260287909587987e-07,3.6260914271224465e-07
1900,1.6092264853995175e-07,4.4850698799336897e-07
1901,1.6095568655671855e-07,3.515316642221933e-07
1902,2.1605248967659918e-07,8.411316230194643e-07
1903,2.65150816858295e-07,3.7639534156141963e-07
1904,2.1874724076553775e-07,3.359140663405924e-07
1905,2.4720036384540123e-07,3.622852862150694e-07
1906,2.3097389312276562e-07,4.1719336962842135e-07
1907,3.0497060254930375e-07,3.5897046046784453e-07
1908,2.603036168835615e-07,4.1501238712271515e-07
1909,4.692339121703526e-07,4.219254492454638e-07
1910,2.6987960999314e-07,5.980104518243934e-07
1911,3.89983427995233e-07,5.245888914373609e-07
1912,4.282144366873908e-07,3.7716210599114675e-07
1913,2.837099453145697e-07,3.770425784921372e-07
1914,4.151981181643727e-07,4.239038773334869e-07
1915,3.2750518208501944e-07,1.7082104175614177e-07
1916,2.3293419881831312e-07,2.0986052540195033e-07
1917,3.0705989151336155e-07,2.5551769411436e-07
1918,2.83713492699178e-07,3.893881483918449e-07
1919,2.9649270938403305e-07,2.5229504174717476e-07
1920,3.7936880126210326e-07,3.3847875613446377e-07
1921,2.726189037294269e-07,3.528900283100711e-07
1922,2.847883099899029e-07,3.246291555569769e-07
1923,4.554241823662153e-07,3.3546396416284097e-07
1924,3.699896127251634e-07,4.4476103155943747e-07
1925,5.290123736845231e-07,3.1894717267277883e-07
1926,4.6813781517940356e-07,3.9457329492620374e-07
1927,4.2701530234001694e-07,3.868780957816398e-07
1928,5.633038279162506e-07,3.2792738480225125e-07
1929,8.789780379103718e-07,3.486947335318291e-07
1930,5.840003525214854e-07,2.39482154995585e-07
1931,7.481913923967909e-07,3.1250677601235566e-07
1932,6.257895375227918e-07,3.616647159532249e-07
1933,7.387106162326518e-07,2.764429645196742e-07
1934,8.950240175664703e-07,4.1815713558435164e-07
1935,8.114496772293478e-07,2.836483439239146e-07
1936,7.638570274082213e-07,3.1160516300587915e-07
1937,6.408879105190834e-07,3.1729616445375086e-07
1938,5.28980734770812e-07,3.4617123745306344e-07
1939,1.049171872935517e-06,3.2270447292148674e-07
1940,8.063789493917284e-07,2.789361319699424e-07
1941,1.0005593633621856e-06,3.3351978956375206e-07
1942,6.614581877784076e-07,4.1265279548952094e-07
1943,3.629043916486552e-07,4.354852940480214e-07
1944,3.566636674889878e-07,3.6630321531561094e-07
