year,avez_VERB omis_VERB,avez_VERB commis_VERB
1800,4.7162465932615305e-08,3.772997558826319e-08
1801,1.1905912700171939e-08,5.476719877606229e-08
1802,2.0140561218795483e-08,1.1189200677108602e-07
1803,2.9255089017965474e-08,7.606323038089613e-08
1804,1.730295728918918e-08,7.168367943677367e-08
1805,1.1371510844071508e-08,4.8328921309348516e-08
1806,1.152667650217154e-08,6.051504897186533e-08
1807,2.8469551160981155e-09,5.693910054560547e-08
1808,1.8128591960930862e-08,3.3991110370834576e-08
1809,2.259030518203531e-09,7.00299480627109e-08
1810,3.042164919975221e-08,8.190443878675069e-08
1811,1.2535384286138651e-08,1.504245972228091e-08
1812,1.600324850414836e-08,3.200649700829672e-08
1813,0.0,4.3136125782439194e-08
1814,9.440030979135372e-09,1.5733386149463513e-08
1815,1.3486118000116676e-08,7.012781111370714e-08
1816,1.1588019432906549e-08,4.8669683394564345e-08
1817,3.113746771532533e-08,3.580808893843823e-08
1818,2.2650237241350624e-08,4.530047448270125e-08
1819,1.2421260464634543e-08,6.93520334493769e-08
1820,8.306536791735653e-09,5.577246042776096e-08
1821,4.043210211079895e-08,6.508582117703554e-08
1822,1.5038423839541792e-08,7.619468078701175e-08
1823,2.4706716672540097e-08,4.941343334508019e-08
1824,5.052667617633233e-08,8.000056794799093e-08
1825,1.0566531649658373e-08,9.245714949202011e-08
1826,7.927186018719112e-09,7.927185663447744e-08
1827,1.474763688946723e-08,8.111200600069424e-08
1828,1.7427371545863934e-08,8.805409379419871e-08
1829,8.573175946935407e-09,7.973054039212002e-08
1830,1.2524203008013046e-08,4.800944353178238e-08
1831,5.14509785887185e-08,8.419251429359065e-08
1832,4.058990654698391e-08,1.1771073360478113e-07
1833,1.50587169400751e-08,6.718504863556518e-08
1834,2.333632664885954e-08,7.467625096069241e-08
1835,1.739510224751939e-08,8.924443761770817e-08
1836,3.1587525484155776e-08,8.266522399935639e-08
1837,1.461157062010443e-08,1.1550098832913136e-07
1838,2.5248647617104325e-08,8.77390533560174e-08
1839,3.775396706373613e-08,8.110111338055503e-08
1840,1.0828470564661075e-08,4.713569623504554e-08
1841,1.926164472365599e-08,5.072233477676491e-08
1842,1.0062397137744483e-08,7.043678351692506e-08
1843,2.9534556134080958e-08,9.15571192194875e-08
1844,1.4819115712327857e-08,1.9594163802594267e-07
1845,2.0088821273134272e-08,8.760957825870719e-08
1846,1.2879903366069811e-08,1.0713737452761052e-07
1847,1.4561703842730367e-08,8.359496916909848e-08
1848,2.091757700384278e-08,5.63165514222419e-08
1849,3.351765798242923e-08,7.960444037280467e-08
1850,3.394497838371535e-08,6.381656447729256e-08
1851,3.4826967976187007e-08,8.319776156895387e-08
1852,3.2552726736412296e-08,6.445439737490233e-08
1853,1.0749477752369785e-08,7.882950114890264e-08
1854,1.1950028522278444e-08,6.390667550704165e-08
1855,2.7596072982305486e-08,8.331890910540096e-08
1856,1.3978411317339123e-08,9.9919752472033e-08
1857,7.322263684272912e-09,6.882928005325084e-08
1858,2.0064071293290908e-08,8.514996352460003e-08
1859,2.0877910955618972e-08,8.605773160752506e-08
1860,1.876645328025006e-08,7.552353764594955e-08
1861,2.7352589526685733e-08,9.101810150013989e-08
1862,2.3493528900075944e-08,4.879425219428413e-08
1863,1.9479021062807078e-08,9.539725454033032e-08
1864,2.4932585773740357e-08,6.952355846578939e-08
1865,2.2122168985561075e-08,8.142841068092821e-08
1866,1.8002767276925624e-08,1.2893873702068959e-07
1867,1.844068364675877e-08,6.405711161505678e-08
1868,2.4699369660652337e-08,6.91582400236257e-08
1869,1.0255390314739543e-08,8.692664010823137e-08
1870,1.7202147262196377e-08,8.199689460752779e-08
1871,2.2304472935275044e-08,1.2320565190293564e-07
1872,1.6327815544059376e-08,8.768641635015229e-08
1873,2.0352414864532875e-08,8.32054638522095e-08
1874,1.4936523129449597e-08,8.244960270076263e-08
1875,1.7736734747586524e-08,6.579756473001908e-08
1876,1.6928840551599933e-08,5.74371412653818e-08
1877,2.4739264858908427e-08,7.29808320443226e-08
1878,1.1474268646338714e-08,6.280652087298222e-08
1879,1.9549840857280287e-08,7.636656818021947e-08
1880,1.8611753915820373e-08,7.31634486328403e-08
1881,1.6036766581351003e-08,7.111957955885373e-08
1882,1.1314154946262533e-08,8.652000360598322e-08
1883,2.0853818227806187e-08,6.19295192905156e-08
1884,1.7824582698722224e-08,3.234831424947515e-08
1885,1.5469526104539e-08,1.0506386161068804e-07
1886,1.871504551331782e-08,5.485444276587259e-08
1887,1.1752064210668323e-08,5.941321390423582e-08
1888,1.7119660356001987e-08,4.1848057463766963e-08
1889,2.6940087494153886e-08,3.759081934617825e-08
1890,1.1797895993481688e-08,3.47382496102e-08
1891,2.8683990294098294e-08,4.716922674674606e-08
1892,1.8805536683430546e-08,4.4506439422775657e-08
1893,1.0469308087124318e-08,4.618812354806323e-08
1894,2.142523314319078e-08,4.915200690902566e-08
1895,2.467631965430428e-08,4.393588426410133e-08
1896,8.255840455717589e-09,4.48174191092221e-08
1897,2.155884004650943e-08,4.5448366847722355e-08
1898,2.093591255913907e-08,4.0174320758978865e-08
1899,1.0502398950507086e-08,4.643165851803133e-08
1900,1.0901211489056095e-08,7.319385275650347e-08
1901,1.8442838367604963e-08,4.5827658112784775e-08
1902,1.8659077838378835e-08,3.4863013809172116e-08
1903,1.1880484152015924e-08,3.4021386596805314e-08
1904,2.5260739278110123e-08,4.1384613069794796e-08
1905,2.4255568220610257e-08,2.7868098939620722e-08
1906,6.173021205313489e-09,5.6071609577657e-08
1907,1.7485668024619372e-08,2.0057088434555226e-08
1908,1.3260750719723546e-08,3.5361999550787004e-08
1909,7.151278680339601e-09,4.0707277548790444e-08
1910,1.9238942883248455e-08,7.374927690761979e-08
1911,1.755723388896513e-08,3.458243114096149e-08
1912,8.856016364688912e-09,2.5526164293410147e-08
1913,8.484783542428431e-09,3.92421242167984e-08
1914,1.2054139020278853e-08,2.5447626228469744e-08
1915,4.123266705846618e-08,2.238344798399794e-08
1916,2.7468654906215306e-08,3.29623865980011e-08
1917,2.631941953268324e-08,2.631941953268324e-08
1918,1.2635013924011673e-08,5.054005569604669e-08
1919,1.2890987832747669e-08,2.3940405213807026e-08
1920,3.104614876292544e-08,1.8930579770426448e-08
1921,1.3630945261411398e-08,6.436835064960178e-08
1922,1.2542490601674672e-08,4.648099505288883e-08
1923,1.1677542488541803e-08,3.078624999375279e-08
1924,1.4180787211159895e-08,5.285566118118368e-08
1925,1.2097995494286806e-08,3.8493624288094e-08
1926,1.89484357093761e-08,2.8979959765251806e-08
1927,2.7873062080630007e-08,5.351628118432927e-08
1928,6.8556245125250825e-09,4.34189573184085e-08
1929,1.6710609784809094e-08,4.121950425428622e-08
1930,2.3107928015519974e-08,6.512234307365361e-08
1931,1.4826963656844327e-08,3.649714130915527e-08
1932,9.863582839386709e-09,2.849479585620429e-08
1933,1.0323596200123575e-08,2.2941325283909464e-08
1934,1.5576054224197833e-08,3.2350264689284813e-08
1935,1.6755597798123745e-08,2.5133395809007197e-08
1936,3.6374143697059935e-09,3.394919900756577e-08
1937,1.0072894518486919e-08,2.0145789036973838e-08
1938,9.075650453382877e-09,2.5930429359277696e-08
1939,1.6823456405745674e-08,3.8235125288110794e-08
1940,7.607348528892999e-09,1.2678914806940611e-08
1941,1.4757512545315876e-08,3.836953510472085e-08
1942,1.517105907566929e-08,1.8205270180260413e-08
1943,8.709705845433291e-09,4.645176332473966e-08
1944,9.639558484764166e-09,3.213186161588055e-08
1945,6.535512131478072e-09,2.832055301382752e-08
1946,1.2528993842408909e-08,1.8097434661967782e-08
1947,1.6689218895749036e-08,4.649139739854036e-08
1948,2.717971980814582e-08,3.8051606310318675e-08
1949,2.4542520904446974e-08,3.141442661558358e-08
