year,coffres_NOUN ouverts_ADJ,coffres_NOUN couverts_ADJ
1800,2.829747991484055e-08,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,1.129515236897305e-08,0.0
1810,2.3401266702194334e-08,0.0
1811,0.0,0.0
1812,1.3336041604361526e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,8.091670444798638e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,1.556873407970727e-09,3.113746815941454e-09
1818,1.1921177378582115e-09,0.0
1819,0.0,0.0
1820,1.4239777357261119e-08,0.0
1821,1.97229765852569e-09,3.94459531705138e-09
1822,4.010246357211145e-09,0.0
1823,0.0,1.9765373338032077e-08
1824,2.5263338088166165e-09,8.421112696055388e-10
1825,2.641632912414593e-09,1.1447076175841175e-08
1826,3.5231937367541377e-09,6.1655889282974385e-09
1827,0.0,2.7651818612639545e-09
1828,9.172301140836225e-09,9.172301140836225e-09
1829,3.429270423183084e-09,6.001223074036943e-09
1830,4.174734336004349e-09,5.218417697960831e-09
1831,1.5591206103948707e-09,0.0
1832,0.0,0.0
1833,1.1583628500844156e-09,1.7375443306377747e-08
1834,2.8003592777992026e-09,1.5868701908061666e-08
1835,3.781543966852041e-09,5.294161553592858e-09
1836,6.720750067579218e-10,2.016224964762614e-09
1837,4.174734336004349e-09,6.262101948095733e-09
1838,3.1560809521380406e-09,1.2624323808552163e-09
1839,0.0,0.0
1840,2.5478754661634184e-09,5.732719632334238e-09
1841,0.0,1.0914932957462042e-08
1842,5.366612043644636e-09,1.341653010911159e-09
1843,5.906910960362666e-09,5.31621990873532e-09
1844,5.488561272137815e-10,2.195424508855126e-09
1845,5.580227946389016e-10,7.254296274794569e-09
1846,3.5127007969038004e-09,1.7563503984519002e-09
1847,7.550513103637968e-09,5.3932236454556914e-09
1848,0.0,1.930853166243196e-08
1849,3.3517659758786067e-09,0.0
1850,6.788996032014438e-10,0.0
1851,6.449438760824933e-10,1.483370937194195e-08
1852,0.0,0.0
1853,6.569124799682413e-09,9.555090940693844e-09
1854,2.0782657816909023e-09,5.195664454227256e-10
1855,0.0,2.653468555990912e-09
1856,8.801221973442352e-09,8.28350277259915e-09
1857,1.9526036343364694e-09,2.4407544874094356e-09
1858,6.361778659424999e-09,4.893676019968041e-10
1859,2.036869339860914e-09,2.036869339860914e-09
1860,0.0,2.746310290291376e-09
1861,4.715963619617014e-09,1.8863854922557266e-09
1862,1.3553959066214816e-09,0.0
1863,9.989241656072068e-10,4.994620828036034e-10
