year,dix_DET arts_NOUN,dix_DET quarts_NOUN
1800,0.0,1.5720821977538435e-08
1801,7.143547975374531e-09,4.286128785224719e-08
1802,4.475680270843441e-09,0.0
1803,3.900678446910888e-09,7.801356893821776e-09
1804,9.887403784603066e-09,0.0
1805,0.0,1.1371510844071508e-08
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,0.0,0.0
1809,4.518061036407062e-09,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,6.293354282149721e-09
1815,8.091670444798638e-09,2.697223555614414e-09
1816,2.3176038865813098e-09,1.1588019432906549e-08
1817,6.227493631882908e-09,1.401186100480345e-08
1818,3.5763532135746345e-09,0.0
1819,0.0,0.0
1820,3.5599443393152796e-09,2.3732962262101864e-09
1821,0.0,0.0
1822,1.0025615893027862e-09,3.0076847679083585e-09
1823,1.9765373782121287e-09,0.0
1824,8.421112696055388e-10,0.0
1825,8.805443041381977e-10,2.641632912414593e-09
1826,0.0,7.0463874735082754e-09
1827,3.6869092223668076e-09,9.217273055917019e-10
1828,8.255071293206129e-09,1.8344602503717056e-09
1829,8.57317605795771e-10,4.286587973467704e-09
1830,0.0,6.262101504006523e-09
1831,0.0,1.5591206548037917e-08
1832,9.470978667991403e-09,0.0
1833,0.0,1.1583628500844156e-09
1834,4.667265685043276e-09,0.0
1835,2.2689263801112247e-09,2.2689263801112247e-09
1836,3.36037508930076e-09,0.0
1837,4.87052354003481e-09,0.0
1838,1.8936485712828244e-09,4.418513555037862e-09
1839,4.894032734625853e-09,5.5931801412612e-09
1840,7.0066574764382494e-09,0.0
1841,1.2841097074556274e-09,1.2841097074556274e-09
1842,3.3541325272778977e-09,1.2074877098200432e-08
1843,2.953455480181333e-09,2.4809025944705354e-08
1844,4.390849017710252e-09,0.0
1845,2.2320911785556063e-09,1.0044410636567136e-08
1846,8.196302303531411e-09,8.781752214304106e-09
