year,toutes_DET ouvertures_NOUN,toutes_DET couvertures_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,4.943701892301533e-09,0.0
1805,1.421438877713399e-08,0.0
1806,2.881669125542885e-09,0.0
1807,8.540865792383556e-09,0.0
1808,9.064295980465431e-09,0.0
1809,2.710836710662079e-08,2.259030518203531e-09
1810,7.020380277111826e-09,0.0
1811,7.521229861140455e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,2.0130190847567064e-08,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,2.0858434979231788e-08,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,1.3456364911235141e-08,0.0
1820,4.746592452420373e-09,0.0
1821,2.9584463767662328e-09,0.0
1822,6.215881853677274e-08,0.0
1823,2.7671523739059012e-08,0.0
1824,1.6842225392110777e-09,0.0
1825,8.805443041381977e-10,0.0
1826,1.7615968128659176e-08,0.0
1827,1.1982455028203276e-08,8.295545583791863e-09
1828,1.6510142586412258e-08,0.0
1829,5.143905745796928e-09,0.0
1830,2.0873671680021744e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,2.705993873419743e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,3.733812370398937e-09,4.667265685043276e-09
1835,8.31939672707449e-09,0.0
1836,6.720750067579218e-10,0.0
1837,2.852735292435682e-08,0.0
1838,1.64116205070286e-08,1.2624323808552163e-09
1839,7.690622361167243e-09,0.0
1840,5.0957510988602905e-09,0.0
1841,8.988767952189392e-09,0.0
1842,1.341653010911159e-09,0.0
1843,5.906911071384968e-10,0.0
1844,8.781698035420504e-09,0.0
1845,1.1718478631905782e-08,0.0
1846,2.751615646445771e-08,5.854501328173001e-10
1847,4.314578916364553e-09,8.629157832729106e-09
1848,8.045221711050488e-10,0.0
1849,1.3407063903514427e-08,0.0
1850,8.82569484161877e-09,0.0
1851,3.998652076120379e-08,0.0
1852,1.1718981340891332e-08,0.0
1853,6.569124799682413e-09,0.0
1854,1.2989160858012383e-08,0.0
1855,3.1841622671890946e-09,1.5920811335945473e-09
1856,1.0354378465748937e-09,1.5531567143511893e-09
1857,1.1715622250108026e-08,1.9526036343364694e-09
1858,1.3212924976357954e-08,2.4468380654951716e-09
1859,1.018434669930457e-09,1.018434669930457e-09
1860,1.602014360058135e-08,0.0
1861,0.0,0.0
1862,1.536115412648087e-08,9.035972525772706e-10
1863,1.1987090431375691e-08,4.994620828036034e-10
1864,1.1507347075223606e-08,0.0
1865,8.001635798393636e-09,0.0
1866,3.4059290943133647e-09,9.731225825149181e-10
1867,5.82337378318698e-09,4.85281148598915e-10
1868,2.4699371437009177e-09,0.0
1869,1.4650557433881772e-09,4.883519144627257e-10
1870,1.1468097582678638e-08,1.7202146374017957e-09
1871,1.0621177048975028e-08,0.0
1872,6.047339295989218e-10,6.047339295989218e-10
1873,8.380406590902112e-09,0.0
1874,1.7923826867161097e-09,0.0
1875,8.010138330405425e-09,1.1443054281912168e-09
1876,3.627608879952504e-09,0.0
1877,6.80329748092845e-09,1.8554447978047506e-09
1878,1.932508364443919e-08,6.039088673581716e-10
1879,3.0546627449723474e-09,0.0
1880,3.8507077526617195e-09,1.2835692508872398e-09
1881,8.367008919041297e-09,0.0
1882,7.320923423037584e-09,0.0
1883,5.0554711528150165e-09,0.0
1884,2.6406787867472303e-09,0.0
1885,5.801072122668671e-09,6.445635691854079e-10
1886,3.2267319927115068e-09,0.0
1887,6.528924734183761e-09,0.0
1888,1.3315290647852862e-08,0.0
1889,1.3783300722991498e-08,0.0
1890,5.243509293428872e-09,0.0
1891,1.2748440081367107e-09,0.0
1892,6.8953633913793055e-09,0.0
1893,2.4633666773077323e-09,0.0
1894,4.411077725308132e-09,5.671385139294216e-09
1895,7.824199066419624e-09,1.8055843487019274e-09
1896,1.4742572274073495e-08,0.0
1897,4.07869948926276e-09,5.826713556089658e-10
