year,doigts_NOUN ouverts_ADJ,doigts_NOUN couverts_ADJ
1800,1.2576657937302116e-08,4.087413785214267e-08
1801,2.6193008650921e-08,7.143547975374531e-09
1802,2.2378401354217203e-09,8.951360541686881e-09
1803,4.095712213825209e-08,2.7304748684287006e-08
1804,2.4718509905596875e-08,2.4718509461507665e-09
1805,5.685755422035754e-09,0.0
1806,2.881669125542885e-09,2.881669125542885e-09
1807,2.2775640928784924e-08,5.693910232196231e-09
1808,4.985362878073829e-08,2.945896149242344e-08
1809,2.259030518203531e-09,2.25903047379461e-08
1810,2.3401266702194334e-08,0.0
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,0.0,0.0
1813,1.4378708002027452e-08,0.0
1814,1.2586708564299443e-08,3.1466771410748606e-09
1815,8.091670444798638e-09,2.4275012222574333e-08
1816,4.6352077731626196e-09,0.0
1817,1.5568733857662664e-08,1.401186011662503e-07
1818,2.026600220972341e-08,2.2650237241350624e-08
1819,1.7596784473994376e-08,7.24573512300708e-09
1820,1.1866481131050932e-09,1.542642635854463e-08
1821,1.4792232327920374e-08,1.4792232327920374e-08
1822,1.0025615893027862e-08,4.010246357211145e-09
1823,1.1859224713361982e-08,1.581229902569703e-08
1824,1.0947446504872005e-08,5.052667617633233e-09
1825,1.0566531649658373e-08,8.805443041381977e-10
1826,1.9377566218281572e-08,9.688783109140786e-09
1827,1.935627302884768e-08,1.013900075008678e-08
1828,2.109629271274116e-08,3.668920500743411e-09
1829,1.457439946506156e-08,7.715858174606183e-09
1830,1.1480519646056564e-08,6.262101504006523e-09
1831,0.0,7.795603274018958e-09
1832,6.764984572527055e-09,3.111892965534935e-08
1833,6.950177322551099e-09,0.0
1834,7.467624740797874e-09,1.4001796166951408e-08
1835,4.5378527602224494e-09,6.050470346963266e-09
1836,6.048674894287842e-09,1.1425274948351216e-08
1837,5.5663127440652715e-09,9.74104708006962e-09
1838,1.1361890983607736e-08,1.4517972601879592e-08
1839,5.5931801412612e-09,2.7965900706306e-09
1840,4.458782232319436e-09,1.1465439264668476e-08
1841,8.988767952189392e-09,1.733548060656176e-08
1842,1.341653010911159e-08,7.379091560011375e-09
1843,1.0455232768435962e-07,1.7130041385371442e-08
1844,6.037417232818143e-09,1.2074834465636286e-08
1845,1.1718478631905782e-08,9.48638767539478e-09
1846,1.1709002656346001e-08,6.439951683034906e-09
1847,1.1865092020002521e-08,9.707802561820245e-09
1848,1.287235473768078e-08,1.206783295515379e-08
1849,1.3407063903514427e-08,1.6758829879393033e-09
1850,1.8330290174617403e-08,2.7155984128057753e-09
1851,2.5152811389261842e-08,1.1608989325395669e-08
1852,5.859490670445666e-09,5.208436348880241e-09
1853,3.5831591027601917e-09,4.777545470346922e-09
1854,1.0391328686409906e-08,3.63696517347023e-09
1855,7.960405667972736e-09,4.776243400783642e-09
1856,6.212626857404757e-09,5.694908100650764e-09
1857,1.9037885934380938e-08,4.393358121745905e-09
1858,1.1255455234504552e-08,3.9149408159744326e-09
1859,2.036869339860914e-08,3.055304009791371e-09
1860,6.408057640072684e-09,7.323494255473406e-09
1861,1.6034276129062164e-08,3.3011746669586728e-09
1862,9.487771457372673e-09,1.1746764450037972e-08
1863,3.496234635136375e-09,6.493007020935693e-09
1864,3.3563094525845827e-09,1.0068928801842958e-08
1865,1.4120533187167439e-08,2.8241067262513297e-09
1866,1.556996132023869e-08,2.432806400776144e-09
1867,1.552899675516528e-08,3.88224918879132e-09
1868,1.1855697756857353e-08,9.87974813071446e-10
1869,2.24641887314192e-08,9.767038289254515e-10
1870,1.6628741050794815e-08,6.307453670473251e-09
1871,2.1242354542039266e-09,6.37270636261178e-09
1872,1.2094679036067646e-08,2.4189357183956872e-09
1873,8.979006871356887e-09,2.9930022904522957e-09
1874,1.1949218503559678e-08,5.974609140757536e-10
1875,8.58229043387837e-09,5.149374260327022e-09
1876,4.0508300713781864e-08,1.0882827083946722e-08
1877,1.4843558382438005e-08,5.566334504436554e-09
1878,1.8117265909722846e-08,1.509772218355465e-08
1879,1.4051448005147904e-08,3.0546627449723474e-09
1880,2.5671385017744797e-09,3.2089231272180996e-09
1881,6.2752567586699115e-09,1.3945014920579979e-08
1882,9.983077475794744e-09,5.989846840748214e-09
1883,2.211768546089843e-08,6.319338829996468e-09
1884,1.5183903911974994e-08,1.5844072720483382e-08
1885,9.66845359329227e-09,1.0957580620640783e-08
1886,2.452316216761119e-08,6.4534639854230136e-09
1887,1.8933882017790893e-08,1.5016526688782506e-08
1888,1.9655905347804037e-08,1.9021844099853524e-09
1889,6.891650361495749e-09,1.3783300722991498e-08
1890,1.1797895993481688e-08,5.243509182406569e-09
1891,9.561330394092238e-09,1.0198752065093686e-08
1892,1.4417578242387208e-08,1.0656471260972467e-08
1893,1.1700991287000306e-08,6.15841644346915e-09
1894,1.5753848003896564e-08,1.0082462864602348e-08
1895,8.426059849853118e-09,1.1435367319734269e-08
1896,7.66613794667137e-09,1.1204354777305525e-08
1897,9.905413378419325e-09,4.661370844871726e-09
1898,1.4711722506888236e-08,5.092519295146758e-09
1899,2.04520400615138e-08,9.39688327150634e-09
1900,1.038210584169974e-08,8.30568502863116e-09
1901,1.2295225282343836e-08,5.029864968975062e-09
1902,1.0802624572647801e-08,6.38336894454028e-09
1903,1.5660639007819555e-08,2.1600881083827517e-09
1904,6.449550227216605e-09,1.2361637935498493e-08
1905,2.4255568220610257e-08,1.0321517862621477e-08
1906,1.800464666246171e-08,3.600929110447737e-09
1907,2.8799922446864912e-08,1.0285686968813934e-08
1908,1.3260750719723546e-08,1.964555629285769e-09
1909,2.585462333115629e-08,5.500983557560346e-10
1910,2.5651923252212327e-08,1.0153886620400954e-08
1911,1.5429085564733214e-08,7.448523575703803e-09
1912,1.719108944087111e-08,1.2502610502451716e-08
1913,1.0075680734189518e-08,5.30298971401777e-10
1914,1.9420557606508737e-08,2.678697486047099e-09
1915,1.4136913861761968e-08,1.295883844676382e-08
1916,1.7579939282086343e-08,1.0987461607214755e-08
1917,6.57985488317081e-09,1.2063066989753679e-08
1918,2.1824114071478107e-08,3.44591288836682e-09
1919,1.1049418269237776e-08,1.1049418269237776e-08
1920,1.741613253614105e-08,4.543339038320937e-09
1921,1.3630945261411398e-08,6.815472630705699e-09
1922,2.1396012073182646e-08,9.591316185719734e-09
1923,1.8047112249064412e-08,6.369568872344189e-09
1924,1.2891624656674594e-08,6.445812328337297e-09
1925,1.3197813508725176e-08,4.399271169575059e-09
1926,1.5604593173179637e-08,1.2260752413340015e-08
1927,1.6723836537835268e-08,7.804457524684949e-09
1928,7.998228745975666e-09,2.2852082448565625e-09
1929,1.1140405931087116e-08,6.684243825105796e-09
1930,1.7856125467119455e-08,7.352522590764465e-09
1931,1.710803587684495e-08,1.1405356659111021e-08
1932,1.6439305028370654e-08,3.287861094491973e-09
1933,1.0323596200123575e-08,0.0
1934,7.188948103475923e-09,4.7926320689839486e-09
