year,derniers_ADJ anneaux_NOUN,derniers_ADJ canaux_NOUN
1800,3.238489512114029e-07,0.0
1801,3.119349116786907e-07,1.4287095950749062e-08
1802,3.289624999069929e-07,0.0
1803,8.464472216473951e-07,0.0
1804,4.1774279679884785e-07,4.943701892301533e-09
1805,3.041879210741172e-07,1.1371510844071508e-08
1806,4.8988376022407465e-08,6.339671898558663e-08
1807,8.256169792275614e-08,5.693910232196231e-09
1808,2.0847880932706175e-07,4.5321478125970316e-08
1809,2.1686693685296632e-07,1.129515236897305e-08
1810,1.1466621430145096e-07,2.3401267590372754e-09
1811,2.1560860830049933e-07,1.504245972228091e-08
1812,1.1735716043403954e-07,1.3336041604361526e-08
1813,2.5881675469463516e-08,0.0
1814,1.9194730782601255e-07,2.2026739543434815e-08
1815,5.1247248222807684e-08,8.091670444798638e-09
1816,3.430053823194612e-07,7.879853569647821e-08
1817,7.955623004818335e-07,2.3353100786493997e-08
1818,2.491526061021432e-07,1.1921177378582115e-09
1819,1.40774275791955e-07,5.2790355198339967e-08
1820,7.001224133773576e-08,1.6613073583471305e-08
1821,7.691961201317099e-08,4.7335142028259725e-08
1822,1.5038423839541792e-07,4.010246357211145e-09
1823,1.0772128433700345e-07,2.4706716672540097e-08
1824,7.915846111927749e-08,3.789500624407083e-08
1825,1.6554233184251643e-07,1.1447076175841175e-08
1826,1.4885493726524146e-07,1.5854372037438225e-08
1827,1.2627664602860023e-07,2.3043183361437514e-08
1828,1.4950850868444832e-07,1.3758452155343548e-08
1829,2.4605014914413914e-07,4.543783305166471e-08
1830,2.859692926904245e-07,2.817945699007396e-08
1831,1.7773975002910447e-07,1.2472964883158966e-08
1832,3.6801517921958293e-07,1.8941957335982806e-08
1833,1.1236119945579048e-07,1.0425265983826648e-08
1834,2.8563664500325103e-07,1.213489042584115e-08
1835,1.505054569861386e-07,6.050470346963266e-09
1836,2.3589832665038557e-07,2.016225053580456e-08
1837,2.734451243213698e-07,1.530736071231331e-08
1838,1.6474741926231218e-07,5.680945491803868e-09
1839,2.0065533590241103e-07,4.194885327990505e-09
1840,3.242171544570738e-07,2.993753511759678e-08
