year,anciennes_ADJ ouvertures_NOUN,anciennes_ADJ couvertures_NOUN
1800,0.0,2.5153315874604232e-08
1801,2.3811825844433088e-09,1.904946067554647e-08
1802,3.1329761895904085e-08,0.0
1803,3.90067853572873e-08,3.315576790896557e-08
1804,2.4718509905596875e-08,0.0
1805,2.2743021688143017e-08,0.0
1806,8.645007376628655e-09,3.458002950651462e-08
1807,2.2775640928784924e-08,2.8469551160981155e-09
1808,2.945896149242344e-08,0.0
1809,2.259030518203531e-09,2.259030518203531e-09
1810,2.3401267590372754e-09,1.4040760554223652e-08
1811,5.0141535368197765e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,1.556873407970727e-09,0.0
1818,2.384235475716423e-09,1.1921177378582115e-09
1819,1.2421260464634543e-08,0.0
1820,3.5599443393152796e-09,1.1866481131050932e-09
1821,0.0,0.0
1822,6.015369535816717e-09,0.0
1823,5.929612356680991e-09,0.0
1824,1.6842225392110777e-09,0.0
1825,5.283265824829186e-09,8.805443041381977e-10
1826,0.0,7.0463874735082754e-09
1827,5.530363722527909e-09,9.217273055917019e-10
1828,5.503380862137419e-09,0.0
1829,1.3717081692732336e-08,0.0
1830,1.461157062010443e-08,0.0
1831,4.677361609140007e-09,0.0
1832,2.570694235259907e-08,1.0823975493678972e-08
1833,0.0,2.3167257001688313e-09
1834,7.467624740797874e-09,8.401078055442213e-09
1835,0.0,0.0
1836,5.376600054063374e-09,2.016224964762614e-09
1837,3.478945576063097e-09,2.7831563720326358e-09
1838,5.680945491803868e-09,1.2624323808552163e-09
1839,7.690622361167243e-09,0.0
1840,2.1019973317493168e-08,2.5478754661634184e-09
1841,9.630822361827995e-09,6.420548537278137e-09
1842,1.475818312002275e-08,6.708265054555795e-10
1843,7.088293507706567e-09,0.0
1844,1.0977122322231025e-08,5.488561161115513e-09
1845,6.696273757711424e-09,0.0
1846,1.2294452567118697e-08,0.0
1847,3.775256551818984e-09,1.6179670936367074e-09
1848,2.011305433313737e-08,9.65426583121598e-09
1849,1.6758829879393033e-09,8.379414939696517e-10
1850,3.394498016007219e-09,0.0
1851,1.096404567135778e-08,1.4188765717904062e-08
1852,1.8880582430824688e-08,5.208436348880241e-09
1853,4.777545470346922e-09,1.1346670270029335e-08
1854,1.1430461910322265e-08,2.1302223984775992e-08
1855,9.021793090369101e-09,2.175844215912548e-08
1856,1.5531567143511893e-09,3.6240324075009767e-09
1857,1.2203773103180993e-08,9.763018171682347e-10
1858,2.4468380654951716e-09,5.3830437884982985e-09
1859,1.1202780925145817e-08,1.018434669930457e-09
1860,1.5562426014525954e-08,6.865775947773045e-09
1861,4.715963730639317e-10,1.0375120318428799e-08
1862,1.0391368654438793e-08,1.8071945051545413e-09
1863,2.9967726078439227e-09,8.990317823531768e-09
1864,3.835782358407869e-09,1.0068928801842958e-08
1865,1.0355057256106193e-08,4.706844358715045e-10
1866,6.3252967308358166e-09,4.865612801552288e-09
1867,6.308654931785895e-09,1.4073153309368536e-08
1868,3.951899252285784e-09,4.93987406535723e-10
1869,3.906815315701806e-09,1.0743741896135361e-08
1870,4.013834153937523e-09,0.0
1871,1.1683295220166201e-08,2.6552942955504477e-08
1872,3.628403577593531e-09,3.0236697590169115e-09
1873,1.1373408881354408e-08,1.7958012854535355e-09
1874,1.7326366119618797e-08,4.779687312606029e-09
1875,1.4303817685856757e-08,1.0298748520654044e-08
1876,5.441413541973361e-09,4.232210137899983e-09
1877,4.9478527941460015e-09,3.710889595609501e-09
1878,1.268208649207736e-08,7.2469061862534545e-09
