year,ces_DET anneaux_NOUN,ces_DET canots_NOUN
1800,5.156429807584573e-07,1.6978488481811382e-07
1801,6.548251860749588e-07,1.0239085135310688e-07
1802,5.549843535845866e-07,3.065840985527757e-07
1803,7.957383800771822e-07,5.0708818477573914e-08
1804,4.029116880133188e-07,2.6695990129610436e-07
1805,5.970042931124908e-07,8.812921192813405e-08
1806,3.4291863570956593e-07,2.5935021241707545e-08
1807,3.6156330907033407e-07,1.8505208743135881e-07
1808,4.328201441694546e-07,9.744118045773575e-08
1809,9.126483320187617e-07,1.0165636865622218e-07
1810,4.0016167801582014e-07,1.0062545108269205e-07
1811,3.9361105663715534e-07,2.5070767684098882e-08
1812,3.974140128093495e-07,6.934741492159446e-08
1813,5.262607061240487e-07,1.1215391992891455e-07
1814,3.681612170680637e-07,7.237357557698942e-08
1815,2.616306780112154e-07,5.394447111228828e-09
1816,2.148418857927936e-06,1.0660977523002657e-07
1817,5.558038154163114e-07,3.269434145636296e-08
1818,2.92068836671433e-07,2.8610825708597076e-08
1819,3.5711121881831787e-07,7.556266634622943e-08
1820,2.219031998151877e-07,9.018525659598708e-08
1821,3.0866458544664965e-07,8.776724413905868e-08
1822,3.7997084234575595e-07,1.7043547018147365e-08
1823,3.458940298628477e-07,9.981513571233336e-08
1824,4.303188561038951e-07,5.726356633317664e-08
1825,4.261834334329251e-07,6.956299714033776e-08
1826,3.584849750382091e-07,8.367585024871005e-08
1827,3.8436027693933283e-07,8.940754803177242e-08
1828,4.54028899810055e-07,9.722639049414283e-08
1829,3.9950999308757673e-07,4.54378346614881e-08
1830,4.2373554265395796e-07,4.0703660886265425e-08
1831,3.617159762825395e-07,4.677361786775691e-08
1832,3.937221251248957e-07,6.494385296207383e-08
1833,4.274359071132494e-07,2.5483983279173117e-07
1834,4.489909315452678e-07,1.5868702263333034e-07
1835,4.106756890109864e-07,1.1193370141882042e-07
1836,3.071382863595318e-07,7.997692641481535e-08
1837,4.620039639746665e-07,8.210311364109657e-08
1838,5.106539049393177e-07,4.1660268124132926e-08
1839,3.1741296524501195e-07,6.012668762878093e-08
1840,5.051163007863124e-07,6.815566955253871e-08
1841,3.441413873872534e-07,5.393260860131477e-08
1842,3.1998423821733013e-07,5.2995293042812364e-08
1843,2.9829900327627e-07,6.911085925764837e-08
1844,3.9792068662336533e-07,4.555505928038883e-08
1845,3.7275921727086825e-07,4.798996133814626e-08
1846,4.5606564924582926e-07,4.273786036179672e-08
1847,4.06109741390992e-07,6.84939411854657e-08
1848,2.9847772964330943e-07,3.942158777192617e-08
1849,3.5361131622835273e-07,2.4300302658986084e-08
1850,4.888077214104669e-07,5.0917471128286707e-08
1851,3.244067592333977e-07,2.644269869733762e-08
1852,4.492276346468316e-07,5.078225484567156e-08
1853,4.3953419748277156e-07,7.88294993725458e-08
1854,3.933118080112763e-07,6.078927583530458e-08
1855,3.3062217852375397e-07,5.253867740862006e-08
1856,3.4997799502889393e-07,3.727576114442854e-08
1857,4.0174818849436633e-07,4.149282695209422e-08
1858,4.6098426764729084e-07,6.06815824255591e-08
1859,3.3557422796093306e-07,7.078120933812215e-08
1860,4.84723763349848e-07,3.478659915678861e-08
1861,3.0983881771362576e-07,6.83814769253388e-08
1862,4.039079612994101e-07,8.042015942066882e-08
1863,3.116643441103406e-07,3.0467187883687075e-08
1864,4.4111495611787177e-07,7.192091899810293e-08
1865,4.010231506867967e-07,5.695281579676248e-08
1866,3.7416562292946765e-07,2.578774793704497e-08
1867,6.21645142473426e-07,7.715970262722749e-08
1868,5.913029355042454e-07,5.3844626535237694e-08
1869,4.6295760824932586e-07,4.737013670208512e-08
1870,4.208791892779118e-07,3.4977698959437475e-08
1871,4.365303709619184e-07,3.080141386391233e-08
1872,5.406321434975325e-07,3.507456869389358e-08
1873,5.423320104114282e-07,5.447263973223926e-08
1874,6.159822021345462e-07,7.826737835614495e-08
1875,5.687197983661463e-07,5.435450844970546e-08
1876,5.127020585860009e-07,5.38095328295185e-08
1877,5.139582128776965e-07,9.153527358307656e-08
1878,5.386867201195855e-07,6.884561010167545e-08
1879,5.162379892453828e-07,1.5273313103136843e-07
1880,4.2742856010136165e-07,4.556670951672004e-08
1881,5.59892356477576e-07,6.205531821734667e-08
1882,4.785221818792706e-07,1.0715170084552028e-07
1883,4.4993694103823145e-07,5.624211674160051e-08
1884,5.446400166420062e-07,6.40364632431556e-08
1885,6.091125612783799e-07,5.220964727215005e-08
1886,4.6400404585256183e-07,6.71160247378566e-08
1887,5.255784287783172e-07,4.700825861903013e-08
1888,4.615967412746613e-07,8.369611492753393e-08
1889,4.1412554452335826e-07,5.951880055476977e-08
1890,3.6573476691614815e-07,3.736000309118026e-08
1891,3.920145204006076e-07,1.7847816891070067e-08
1892,3.6545426240763845e-07,5.0774950466347946e-08
1893,5.043743058763539e-07,7.513268318604105e-08
1894,3.7305112954300057e-07,5.7974161471463503e-08
1895,3.0574562970286934e-07,5.838056083007359e-08
1896,3.378997632808023e-07,2.5357224764377406e-08
1897,3.635869418872062e-07,4.253500929252141e-08
1898,3.711880864898376e-07,4.2437662273187016e-08
1899,3.5210673843266704e-07,4.0351320507170385e-08
1900,3.638928163240962e-07,4.5162162010115026e-08
1901,2.867023098929167e-07,3.632680334320071e-08
1902,8.234545845198227e-07,2.995273096217943e-08
1903,3.369737555658503e-07,4.6981915247101824e-08
1904,3.0957841090639704e-07,6.55704281982139e-08
1905,3.6280135873312247e-07,5.16075902012858e-08
1906,3.1430968050472075e-07,6.584556366817651e-08
1907,3.0239919723840103e-07,3.239991386294605e-08
1908,2.902630953371954e-07,2.553922229253658e-08
1909,2.5744603249222564e-07,2.0903737407707013e-08
1910,2.6881077985763113e-07,4.5959696493014235e-08
1911,3.5380489293856954e-07,3.085816935310959e-08
1912,2.953741784494923e-07,4.8968558985507116e-08
1913,3.4310344432242346e-07,4.348451421165578e-08
1914,3.776963595214511e-07,3.3483718020477227e-08
1915,2.674233030575124e-07,3.887651356393462e-08
1916,1.9557683117454872e-07,3.735737097443348e-08
1917,2.1603855770990776e-07,4.386569685266295e-08
1918,1.8952521152471036e-07,3.9053678513312207e-08
1919,2.1178050957360028e-07,3.406903836822295e-08
1920,1.8703412507647954e-07,1.8930578882248028e-08
1921,2.1733785615651868e-07,1.4388219726768625e-08
1922,2.530631810770956e-07,2.0658220023506146e-08
1923,2.632755098375128e-07,2.3355085865262026e-08
1924,2.8361574067048423e-07,2.191576142784868e-08
1925,2.067657511872767e-07,3.959344185844316e-08
1926,2.2515199304962152e-07,2.452150393850161e-08
1927,1.9845620613523351e-07,1.5608915271414503e-08
1928,2.399468677083405e-07,3.085031063942978e-08
1929,2.2280812572716968e-07,1.7824650200282122e-08
1930,2.2792819365236028e-07,5.041729789212468e-08
1931,2.9083659569550946e-07,1.1405356659111021e-08
1932,2.2905431862341175e-07,2.9590748518160126e-08
1933,2.156484484316934e-07,1.9500125958415992e-08
1934,1.8092186593321458e-07,4.073737258636356e-08
1935,3.3271828669967363e-07,1.9149255514605557e-08
1936,2.7523101664428395e-07,2.182448666232517e-08
1937,2.0649433452035737e-07,1.76275650742852e-08
1938,2.1003647177053608e-07,2.3337386689803452e-08
1939,2.064696786874265e-07,1.5294050470515685e-08
1940,3.0429395536657466e-07,5.325144147860783e-08
1941,3.040047644731203e-07,2.3612021227137348e-08
1942,2.39702728777047e-07,6.068423452632032e-08
1943,3.2516233972046393e-07,4.645176421291808e-08
1944,2.7312082551134154e-07,3.855823393905666e-08
1945,1.8735134332814596e-07,2.832055345791673e-08
1946,1.6566114169336288e-07,2.5057988572996237e-08
1947,2.0265480671355363e-07,1.668921911779364e-08
