year,avez_VERB en_PRON
1800,6.288328968651058e-09
1801,4.7623651688866175e-09
1802,4.475680270843441e-09
1803,9.751696339321825e-09
1804,0.0
1805,0.0
1806,5.76333825108577e-09
1807,5.693910232196231e-09
1808,0.0
1809,4.518061036407062e-09
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,2.8757416448144113e-09
1814,2.8320094713762956e-08
1815,1.6183340889597275e-08
1816,2.3176038865813098e-09
1817,4.670620334934483e-09
1818,2.384235475716423e-09
1819,9.315945348475907e-09
1820,5.933240565525466e-09
1821,3.94459531705138e-09
1822,3.0076847679083585e-09
1823,3.9530747564242574e-09
1824,2.5263338088166165e-09
1825,3.522177216552791e-09
1826,5.284790383086602e-09
1827,2.2121454890111636e-08
1828,9.172301251858528e-10
1829,3.429270423183084e-09
1830,2.0873671680021744e-09
1831,6.236482441579483e-09
1832,0.0
1833,1.1583628500844156e-09
1834,1.8669061851994684e-09
1835,5.294161553592858e-09
1836,1.0753200108126748e-08
1837,6.262101948095733e-09
1838,6.312161904276081e-09
1839,7.690622361167243e-09
1840,8.917564464638872e-09
1841,1.1556987367100646e-08
1842,4.024959032733477e-09
1843,7.088293507706567e-09
1844,3.841992946007622e-09
1845,5.580227835366713e-09
1846,1.3465353276842507e-08
1847,1.1325769655456952e-08
1848,1.689496542667257e-08
1849,6.703531951757213e-09
1850,6.788996032014438e-09
1851,7.739326512989919e-09
1852,2.6042181744401205e-09
1853,4.777545470346922e-09
1854,2.0782657816909023e-09
1855,1.0613874223963649e-08
1856,6.73034605824796e-09
1857,1.0739319655783675e-08
1858,1.761723389392955e-08
1859,6.619825576592575e-09
1860,1.0985241161165504e-08
1861,1.5091083938045813e-08
1862,1.0843167252971853e-08
1863,3.995696662428827e-09
1864,4.794728170054441e-09
1865,2.3534221238463715e-09
1866,7.298419202328432e-09
1867,5.338092634588065e-09
1868,3.457911734727759e-09
1869,4.395167341186834e-09
1870,5.734048791339319e-09
1871,7.434824311758348e-09
1872,8.4662747923403e-09
1873,2.3944017879529156e-09
1874,2.3898436563030145e-09
1875,6.865832347102696e-09
1876,3.627608879952504e-09
1877,7.421779191219002e-09
