year,aux_ADP arrières_NOUN,aux_ADP carrières_NOUN
1800,0.0,9.118077048952955e-08
1801,2.3811825844433088e-09,1.5001449793494714e-07
1802,6.713520406265161e-09,1.6783801015662903e-07
1803,0.0,1.6967950955404376e-07
1804,4.943701892301533e-09,2.101073235394324e-07
1805,8.528632911009026e-09,1.2224374379421477e-07
1806,0.0,2.2765186358242318e-07
1807,8.540865792383556e-09,6.547996811434587e-08
1808,0.0,1.9941450979388264e-07
1809,2.259030518203531e-09,7.90660692473466e-08
1810,0.0,2.106114136424253e-07
1811,0.0,3.2591998433417757e-07
1812,0.0,1.2802599425043582e-07
1813,8.627225156487839e-09,2.616925010023863e-07
1814,0.0,2.485874954771816e-07
1815,0.0,1.61833411560508e-07
1816,0.0,1.2978581764855335e-07
1817,0.0,1.6658545654024692e-07
1818,2.1458118837358597e-08,1.2278812633326197e-07
1819,1.035105001712111e-09,2.6602197777947367e-07
1820,0.0,1.851171083089298e-07
1821,5.9168927535324656e-09,3.0176154375283204e-07
1822,1.303330066093622e-08,2.546506436829077e-07
1823,0.0,2.7869176622008496e-07
1824,2.3579115548955087e-08,1.482115772333259e-07
1825,1.4969252504215547e-08,1.3032055634631945e-07
1826,8.807984341885344e-10,1.4268934833694402e-07
1827,6.452091305675367e-09,1.871106416473367e-07
1828,9.172301251858528e-10,1.7610818758839741e-07
1829,3.429270423183084e-09,2.4347820404280185e-07
1830,0.0,2.2752301553907728e-07
1831,1.5591206103948707e-09,2.0580392057212293e-07
1832,9.470978667991403e-09,2.2189149762041893e-07
1833,2.3167257001688313e-09,2.8727398992955955e-07
1834,2.8003592777992026e-09,2.594999548577448e-07
1835,1.2100940693926532e-08,2.904225695488094e-07
1836,6.048674894287842e-09,2.2178475900247463e-07
1837,3.478945576063097e-09,3.562440031856795e-07
1838,2.5248647617104325e-09,1.7674054042515763e-07
1839,2.0974426639952526e-09,2.579854303519369e-07
1840,3.821813088222825e-09,2.6434207622827444e-07
1841,3.852329122366882e-09,2.491172876872838e-07
1842,6.037438549100216e-09,2.461933279462869e-07
1843,5.906911071384968e-10,2.7585273310037906e-07
1844,5.488561272137815e-10,3.315091091637967e-07
1845,0.0,2.488781662979278e-07
1846,1.1709002656346001e-09,3.243393809082562e-07
1847,1.6179670936367074e-09,2.7397575763643545e-07
1848,0.0,4.2559222901417115e-07
1849,5.02764896381791e-09,3.879669192574653e-07
1850,2.7155984128057753e-09,3.197616988970253e-07
1851,6.449438760824933e-09,2.9667419387813254e-07
1852,3.2552727180501506e-09,3.4375680080245274e-07
1853,7.763511611358354e-09,3.8160645043916475e-07
1854,5.195664454227256e-10,3.449921333054107e-07
1855,2.653468555990912e-09,2.8657460049430483e-07
1856,5.177189232874468e-10,3.2046801629048716e-07
1857,1.4644527812635033e-09,3.836866035999975e-07
1858,4.893676019968041e-10,2.7110966116516977e-07
1859,3.055304009791371e-09,3.2386221882063637e-07
1860,9.154367819341758e-10,2.8241225358272004e-07
1861,1.8863854922557266e-09,2.7494068244315883e-07
1862,9.035972525772706e-10,3.704748883226472e-07
1863,1.4983863039219614e-09,3.0467188305571824e-07
1864,6.712618905169165e-09,3.480972363689716e-07
1865,1.882737743486018e-09,3.7795961382869336e-07
1866,1.9462451650298362e-09,2.7004151476051064e-07
1867,1.94112459439566e-09,4.1782707782545003e-07
1868,2.9639244392143382e-09,4.1890132496114063e-07
1869,6.8369265804335555e-09,3.4917161118031004e-07
1870,1.1468097582678638e-09,3.5436420731116414e-07
1871,7.434824311758348e-09,3.6112002876897975e-07
1872,3.0236697590169115e-09,4.892297456038364e-07
1873,5.986004469882289e-10,4.950425704919326e-07
1874,1.1949218281515073e-09,4.857357358556413e-07
1875,1.716458086775674e-09,5.332463371976459e-07
1876,4.232210137899983e-09,4.5647412694194145e-07
1877,1.2369631985365004e-09,4.533470177037202e-07
1878,1.8117265465633636e-09,5.368749906864423e-07
1879,3.665595160740054e-09,5.999357224339974e-07
1880,1.2835692508872398e-09,6.084118027160912e-07
1881,2.0917522713936876e-09,6.170668935823187e-07
1882,6.655385131892899e-10,5.697009548555343e-07
1883,2.5277355764075082e-09,4.92276515551282e-07
1884,5.941527270181268e-09,5.21534054165329e-07
1885,6.445635691854079e-10,6.290940386399768e-07
