year,avais_VERB assez_ADV,avais_VERB cassé_VERB
1800,2.5153315874604232e-08,6.288328968651058e-09
1801,2.3811825844433088e-09,2.3811825844433088e-09
1802,3.8043282302169246e-08,0.0
1803,1.950339223455444e-09,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,4.034336598124355e-08,0.0
1807,5.4092147649953404e-08,0.0
1808,9.064295980465431e-09,0.0
1809,9.036122072814123e-09,0.0
1810,5.148278958699848e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,1.600324850414836e-08,5.3344164641089264e-09
1813,2.5881675469463516e-08,2.8757416448144113e-09
1814,1.2586708564299443e-08,6.293354282149721e-09
1815,8.091670444798638e-09,1.0788894222457657e-08
1816,1.3905623319487859e-08,2.3176038865813098e-09
1817,3.7364962679475866e-08,3.113746815941454e-09
1818,7.27191817873063e-08,0.0
1819,2.4842520929269085e-08,0.0
1820,4.865257352548724e-08,0.0
1821,5.5224333550540905e-08,0.0
1822,1.604098542884458e-08,0.0
1823,2.4706716672540097e-08,0.0
1824,1.3473780313688621e-08,8.421112696055388e-10
1825,3.78634048558979e-08,0.0
1826,4.7563116112314674e-08,0.0
1827,5.8068820862899884e-08,2.7651818612639545e-09
1828,4.035812395386529e-08,0.0
1829,7.544394975411706e-08,8.57317605795771e-10
1830,4.5922078584226256e-08,1.0436835840010872e-09
1831,9.354723573551382e-08,1.091384405071949e-08
1832,4.19429042608499e-08,5.411987746839486e-09
1833,5.21263281427764e-08,1.1583628500844156e-09
1834,3.173740381612333e-08,1.8669061851994684e-09
1835,8.092504089063368e-08,0.0
1836,2.6210924986003192e-08,6.048674894287842e-09
1837,3.75726116885744e-08,5.5663127440652715e-09
1838,2.7773513266993177e-08,3.1560809521380406e-09
1839,4.4046291947097416e-08,7.690622361167243e-09
1840,3.184844388215424e-08,6.369688665408546e-10
1841,1.733548060656176e-08,6.420548537278137e-10
1842,4.024958855097793e-08,4.024959032733477e-09
1843,5.2571508035725856e-08,5.906911071384968e-10
1844,2.5247381074677833e-08,0.0
1845,3.236532108985557e-08,0.0
1846,3.9810608143397985e-08,1.1709002656346001e-09
1847,3.7752563741833e-08,2.6966118227278457e-09
1848,3.620349886546137e-08,1.6090443422100975e-09
1849,5.781796375003978e-08,8.379414939696517e-10
1850,4.8880771430503955e-08,2.0366988096043315e-09
1851,3.8696633453128015e-08,3.8696632564949596e-09
1852,3.5156944022674e-08,5.208436348880241e-09
1853,4.478948767427937e-08,2.388772735173461e-09
1854,3.844791862661623e-08,5.195664454227256e-10
1855,4.7231740296638236e-08,5.306937111981824e-10
1856,4.504154560436291e-08,1.0354378465748937e-09
1857,4.4421732070532016e-08,2.9289055625270066e-09
1858,4.3553715300959084e-08,1.9574704079872163e-09
1859,3.819129901216911e-08,4.073738679721828e-09
1860,4.577183787546346e-08,9.154367819341758e-10
1861,6.555189457913002e-08,8.488735048217677e-09
1862,6.23482137029896e-08,1.3553959066214816e-09
1863,5.5939754162182e-08,1.9978483312144135e-09
1864,4.6029388300894425e-08,5.274200631788517e-09
1865,5.742350239756888e-08,2.3534221238463715e-09
1866,4.9142691693759843e-08,1.9462451650298362e-09
1867,6.648351558169452e-08,2.91168689159349e-09
1868,5.285665238830006e-08,2.4699371437009177e-09
1869,5.811387637777443e-08,3.906815315701806e-09
