year,des_DET offres_NOUN,des_DET coffres_NOUN
1800,8.426360667002086e-07,4.0559721092847667e-07
1801,1.0977251712063207e-06,3.6432094407956583e-07
1802,7.765304985696275e-07,4.1623826518844e-07
1803,9.381131675922916e-07,2.457427399349399e-07
1804,1.4954698173141878e-06,3.336998737335506e-07
1805,1.3645813154994357e-06,3.0703079878513506e-07
1806,1.6108530047631575e-06,2.881669161070022e-07
1807,1.9074598895940653e-06,1.9359295322374237e-07
1808,1.713151924320755e-06,2.3567169193938753e-07
1809,1.5790623208999932e-06,3.862942321575247e-07
1810,1.797217322518918e-06,2.1295153374012443e-07
1811,1.7323900038945794e-06,4.0113229715643683e-07
1812,1.4803005399244284e-06,3.440698606027581e-07
1813,1.6506756921330634e-06,1.6679301495514665e-07
1814,1.3310444408887179e-06,3.6186787966130396e-07
1815,1.2919701166680397e-06,2.9669459422621003e-07
1816,1.3697038490079194e-06,2.64206846622983e-07
1817,1.1692119255002353e-06,2.3353101141765364e-07
1818,9.56078451963549e-07,3.1114274090526806e-07
1819,1.5982021466243168e-06,2.5567092620804033e-07
1820,1.3397256921621192e-06,4.034603593439101e-07
1821,1.963422342043941e-06,2.475233600307547e-07
1822,1.636180513742147e-06,3.8799133506017824e-07
1823,1.6652327374799825e-06,4.200141896504306e-07
1824,1.3903256714797863e-06,2.450543661325355e-07
1825,1.5603244989392806e-06,3.927227565370117e-07
1826,1.4726950112731174e-06,5.302406407281524e-07
1827,1.8010551166014466e-06,2.590053771456269e-07
1828,1.7298959846812068e-06,2.4765211981137014e-07
1829,1.6400485591816505e-06,3.566441235669515e-07
1830,1.3901864797105645e-06,2.786635135976212e-07
1831,1.4733689788215543e-06,4.739726691127544e-07
1832,1.432823751201795e-06,2.3000948190521342e-07
1833,1.6610923054827254e-06,2.953825237739238e-07
1834,1.5598001397165717e-06,2.735017687882646e-07
1835,1.747073291369361e-06,2.9874195917045654e-07
1836,1.3569194017293285e-06,3.017616645450971e-07
1837,1.5926612668692997e-06,3.0266826067659736e-07
1838,1.525018340942097e-06,2.973028330188754e-07
1839,1.7520636959034164e-06,2.551888371726818e-07
1840,1.6026137075186853e-06,2.3758939260432044e-07
1841,1.475442001463989e-06,3.6404510250775957e-07
1842,1.6247417633508121e-06,2.63634827746273e-07
1843,1.4135238401991046e-06,3.1542906175907603e-07
1844,1.6613874791460148e-06,3.2492284018914575e-07
1845,1.3470669877335695e-06,3.303494935380513e-07
1846,1.2048563178268523e-06,2.810160717459098e-07
1847,1.3380587517985987e-06,2.2975132640823404e-07
1848,9.726673084742288e-07,3.282450506958412e-07
1849,1.3951725961192096e-06,2.3797538872827317e-07
1850,1.3089184882630889e-06,2.7088093634830557e-07
1851,1.4304855469049471e-06,3.121528289184994e-07
1852,1.5215145161562305e-06,2.936256038310603e-07
1853,1.065989874149409e-06,3.6966256988790747e-07
1854,1.2921617731365131e-06,2.5458754615570456e-07
1855,1.1287855699038118e-06,2.488953398938065e-07
1856,1.2145686305586878e-06,3.328932596247114e-07
1857,1.1774200245895372e-06,3.221796096575247e-07
1858,1.281164372812782e-06,3.1906766784217666e-07
1859,1.125370278742821e-06,3.1571474234937114e-07
1860,1.1882368973203938e-06,2.526605575314811e-07
1861,1.038926768615056e-06,2.3155381390083107e-07
1862,1.0242275116922883e-06,2.340316815896415e-07
1863,1.0238972834031301e-06,2.2875362848395753e-07
1864,9.354514460824248e-07,2.507642576921043e-07
1865,1.0091473932050121e-06,2.819399738118733e-07
1866,1.1623949305317183e-06,2.8463834755854123e-07
1867,9.239752998269068e-07,3.1203578743088656e-07
1868,8.832494682309289e-07,3.3393547749227537e-07
1869,8.131059452409772e-07,2.173166042673813e-07
1870,9.719212634706764e-07,2.488577113268775e-07
1871,9.803346614489783e-07,2.814612116708304e-07
1872,1.1834642918984173e-06,3.5437408696381567e-07
1873,9.439929193888474e-07,2.97504424817685e-07
1874,1.0981331044490616e-06,2.616878753691765e-07
1875,1.0722141716712486e-06,2.9923586453151074e-07
1876,9.782451684259286e-07,3.0411455376189167e-07
1877,1.0198761550839208e-06,2.9748965868492405e-07
1878,1.05865225918933e-06,3.393967853426716e-07
1879,7.874920058270618e-07,2.4131834353013915e-07
1880,9.646023073628385e-07,2.3681852656665114e-07
1881,9.845180528600395e-07,2.433405077439943e-07
1882,9.85662516939101e-07,3.241172610302101e-07
1883,1.1381129780829724e-06,2.692038427731802e-07
1884,1.2384783794061605e-06,2.891543227079296e-07
1885,1.0738428493084484e-06,3.719131695945066e-07
1886,1.097088830448456e-06,3.329987414701918e-07
1887,1.1771650960668012e-06,3.075123613527353e-07
1888,9.980127124720184e-07,3.449294396773439e-07
1889,9.685901591893753e-07,2.355691455235842e-07
1890,9.969221927974559e-07,2.805277343753687e-07
1891,1.1307866039089731e-06,3.531317998017869e-07
1892,1.0230212375006431e-06,2.7706824434758914e-07
1893,1.2039704451183297e-06,2.531109264403142e-07
1894,1.0517268691501158e-06,3.1507696363064497e-07
1895,1.100804574605263e-06,2.6963393651158185e-07
1896,1.1168973372832625e-06,2.4590610347985375e-07
1897,1.142035884527104e-06,2.825956126883966e-07
1898,1.18033280216423e-06,2.551918156790123e-07
1899,1.1060684883545946e-06,3.1562472280199927e-07
1900,1.0927167224394907e-06,2.5280428062046667e-07
1901,1.1071291581288278e-06,2.805546945872095e-07
1902,1.0070992146893332e-06,3.073837575584548e-07
1903,1.012001238365201e-06,2.8297154219814047e-07
1904,9.357222552353051e-07,2.977542425952606e-07
1905,9.918978776113363e-07,2.7506846711489175e-07
1906,8.971457674533667e-07,2.453776022370846e-07
1907,8.969118887591776e-07,2.751421237512375e-07
1908,9.380753169807576e-07,2.4851629021327426e-07
1909,9.76424582077584e-07,3.146562592704072e-07
1910,1.059745105891352e-06,3.179769625383244e-07
1911,1.1108941180282272e-06,3.2773505775907097e-07
1912,1.1528449270770125e-06,2.969370109795477e-07
1913,1.1624153479772303e-06,3.4946703464378004e-07
1914,1.1538489808060604e-06,2.94656719468378e-07
1915,1.3488972427921908e-06,3.2043671494008663e-07
1916,1.2130158495438081e-06,2.5820534776954673e-07
1917,1.151474602778535e-06,3.114464668385608e-07
1918,1.1727590667476306e-06,2.9519986366466355e-07
1919,1.0386453084265668e-06,3.600268838610532e-07
1920,1.0828291507891663e-06,3.929988388051697e-07
1921,9.76127125795756e-07,2.801916625383427e-07
1922,1.1310375498396752e-06,3.371716568167926e-07
1923,1.1337832788171909e-06,3.5563426425966327e-07
1924,8.86943752220759e-07,3.2357976120778176e-07
1925,9.34845115097005e-07,2.9255153877194573e-07
1926,8.615965185754249e-07,3.187795671877325e-07
1927,8.785589180604347e-07,2.620067967029627e-07
1928,9.974934123135881e-07,2.753676038302899e-07
1929,9.636451654415623e-07,3.230717726676602e-07
1930,7.98273898539037e-07,2.5838865091998287e-07
1931,9.067258517347909e-07,3.592687232156777e-07
1932,9.184091602776334e-07,2.6302887068396785e-07
1933,8.602996590667544e-07,3.211785450929483e-07
1934,9.177890305522851e-07,2.516131960561552e-07
1935,8.688974375559155e-07,2.1901960334247406e-07
1936,9.202658439733113e-07,2.60681369823601e-07
1937,8.121271264371899e-07,2.0145788814929233e-07
1938,9.490537173917346e-07,2.15222557997663e-07
1939,8.472903694212164e-07,2.967045835688964e-07
1940,7.581990857374876e-07,2.7640032440601203e-07
1941,6.552335669596232e-07,2.1250819104423613e-07
1942,6.705608086576831e-07,2.3666851722836668e-07
