year,nombreux_ADJ ados_NOUN,nombreux_ADJ cadeaux_NOUN
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,7.801356893821776e-09
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,1.8880061958270744e-08
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,6.227493631882908e-09
1818,0.0,2.384235475716423e-09
1819,0.0,8.280840013696888e-09
1820,0.0,5.933240565525466e-09
1821,0.0,3.94459531705138e-09
1822,0.0,1.0025615893027862e-09
1823,0.0,0.0
1824,0.0,1.431589158329416e-08
1825,0.0,8.805443041381977e-10
1826,0.0,2.642395191543301e-09
1827,0.0,0.0
1828,0.0,4.586150570418113e-09
1829,0.0,1.2859763920403111e-08
1830,0.0,7.305785310052215e-09
1831,0.0,1.7150327380477393e-08
1832,0.0,2.705993873419743e-09
1833,0.0,1.1583628278799551e-08
1834,0.0,4.667265685043276e-09
1835,0.0,6.806779140333674e-09
1836,0.0,6.048674894287842e-09
1837,0.0,1.530736071231331e-08
1838,0.0,3.1560809521380406e-09
1839,0.0,2.7965900706306e-09
1840,0.0,0.0
1841,0.0,1.2841097074556274e-09
1842,0.0,7.379091560011375e-09
1843,0.0,1.8311423488626133e-08
1844,0.0,5.488561161115513e-09
1845,0.0,5.580227835366713e-09
1846,0.0,1.0538101946622191e-08
1847,0.0,7.011190739092399e-09
1848,0.0,2.172209789819135e-08
1849,0.0,1.6758829879393033e-09
1850,0.0,2.0366988096043315e-09
1851,0.0,1.3543821175687754e-08
1852,0.0,1.3021090872200602e-09
1853,0.0,1.1346670270029335e-08
1854,0.0,6.754363734984281e-09
1855,0.0,1.0083180512765466e-08
1856,0.0,1.2425253714809514e-08
1857,0.0,1.2691923956253959e-08
1858,0.0,1.468102794888182e-08
1859,0.0,1.018434669930457e-09
1860,0.0,2.334363813361051e-08
1861,0.0,1.3204698667834691e-08
1862,0.0,1.626475132354699e-08
1863,1.4983863039219614e-09,4.994620828036034e-10
1864,4.794727948009836e-10,2.589153069720851e-08
1865,0.0,1.0355057256106193e-08
1866,0.0,1.702964524952222e-08
1867,0.0,7.76449837758264e-09
1868,0.0,5.9278488784286765e-09
1869,0.0,9.767038733343725e-09
1870,0.0,6.307453670473251e-09
1871,3.18635318130589e-09,4.248470908407853e-09
1872,0.0,2.9027228620748247e-08
1873,0.0,3.4718826924518e-08
1874,0.0,1.5533982988813477e-08
1875,0.0,1.1443054503956773e-08
1876,0.0,2.7207066821688386e-08
1877,0.0,6.80329748092845e-09
1878,0.0,1.0870359723469392e-08
1879,0.0,2.3215436684154156e-08
1880,0.0,1.2193908105473383e-08
1881,0.0,1.5339516323820135e-08
1882,0.0,3.1945848633085916e-08
1883,0.0,4.549924170760278e-08
1884,0.0,3.1027976632458376e-08
1885,0.0,2.1915161241281567e-08
1886,0.0,2.774989482645651e-08
1887,0.0,1.8933882017790893e-08
1888,0.0,2.9166827175686194e-08
1889,0.0,2.944614330147033e-08
1890,0.0,5.3745967676377404e-08
1891,0.0,2.7409146952095398e-08
1892,0.0,5.767031296954883e-08
1893,6.158416554491453e-10,3.4487133149241345e-08
1894,0.0,4.600123659770361e-08
1895,0.0,3.91209944439197e-08
1896,0.0,2.7126333179694484e-08
1897,0.0,2.505486840220783e-08
1898,0.0,2.772593887812036e-08
1899,0.0,3.3165470370022376e-08
1900,0.0,4.256663643786851e-08
1901,0.0,4.63865319488832e-08
1902,0.0,2.1114219705964388e-08
1903,0.0,4.050165358648883e-08
1904,0.0,4.192207825326477e-08
1905,5.160759042333041e-10,2.838417501038748e-08
1906,0.0,4.0639058340730116e-08
1907,0.0,2.982849167665336e-08
1908,0.0,4.272908427083166e-08
1909,0.0,1.4302557360679202e-08
1910,0.0,2.939282950364941e-08
1911,0.0,5.2671705219609066e-08
1912,0.0,3.2819354345292595e-08
1913,0.0,2.7575547179026216e-08
1914,0.0,2.0759905794420774e-08
1915,0.0,4.5944972271172446e-08
1916,0.0,5.16410700868164e-08
1917,0.0,3.838248474608008e-08
1918,0.0,1.8378202071289707e-08
1919,0.0,1.9336480860943084e-08
1920,0.0,2.3473917920568965e-08
1921,0.0,4.1650110915725236e-08
1922,0.0,2.6560567079059183e-08
1923,0.0,4.140219900250486e-08
1924,0.0,3.738571052736006e-08
1925,0.0,2.639562701745035e-08
1926,0.0,2.3406890647947876e-08
1927,0.0,2.5643217327342427e-08
1928,0.0,2.6279895593006586e-08
1929,0.0,3.4535258208734376e-08
1930,0.0,1.995684684175103e-08
1931,0.0,3.5356606531422585e-08
1932,0.0,4.274219378430644e-08
1933,0.0,6.423570653169008e-08
1934,0.0,3.834105655187159e-08
1935,0.0,2.8723881939640705e-08
1936,0.0,2.182448710641438e-08
1937,0.0,4.784624962894668e-08
1938,0.0,4.6674770715071645e-08
1939,0.0,5.505858169385647e-08
1940,0.0,1.5214697057785997e-08
1941,0.0,6.493305448884712e-08
1942,0.0,2.1239483061208375e-08
1943,0.0,5.8064703267746154e-08
1944,0.0,2.2492303131116387e-08
1945,0.0,4.357008265287732e-08
1946,0.0,8.352662561605939e-09
1947,0.0,2.1457568166738383e-08
1948,0.0,3.4790041070209554e-08
1949,0.0,2.5524220959027843e-08
1950,0.0,3.403315673722318e-08
1951,0.0,4.584402901741669e-08
1952,0.0,2.6362009464264702e-08
1953,0.0,4.8482224457302436e-08
1954,0.0,4.202190595492539e-08
1955,0.0,4.598947711542678e-08
1956,0.0,3.226822542501395e-08
1957,0.0,4.1524678806581505e-08
1958,0.0,3.6397871383542224e-08
1959,0.0,3.410329085795638e-08
1960,0.0,2.6991250123842292e-08
1961,0.0,4.099414141478519e-08
1962,0.0,4.439369405417892e-08
1963,0.0,3.7503109950876024e-08
1964,0.0,2.9203047091641565e-08
1965,0.0,2.9001830270658502e-08
1966,0.0,3.101881773659443e-08
1967,0.0,4.48660522067712e-08
1968,0.0,3.638046663922978e-08
1969,0.0,3.0429777808649305e-08
1970,4.5987250119061684e-10,4.184839852428013e-08
1971,0.0,3.1858064630796434e-08
1972,0.0,3.1293897251316594e-08
1973,0.0,2.921997932503473e-08
1974,0.0,5.738083075357281e-08
1975,0.0,3.369773438066659e-08
1976,0.0,4.2280099421532213e-08
1977,0.0,3.290997696581144e-08
1978,0.0,3.386137237271214e-08
1979,0.0,3.2185852205657284e-08
1980,0.0,4.60497204812782e-08
1981,0.0,4.364629191400127e-08
1982,0.0,4.531476704983106e-08
1983,6.315316047889041e-10,2.652432762317858e-08
1984,0.0,3.827345551599137e-08
1985,0.0,4.4515129360434e-08
1986,0.0,5.155257554179116e-08
1987,0.0,5.927492452428851e-08
1988,0.0,3.1182079140990027e-08
1989,0.0,4.445378820605583e-08
1990,5.44865097484859e-10,4.4678937882736136e-08
1991,0.0,4.6891720728581276e-08
1992,2.2039776670368383e-09,6.77723122066709e-08
1993,0.0,5.926952084678305e-08
1994,0.0,5.1694279079583794e-08
1995,0.0,5.042879180905402e-08
1996,5.338092190498855e-10,5.3380922793166974e-08
1997,0.0,5.370281996874837e-08
1998,0.0,5.197260932732206e-08
1999,0.0,6.032665567090589e-08
2000,8.836062992401139e-10,4.683113274950301e-08
2001,4.3812117822561447e-10,5.5641390162008975e-08
2002,1.3143663935011318e-09,5.564151450698773e-08
2003,8.333845835650777e-10,6.375392302970795e-08
2004,0.0,7.400049639727513e-08
2005,9.007499190971657e-10,5.134274516649384e-08
2006,0.0,5.888582421675892e-08
2007,7.988958938831558e-10,7.869124374337844e-08
2008,0.0,6.471308466871051e-08
2009,4.76819250749827e-10,7.247652433761687e-08
2010,9.447586046817946e-10,6.802262220162447e-08
2011,6.500752380844688e-09,8.336258616736814e-08
2012,2.382976926895708e-09,7.761695997032803e-08
2013,1.3945624655065103e-09,7.028594950497791e-08
2014,4.330890368553497e-10,7.449131089742878e-08
2015,1.994917786518613e-09,6.627560367178376e-08
2016,1.4499380585064614e-09,7.37397058969691e-08
2017,3.018733707449428e-09,7.119179912251639e-08
2018,1.5488800242380307e-09,6.505295857550664e-08
2019,2.5509878653906526e-09,6.658078177679272e-08
