year,mes_DET offres_NOUN,mes_DET coffres_NOUN
1800,1.3519907193781933e-07,5.345079756580162e-08
1801,1.1191558479950459e-07,5.9529565277216534e-08
1802,1.6112448975036386e-07,6.489736392722989e-08
1803,1.2482171207750525e-07,2.7304748684287006e-08
1804,1.3842365831351344e-07,3.213406074564773e-08
1805,1.449867568226182e-07,1.421438877713399e-08
1806,2.852852434287456e-07,1.181484350354367e-07
1807,1.0249038240317532e-07,4.555128185756985e-08
1808,2.220752484127786e-07,2.7192887941396293e-08
1809,2.5978850892727223e-07,2.710836710662079e-08
1810,6.2247371523938e-07,1.3806747745093162e-07
1811,1.4791753022436183e-07,8.022645436867037e-08
1812,1.280259893654545e-07,8.268345652595599e-08
1813,1.4378708113049754e-07,1.2078115219082974e-07
1814,1.5733385438920777e-07,4.09068032780624e-08
1815,2.0768621222799766e-07,5.933891955578474e-08
1816,2.688420579488593e-07,4.8669683394564345e-08
1817,1.6814232461914713e-07,1.8682480895648723e-08
1818,1.0609847489462254e-07,3.2187177367859476e-08
1819,1.252477037638755e-07,4.761483052284632e-08
1820,1.2459805631692689e-07,8.42520151422832e-08
1821,3.2148452477898104e-07,1.2918549829876724e-07
1822,2.245737960038241e-07,1.87479017199621e-07
1823,3.241521211450049e-07,1.146391692685711e-07
1824,1.8273814195168825e-07,4.463189551273672e-08
1825,1.0038204756313007e-07,6.60408261410339e-08
1826,2.105108194427885e-07,2.6423952803611428e-08
1827,8.387718741786898e-08,3.318218355641278e-08
1828,1.9537001572089707e-07,1.2382606939809193e-07
1829,1.7317815226292055e-07,3.51500213935374e-08
1830,2.003872463518519e-07,2.1917355486067436e-08
1831,1.3876173188265284e-07,1.2472964883158966e-08
1832,1.867135736022263e-07,5.1413883928042026e-08
1833,8.91939393454777e-08,2.3167256557599103e-08
1834,9.707912229650617e-08,5.414027870465077e-08
1835,2.1101014624491654e-07,1.5126175867408165e-08
1836,9.812295331812493e-08,7.796070344845418e-08
1837,2.156946159459494e-07,7.097048504434156e-08
1838,1.009945904684173e-07,1.1298769919676488e-07
1839,1.3843121493550825e-07,6.152498077671709e-08
1840,9.936714340241792e-08,6.178597677930497e-08
1841,9.823439173217707e-08,4.365973049758054e-08
1842,1.1538215849427047e-07,3.7566286081869293e-08
1843,8.742228541080976e-08,4.430183198067539e-08
