year,sois_VERB assez_ADV
1800,7.860410988769218e-08
1801,1.5953922627431893e-07
1802,8.951360541686881e-08
1803,1.2287136885724692e-07
1804,1.97748079244775e-07
1805,1.194008660831969e-07
1806,9.221340935283706e-08
1807,5.4092147649953404e-08
1808,5.891792298484688e-08
1809,6.325285539787728e-08
1810,2.1997190913225495e-07
1811,6.016983888912364e-08
1812,1.2802598803318688e-07
1813,8.627225156487839e-08
1814,1.8880063290538374e-08
1815,8.90083740046066e-08
1816,6.257530316133852e-08
1817,8.874178547557676e-08
1818,1.3232507356519818e-07
1819,6.935203611391216e-08
1820,1.0086509227846818e-07
1821,2.0709124726181471e-07
1822,1.4035862250239006e-07
1823,1.640526035018297e-07
1824,6.147412445756117e-08
1825,1.1535130228779167e-07
1826,8.279505436803447e-08
1827,7.281645508783186e-08
1828,1.1006761724274838e-07
1829,3.772197620932616e-08
1830,8.453836675137438e-08
1831,1.216114071667107e-07
1832,1.4341767951009388e-07
1833,7.876867158529421e-08
1834,8.307732457524253e-08
1835,1.338666493211349e-07
1836,9.543465040451338e-08
1837,8.97567929980525e-08
1838,6.122796891716575e-08
1839,1.0976615882896112e-07
1840,7.898413789675374e-08
1841,5.072233166814044e-08
1842,1.1404050326291326e-07
1843,7.915260896718124e-08
1844,6.805815833121898e-08
1845,6.640470928687137e-08
1846,6.732676638421253e-08
1847,7.119054945547987e-08
1848,4.666228647920434e-08
1849,5.614207965187745e-08
1850,5.7706467160301145e-08
1851,3.4826967976187007e-08
1852,6.315229317266358e-08
1853,9.913406895378785e-08
1854,6.650450501410887e-08
1855,7.270503488143731e-08
1856,4.348839099943547e-08
1857,9.665387967761063e-08
1858,7.291577025503315e-08
1859,7.485495023829003e-08
1860,7.781212429947004e-08
1861,8.771692405762366e-08
1862,8.67453380515304e-08
1863,7.841554661158767e-08
1864,8.870246759329348e-08
1865,7.483882275005627e-08
1866,1.007181840151361e-07
1867,8.735060852416154e-08
1868,3.6061081232219294e-08
1869,6.543915764822827e-08
1870,6.364794202795565e-08
1871,7.541035618174874e-08
1872,4.898344840853497e-08
1873,7.063485474301245e-08
1874,4.7796871516236905e-08
1875,4.8060828816698375e-08
1876,4.594971136917536e-08
1877,4.762308369876678e-08
1878,6.703388288897827e-08
1879,4.1543410267408376e-08
1880,8.086486458225295e-08
1881,7.530308210323966e-08
1882,4.1928925886836055e-08
1883,3.917990198942789e-08
1884,4.7532218161450146e-08
1885,4.254119545521462e-08
1886,3.033128104235061e-08
1887,4.961982824625011e-08
1888,5.1993039651421213e-08
1889,3.320522412586513e-08
1890,4.391439034634459e-08
1891,3.059625441892422e-08
1892,2.4447198043731078e-08
1893,4.8035648347877213e-08
1894,1.8904617871129403e-08
1895,3.250051938685772e-08
1896,3.420276761811891e-08
1897,3.146425275879494e-08
1898,4.5266838277768784e-08
1899,3.7034777022881826e-08
1900,4.6200373304827735e-08
1901,2.514932484487531e-08
1902,2.258730491533356e-08
1903,4.5361852052394624e-08
1904,2.741058846567057e-08
1905,1.8062656259587584e-08
1906,3.549487259668638e-08
1907,4.422845290008581e-08
1908,4.1746806234144174e-08
1909,3.410609838994105e-08
1910,5.985448670031701e-08
1911,4.149891852378573e-08
1912,4.375913675858101e-08
1913,3.7651226136858895e-08
1914,2.343860217024485e-08
1915,3.180805618896443e-08
1916,2.6369908923129515e-08
1917,2.52227767560953e-08
1918,2.412139021856774e-08
1919,3.591060848684435e-08
1920,2.4988364266675944e-08
1921,4.619375904013623e-08
1922,3.541409188123623e-08
1923,4.0340602858179864e-08
1924,3.867487219366694e-08
1925,5.389107027298223e-08
1926,7.244989763677268e-08
1927,4.23670540872223e-08
1928,2.627989537096198e-08
1929,3.676334259239411e-08
1930,3.361153133596417e-08
1931,3.42160717536899e-08
1932,4.822196164600001e-08
1933,4.932384811695556e-08
1934,4.7926322466196325e-08
1935,2.752705263731059e-08
1936,2.0612014761667297e-08
1937,3.6514243184626594e-08
1938,3.8895642262559704e-08
1939,4.7411555570420205e-08
1940,1.5214697057785997e-08
1941,5.9030050181263505e-08
1942,2.1239483061208375e-08
1943,3.774205836748479e-08
1944,2.8918675454292497e-08
1945,1.9606536838523425e-08
1946,2.3665877257883494e-08
1947,2.7418003867296648e-08
1948,4.4574740343250596e-08
1949,2.7487622844546422e-08
1950,3.190608399705752e-08
1951,3.731490494374157e-08
1952,4.428817579338329e-08
1953,3.663101422191062e-08
1954,3.713563656582153e-08
1955,3.2849626130371234e-08
1956,3.3140339583681566e-08
1957,3.092263228809955e-08
1958,5.625125576447232e-08
1959,2.5577467810400378e-08
1960,5.1906251741229426e-08
1961,3.5435612832923624e-08
1962,4.50278889729816e-08
1963,3.427008188339187e-08
1964,3.8329000195957974e-08
1965,4.049311996823235e-08
1966,3.82196163606352e-08
1967,4.881032333869939e-08
1968,4.940557296606585e-08
1969,2.9975600890352894e-08
1970,2.8971967047652925e-08
1971,3.802414116904629e-08
1972,4.1041174236866595e-08
1973,3.638714418663369e-08
1974,1.8001829582559026e-08
1975,1.6563292071225533e-08
1976,2.628222395273383e-08
1977,2.1744092415509897e-08
1978,2.9108897070528883e-08
1979,2.57486831856113e-08
1980,2.0466541572616848e-08
1981,2.9097527720622907e-08
1982,2.3588508479832626e-08
1983,2.5892796351456582e-08
1984,1.8556826519855463e-08
1985,2.8273123398037114e-08
1986,1.9182352650748413e-08
1987,1.6499206278997036e-08
1988,2.5785181545501246e-08
1989,3.292873329563406e-08
1990,2.6698389055113125e-08
1991,2.4032007939212008e-08
1992,1.8182816252654277e-08
1993,2.2156829704300662e-08
1994,2.742961924262488e-08
1995,2.548551947256783e-08
1996,2.989331715497201e-08
1997,2.8289877107567918e-08
1998,2.527108478034279e-08
1999,2.6050146040290656e-08
