year,des_DET arrières_NOUN,des_DET carrières_NOUN
1800,4.4018303668735825e-08,1.0721600611773852e-06
1801,3.5717739876872656e-08,9.453294751438079e-07
1802,1.5664880947952042e-08,1.4747366492429137e-06
1803,3.1205427575287104e-08,3.181003237484603e-06
1804,3.213406252200457e-08,1.6413089862776786e-06
1805,3.1271653710973624e-08,1.992857247890001e-06
1806,3.1698359492793315e-08,1.3687928426264762e-06
1807,4.27043254092041e-08,1.3437628361145926e-06
1808,3.852325747288887e-08,1.2463407523810588e-06
1809,5.6475762733043666e-08,1.1882500849935695e-06
1810,3.2761775514700275e-08,1.2753691156497382e-06
1811,2.5070768572277302e-08,1.7298829564360574e-06
1812,2.6672083208723052e-08,1.7870295518918056e-06
1813,2.8757416004054903e-08,1.302710916917249e-06
1814,8.18136065561248e-08,8.055493614378406e-07
1815,1.8880564667256294e-08,8.87386564007997e-07
1816,3.2446456188495176e-08,8.598310650143048e-07
1817,2.80237220096069e-08,1.2859774276563485e-06
1818,5.6029534789558966e-08,1.2076152273721164e-06
1819,5.175524897538253e-09,9.988763070012396e-07
1820,3.322614716694261e-08,6.941891390610522e-07
1821,1.7750679148775816e-08,1.1054728038528694e-06
1822,2.105379337535851e-08,9.61456564141372e-07
1823,6.127265805844218e-08,8.004976548292575e-07
1824,1.6842225392110777e-08,8.176900561096545e-07
1825,2.905796137042671e-08,1.0416839408833312e-06
1826,2.642395191543301e-09,7.883146162512844e-07
1827,8.295545583791863e-09,1.0268042369698804e-06
1828,1.2841221863624241e-08,8.787064391668764e-07
1829,3.1720752247110795e-08,1.0064908453344401e-06
1830,1.3567886369969528e-08,1.14387722582876e-06
1831,1.4032085715598441e-08,9.18322017540163e-07
1832,1.7588959622116818e-08,9.268028779985116e-07
1833,2.3167256557599103e-08,1.1097115599767449e-06
1834,5.600718555598405e-09,1.0351994665924735e-06
1835,1.1344631900556124e-08,1.1110176529882665e-06
1836,6.72075017860152e-09,9.919826671200838e-07
1837,6.957891152126194e-09,9.107879375136463e-07
1838,1.64116205070286e-08,9.60711023623162e-07
1839,6.9914751765765e-10,1.1466019111949777e-06
1840,4.458782232319436e-09,7.363360223777704e-07
1841,1.926164561183441e-09,1.0260037104359299e-06
1842,9.391571076378114e-09,8.687203423285439e-07
1843,2.3627644285539873e-09,8.671345694821753e-07
1844,6.037417288329294e-09,9.034171890576204e-07
1845,1.1160455670733427e-08,9.145993478121284e-07
1846,5.269051195355701e-09,8.026521483017746e-07
1847,1.0247124926365814e-08,7.626018163620074e-07
1848,1.045878850192139e-08,1.0708189961405878e-06
1849,7.54147322368226e-09,9.451980218511125e-07
1850,1.4935791270431764e-08,1.0156338561273515e-06
1851,7.094382858952031e-09,1.0035326232227249e-06
1852,4.557382027314816e-09,9.837433765369497e-07
1853,1.0152284346531815e-08,9.75813654324753e-07
1854,1.1430461910322265e-08,1.0370546320581653e-06
1855,2.653468555990912e-09,1.0985359644166692e-06
1856,5.694908100650764e-09,9.90914024612266e-07
1857,1.1715622250108026e-08,8.00079333895809e-07
1858,6.361778659424999e-09,8.960320894146889e-07
1859,3.055304009791371e-09,7.230885974429668e-07
1860,4.57718396518203e-09,7.392151877283482e-07
1861,3.772770984511453e-09,7.149400844674858e-07
1862,9.035972914350765e-09,9.541987133765417e-07
1863,6.99246927027275e-09,7.886506481202815e-07
1864,2.8768367688059016e-09,9.172314658911773e-07
1865,4.706844247692743e-09,8.637059147886816e-07
1866,4.865612801552288e-09,8.471031804901941e-07
1867,6.79393608038481e-09,9.040787620762103e-07
1868,4.44588676984381e-09,1.0620728749799468e-06
1869,9.278686263769487e-09,9.034510206618052e-07
1870,9.17447806614291e-09,9.977244372905147e-07
1871,6.37270636261178e-09,9.102349016743005e-07
1872,2.4189357183956872e-09,7.710357330381612e-07
1873,1.1972008939764578e-09,8.919146896602115e-07
1874,5.974609251779839e-09,9.147126869279987e-07
1875,4.005069165202713e-09,8.93130411405707e-07
1876,1.209202959984168e-09,9.256448896266534e-07
1877,9.895705588292003e-09,8.510306521714028e-07
1878,5.435179861734696e-09,9.753128189515792e-07
1879,1.710611030603104e-08,7.618328782266204e-07
1880,5.776061406947974e-09,8.49081062348489e-07
1881,4.8807553554297556e-09,1.1427939696773137e-06
1882,3.9932310791357395e-09,8.918215925746154e-07
1883,8.847074184359371e-09,8.076115207700241e-07
1884,1.3203393933736152e-08,9.242375575979622e-07
1885,8.379326565943757e-09,9.603996948825966e-07
1886,6.4534639854230136e-09,9.422057409835816e-07
1887,1.3710741875172516e-08,9.120907620285834e-07
1888,8.876860135842435e-09,7.640440831124806e-07
1889,8.14467782106476e-09,8.401548541314696e-07
1890,1.1142456735058204e-08,8.868085137336834e-07
1891,9.561330394092238e-09,8.751804294604426e-07
1892,5.641661360300532e-09,1.0462146633472003e-06
1893,8.621783287310336e-09,8.172218626256722e-07
1894,1.2603078580752936e-08,9.332579420373577e-07
1895,4.814891596538473e-09,7.565398574271853e-07
1896,1.0614652268259306e-08,9.464731647312874e-07
1897,1.5732126712464378e-08,8.611882571507579e-07
1898,1.3014216371232123e-08,8.957175547941176e-07
1899,7.185851913504848e-09,1.0397374481385668e-06
1900,5.19105292084987e-09,1.0615704013616778e-06
1901,1.0059729993461275e-08,8.914038787111167e-07
1902,9.820567470342212e-09,7.723876578324962e-07
1903,1.296052865029651e-08,8.850961190631779e-07
1904,4.837162670412454e-09,9.572207613217643e-07
1905,1.4966200723165457e-08,8.577181294100455e-07
1906,2.3148830408104004e-08,9.074341527082197e-07
1907,9.257117739025489e-09,9.370260816154996e-07
1908,5.893666887857307e-09,8.521260070892822e-07
1909,8.251475058784763e-09,8.328488858566629e-07
1910,1.6566866989364826e-08,8.555985484548501e-07
1911,3.7242617878519013e-09,8.831821265431472e-07
1912,1.0418842677495377e-08,7.0587658118626e-07
1913,7.42418571064718e-09,7.577972258587806e-07
1914,8.705766774141921e-09,6.917736392608731e-07
1915,1.5314990164938536e-08,7.044895591334921e-07
1916,1.8678685265172135e-08,8.603182504174356e-07
1917,3.61891991929042e-08,9.277594834600222e-07
1918,8.040463406189247e-09,8.373568247677099e-07
1919,2.6702760891339494e-08,9.060522909720703e-07
1920,2.2716694303426266e-08,7.246625699508513e-07
1921,2.2718241510233383e-08,7.716629610854397e-07
1922,1.4018077365562931e-08,6.1236861803593e-07
1923,3.927900849021171e-08,7.176380982798491e-07
1924,1.933743654092268e-08,6.755211048314891e-07
1925,8.798542339150117e-09,6.675893802210453e-07
1926,1.4489979882625903e-08,6.643098409142567e-07
1927,2.341337179689873e-08,6.945967392368857e-07
1928,2.742249805010033e-08,6.51284343788916e-07
