year,rideaux_NOUN ouverts_ADJ,rideaux_NOUN couverts_ADJ
1800,3.144164484325529e-09,0.0
1801,2.6193008650921e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,9.751696339321825e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,8.528632911009026e-09,0.0
1806,3.7461699520235925e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,1.8128591960930862e-08,2.2660739951163578e-09
1809,0.0,0.0
1810,1.4040760554223652e-08,0.0
1811,5.0141535368197765e-09,2.0056614147279106e-08
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,0.0
1817,3.42512151974006e-08,7.784366928831332e-09
1818,2.384235475716423e-09,0.0
1819,9.315945348475907e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,2.070912508145284e-08,0.0
1822,2.0051231786055723e-09,0.0
1823,4.644862983127496e-08,0.0
1824,1.8526447931321854e-08,0.0
1825,3.258013947515792e-08,0.0
1826,5.284790383086602e-09,0.0
1827,2.3043183361437514e-08,0.0
1828,1.1923991571904935e-08,0.0
1829,2.4862210068476998e-08,0.0
1830,7.305785310052215e-09,0.0
1831,6.236482441579483e-09,0.0
1832,1.488296597074168e-08,0.0
1833,2.3167257001688313e-09,0.0
1834,1.8669061851994684e-09,0.0
1835,5.294161553592858e-09,4.5378527602224494e-09
1836,9.409050427677812e-09,0.0
1837,2.0177884252348122e-08,0.0
1838,1.5149188570262595e-08,2.5248647617104325e-09
1839,1.5381244722334486e-08,0.0
1840,7.64362617644565e-09,0.0
1841,1.0914932957462042e-08,0.0
1842,6.708265054555795e-09,0.0
1843,4.7255288571079745e-09,0.0
1844,4.9397050894128824e-09,5.488561272137815e-10
1845,1.1718478631905782e-08,0.0
1846,4.6836010625384006e-09,0.0
1847,5.393223645455691e-10,0.0
1848,1.045878850192139e-08,0.0
1849,3.100383594301093e-08,0.0
1850,4.073397619208663e-09,0.0
1851,9.029214709244116e-09,0.0
1852,1.3672145193766028e-08,0.0
1853,4.180352064508952e-09,0.0
1854,1.0391328686409906e-08,1.558699391779328e-09
1855,5.306937111981824e-09,1.5920811335945473e-09
1856,9.318940286107136e-09,5.177189232874468e-10
1857,5.857811125054013e-09,4.881509085841174e-10
1858,2.7893953813418193e-08,0.0
1859,7.129042689513199e-09,5.092173349652285e-10
1860,1.6935580049448618e-08,0.0
1861,8.488735048217677e-09,0.0
1862,4.9697850279528666e-09,4.517986262886353e-10
1863,1.2986014041871385e-08,0.0
1864,6.712618905169165e-09,4.794727948009836e-10
1865,4.23615986733239e-09,0.0
1866,1.3137154475373336e-08,6.811858188626729e-09
1867,5.338092634588065e-09,0.0
1868,1.432563490055827e-08,0.0
1869,4.395167341186834e-09,0.0
1870,5.734048791339319e-10,0.0
1871,4.248470908407853e-09,0.0
1872,6.047339295989218e-10,0.0
1873,1.3767810003173508e-08,5.986004469882289e-10
1874,1.4339061493728877e-08,0.0
1875,7.437985338754061e-09,0.0
1876,1.209202959984168e-09,0.0
1877,1.8554447978047506e-09,0.0
1878,1.3889904337816006e-08,0.0
1879,1.0385853066452455e-08,0.0
1880,7.701415505323439e-09,0.0
1881,4.8807553554297556e-09,2.091752326904839e-09
1882,2.6621540527571597e-09,0.0
1883,6.319338941018771e-10,0.0
1884,2.6406787867472303e-09,0.0
1885,2.5782542767416317e-09,0.0
1886,6.4534639854230136e-09,0.0
1887,1.9586774424595887e-09,0.0
1888,4.4384300679212174e-09,6.340614699951175e-10
1889,1.3156786771162388e-08,6.265136742733546e-10
1890,2.8839300725280737e-08,0.0
1891,6.3742202627281586e-09,0.0
1892,1.0656471260972467e-08,1.8805537127519756e-09
1893,4.926733243593162e-09,1.2316833108982905e-09
1894,7.561847148451761e-09,0.0
1895,2.4074457982692365e-09,0.0
1896,5.897029087265082e-09,5.89702897624278e-10
1897,4.661370844871726e-09,0.0
