year,étiez_VERB assez_ADV
1800,3.458580977167003e-08
1801,6.905429472681135e-08
1802,3.3567602031325805e-08
1803,4.6808139586573816e-08
1804,5.19088700912107e-08
1805,2.2743021688143017e-08
1806,8.645007198992971e-08
1807,8.540865792383556e-09
1808,1.5862518409903714e-08
1809,7.454800510231507e-08
1810,4.680253340438867e-08
1811,5.766276700569506e-08
1812,5.601137331723294e-08
1813,7.189353823378042e-08
1814,4.090680150170556e-08
1815,2.966945977789237e-08
1816,8.1116134253989e-08
1817,2.6466848268569265e-08
1818,6.556647491606782e-08
1819,6.210630232317271e-08
1820,4.746592452420373e-08
1821,8.57949515875589e-08
1822,5.9151133768864383e-08
1823,6.81905376609393e-08
1824,4.5474010335055937e-08
1825,5.6354835464844655e-08
1826,3.6112734136395375e-08
1827,8.111200600069424e-08
1828,6.879226077671774e-08
1829,3.5150023336427694e-08
1830,6.78394300734908e-08
1831,8.886987501455224e-08
1832,1.1906372776593344e-07
1833,5.560141858040879e-08
1834,5.787409307345115e-08
1835,6.277362984974388e-08
1836,5.712637474175608e-08
1837,7.305785487687899e-08
1838,2.840472923537618e-08
1839,4.334714631681891e-08
1840,4.8409635411417185e-08
1841,2.6966304744746594e-08
1842,2.1466448174578545e-08
1843,4.961805188941071e-08
1844,6.915587391631561e-08
1845,4.575786860527842e-08
1846,3.454155717008689e-08
1847,2.7505439703645607e-08
1848,4.183515400768556e-08
1849,4.022119171054328e-08
1850,2.308258650884909e-08
1851,2.192809134271556e-08
1852,3.7761164861649377e-08
1853,2.448492075757258e-08
1854,2.6497888327980945e-08
1855,4.192480318465641e-08
1856,4.34883880018333e-08
1857,2.0990489346672803e-08
1858,5.0894229275399994e-08
1859,4.1755821911237945e-08
1860,5.996110985506675e-08
1861,5.4705179053371467e-08
1862,4.608346060308577e-08
1863,4.694943456229339e-08
1864,2.3973639073915365e-08
1865,4.471502279557171e-08
1866,1.8002767276925624e-08
1867,3.736664666575962e-08
1868,3.507310708528166e-08
1869,4.785848872757015e-08
1870,1.6628741050794815e-08
1871,2.549082545044712e-08
1872,2.660829245826335e-08
1873,2.3944018323618366e-08
1874,4.421210775262807e-08
1875,5.0921592276154115e-08
1876,3.143927784776679e-08
1877,3.710889728836264e-08
1878,3.2611080058586595e-08
1879,3.9099681714560575e-08
1880,5.134277003548959e-08
1881,3.69542902944886e-08
1882,5.390861801402025e-08
1883,2.338155447034751e-08
1884,2.970763546272792e-08
1885,2.5782542323327107e-08
1886,2.0651084398082276e-08
1887,3.982643903555072e-08
1888,2.4728397107764977e-08
1889,1.7542383545787743e-08
1890,3.47382496102e-08
1891,1.7210394887001712e-08
1892,2.1312942521944933e-08
1893,2.4017824173938607e-08
1894,1.449354058991048e-08
1895,6.018614495673091e-09
1896,1.8870492723976895e-08
1897,1.9228155068162778e-08
1898,3.055511754723739e-08
1899,1.6029977345510815e-08
1900,1.9206897405865675e-08
1901,8.38310842965484e-09
1902,1.3257766440233354e-08
1903,1.1880484152015924e-08
1904,2.2573425795258117e-08
1905,2.115911179600971e-08
1906,1.2346042410626978e-08
1907,1.2857108266928208e-08
1908,1.9154416719402434e-08
1909,2.0903737407707013e-08
1910,1.336037680488289e-08
1911,1.5429085564733214e-08
1912,2.344239469209697e-08
1913,1.5378670781274195e-08
1914,1.339348720819089e-08
1915,1.295883844676382e-08
1916,1.538244731591476e-08
1917,2.631941953268324e-08
1918,2.1824114071478107e-08
1919,1.1049418269237776e-08
1920,2.3473917920568965e-08
1921,1.2116395886607734e-08
1922,1.2542490601674672e-08
1923,1.6985516992917837e-08
1924,9.02413699321869e-09
1925,2.0896537833436923e-08
1926,2.229227646921572e-08
1927,3.0102906833917586e-08
1928,2.170947865920425e-08
1929,2.33948540540041e-08
1930,3.991369368350206e-08
1931,2.737285598186645e-08
1932,1.53433514782364e-08
1933,1.1470662641954732e-08
1934,2.036868629318178e-08
1935,3.231436807027421e-08
1936,2.3036957230715416e-08
1937,1.3850230295986421e-08
1938,1.0372171566075394e-08
1939,4.435274547631707e-08
1940,1.2678914806940611e-08
1941,3.5418032950929046e-08
1942,3.3376331032286544e-08
1943,8.709705845433291e-09
1944,1.927911696952833e-08
1945,1.9606536838523425e-08
1946,2.0881657292193267e-08
1947,4.172304812755101e-08
1948,1.6307831529616124e-08
1949,1.7670615193310368e-08
1950,1.1698897850465073e-08
1951,2.5587365115598004e-08
1952,1.2653764258629963e-08
1953,2.477980309834038e-08
1954,1.2704297169818801e-08
1955,1.595553378308523e-08
1956,2.616342520411763e-08
1957,1.6786572132332367e-08
1958,2.7298403537656668e-08
1959,2.7902691712711203e-08
1960,2.6991250123842292e-08
1961,2.084447814354462e-08
1962,1.8391673961559718e-08
1963,1.8751554975438012e-08
1964,3.772060352957851e-08
1965,1.641613067704384e-08
1966,1.6617224929404983e-08
1967,2.859594694371026e-08
1968,1.661823922916028e-08
1969,2.634219598007803e-08
1970,1.977451802304131e-08
1971,2.003974941544584e-08
1972,1.4364410994005539e-08
1973,2.0398854161385316e-08
1974,1.4626486688484874e-08
1975,9.138368284311582e-09
1976,1.7140580510499603e-08
1977,1.645498848290572e-08
1978,1.128712323605896e-08
1979,1.521513048885481e-08
1980,1.3075846183596695e-08
1981,1.707898356073656e-08
1982,1.1173503899897241e-08
1983,1.3893695083311286e-08
1984,9.278413592994639e-09
1985,1.4437339324047116e-08
1986,1.2588419195935785e-08
1987,1.4665960890170027e-08
1988,5.99655392008458e-09
1989,1.5366742545097622e-08
1990,9.80757164370516e-09
1991,1.3481369798284959e-08
1992,1.4876849085965205e-08
1993,1.4401939196773128e-08
1994,1.6879765141197822e-08
1995,8.675921314704738e-09
1996,1.8149513891785318e-08
1997,1.006927874414032e-08
1998,1.0966696883940585e-08
1999,1.0054442611817649e-08
2000,8.83606254831193e-09
2001,6.571817756650944e-09
2002,1.0076809608960957e-08
2003,1.3334153337041244e-08
2004,1.1452457648886138e-08
2005,1.6663873836364473e-08
2006,1.5647982465338828e-08
2007,1.3980677948666198e-08
2008,1.4475294740634581e-08
2009,1.43045770784056e-08
2010,2.9287516412068726e-08
2011,2.6385405860196443e-08
2012,3.948933269271038e-08
2013,5.048316253919438e-08
2014,5.478576170503402e-08
2015,4.6104769779731214e-08
2016,5.3440572855834034e-08
2017,3.6979486139898654e-08
2018,5.5501534035329314e-08
2019,4.1581099452514536e-08
