year,ses_DET ans_NOUN,ses_DET camps_NOUN
1800,3.0812812790159683e-07,2.2952400513531757e-07
1801,1.9049460320275102e-07,1.1191558257905854e-07
1802,1.991677720525331e-07,1.991677720525331e-07
1803,2.86699872731333e-07,1.5797748176282767e-07
1804,3.534746895184071e-07,1.878606781247072e-07
1805,2.3595885068061762e-07,2.842877715458769e-07
1806,2.651135684317296e-07,1.0374009207225754e-07
1807,1.6512339584551228e-07,2.4768510797912313e-07
1808,2.3793776904312836e-07,2.719288829666766e-07
1809,1.4683698168482806e-07,3.41113600477172e-07
1810,1.9189039335287816e-07,1.0062544752997837e-07
1811,1.1281845502253418e-07,1.2033968488367464e-07
1812,1.3869482984318893e-07,1.440292436427626e-07
1813,3.0770434955584847e-07,1.782959770935122e-07
1814,3.1152103474596515e-07,3.2725441201364447e-07
1815,1.9959454156115441e-07,2.373556706736224e-07
1816,1.7382029149359823e-07,2.0394914201915526e-07
1817,2.0550728674351149e-07,2.864647179467994e-07
1818,1.5855166157763279e-07,1.70472834959412e-07
1819,2.5463583597229444e-07,1.811433776310878e-07
1820,2.2190319004522507e-07,3.3463476256656577e-07
1821,2.0610510154117634e-07,1.47922325943739e-07
1822,2.0452256421776838e-07,2.476327267686429e-07
1823,3.508353771941586e-07,2.361962178065724e-07
1824,3.309497262904415e-07,2.332648278979832e-07
1825,2.985045226555627e-07,1.4881199206229212e-07
1826,1.7704049115607745e-07,2.9242508503557474e-07
1827,1.6683263970307394e-07,2.765181873476408e-07
1828,1.72439257539736e-07,2.3481091676602617e-07
1829,1.5431717381719778e-07,1.8689523528792051e-07
1830,1.711641122170704e-07,2.2126091892005206e-07
1831,1.1225668572478753e-07,1.4811645598911127e-07
1832,1.6371262312464552e-07,1.0959275442701255e-07
1833,1.4942881421120546e-07,1.1004446831552883e-07
1834,1.3255033382009174e-07,1.605539370341802e-07
1835,1.1495893659230205e-07,1.1269001021219083e-07
1836,1.52561029753695e-07,1.6465837049395304e-07
1837,1.342872963938646e-07,1.704683256775752e-07
1838,1.5338553316368575e-07,1.906272919516283e-07
1839,1.2864314835603352e-07,9.088918062616358e-08
1840,9.363442332599448e-08,1.6051615714385292e-07
1841,1.438202890113871e-07,1.0208672351907921e-07
1842,1.0531976091243678e-07,1.2410290617381747e-07
1843,1.0455232551942473e-07,8.860366623730798e-08
1844,9.056126382134266e-08,1.2294377360611008e-07
1845,6.417262066182872e-08,1.2499710194679992e-07
1846,8.781751636988133e-08,1.2411543082180287e-07
1847,8.898818659730523e-08,1.3860584768821127e-07
1848,8.769291981458593e-08,9.73471807608206e-08
1849,1.03066805534624e-07,1.4747769783163278e-07
1850,8.622024783022653e-08,9.16514455440165e-08
1851,8.126293105092941e-08,2.3411462612976663e-07
1852,5.3386471465799445e-08,1.2500246771018908e-07
1853,8.300985521181303e-08,1.1943863964525292e-07
1854,1.080698244226852e-07,1.0079589296552172e-07
1855,1.0189318899733735e-07,1.082615206371429e-07
1856,1.2942973603990993e-07,1.5013849335998586e-07
1857,1.9818926455528185e-07,1.2935999449403823e-07
1858,1.1255455079073329e-07,1.189163255643777e-07
1859,1.217029423905558e-07,1.1661076815272509e-07
1860,1.1580275360856263e-07,1.2816115135816375e-07
1861,8.677372975718356e-08,1.4336529563507838e-07
1862,9.894390129439046e-08,1.5496692640226684e-07
1863,1.0538649997116067e-07,1.668203388760503e-07
1864,1.1699136004406085e-07,1.3377291407934422e-07
1865,8.425251252219823e-08,1.4026395711574935e-07
1866,1.1093597684919132e-07,2.0776167453107064e-07
1867,9.899735431417866e-08,7.327744988572249e-08
1868,8.842374432660449e-08,1.4424432270843113e-07
1869,8.497323022993442e-08,8.888004543461392e-08
1870,8.601073497871425e-08,9.117137400593833e-08
1871,7.965882775629041e-08,1.2532989046576404e-07
1872,7.498700549390946e-08,1.0340949929688037e-07
1873,9.098726883038921e-08,1.3049489389072022e-07
1874,7.528007572865647e-08,1.6728906115925923e-07
1875,9.669380807153516e-08,1.1843561065205677e-07
1876,9.915464427301401e-08,1.1185127268831252e-07
1877,1.063788335198268e-07,7.79286848384686e-08
1878,1.0568405106603507e-07,8.33394246946284e-08
1879,1.2951769345903585e-07,7.270097135414488e-08
1880,8.407378460084658e-08,8.022307662614026e-08
1881,7.181682448731408e-08,9.064260053648354e-08
1882,6.122954476772691e-08,7.986462136067018e-08
1883,6.066565261253487e-08,7.014466518739937e-08
1884,6.139578090369469e-08,1.0430681385287244e-07
1885,5.41433392009516e-08,1.2246707298269044e-07
1886,6.195325363833604e-08,8.647641491776881e-08
1887,5.353718296463583e-08,9.597518874082667e-08
1888,6.213802317134309e-08,1.033520176108027e-07
1889,6.82899904402845e-08,8.70854037771096e-08
1890,4.653614471550327e-08,5.374596878660043e-08
1891,5.2268602779292905e-08,5.290602800300803e-08
1892,4.8894397863818995e-08,6.456567502866051e-08
1893,3.879802479289651e-08,6.83584246985447e-08
1894,5.9234470217717217e-08,6.868677959737113e-08
1895,2.6481904225050812e-08,1.0291830920827749e-07
1896,4.776593365285464e-08,7.194375484242954e-08
1897,3.845631113552628e-08,9.78887897407077e-08
1898,3.791097891170381e-08,7.242693933484645e-08
1899,5.030096339453394e-08,5.03009616181771e-08
1900,4.568126776849368e-08,6.177353084613202e-08
1901,7.041810740071597e-08,6.203499935963919e-08
1902,4.9593866791042274e-08,8.985819166529296e-08
1903,5.238213796054936e-08,8.046328536792657e-08
1904,5.4283715300584845e-08,6.342057989883187e-08
1905,5.47040444054403e-08,6.657378937013902e-08
1906,5.247068113334308e-08,6.481672443214848e-08
1907,5.914269740614486e-08,8.279977720127008e-08
1908,4.71493368792153e-08,7.661766887601118e-08
1909,5.005894987419879e-08,5.5009834354358134e-08
1910,4.2753206530576904e-08,3.6874638453809894e-08
1911,5.5863928927202267e-08,6.118430206925041e-08
1912,5.5219864347755276e-08,6.042928707428175e-08
1913,4.984810397790085e-08,5.2499597558153255e-08
1914,7.500352927625187e-08,4.352883414826536e-08
1915,4.1232666947443875e-08,5.1835353453988375e-08
1916,4.6147340837521256e-08,9.11959345817337e-08
1917,3.947912841084644e-08,1.1843738723094077e-07
1918,1.1026920887502456e-07,7.466144680279285e-08
1919,8.471220486194753e-08,6.997964874244644e-08
1920,4.391894581345923e-08,4.694783717340556e-08
1921,5.300923133777502e-08,5.982470696608289e-08
1922,6.861480361664007e-08,3.541408943874558e-08
1923,9.342034656967257e-08,5.520293111516139e-08
1924,7.606058605169608e-08,5.1566498626698376e-08
1925,7.478760966073139e-08,6.378943218088295e-08
1926,5.684530801630672e-08,3.7896870752618383e-08
1927,5.6861046204836896e-08,2.8987985345452216e-08
