year,aurez_VERB omis_VERB,aurez_VERB commis_VERB
1800,9.432493897065797e-09,1.8864987794131594e-08
1801,0.0,2.3811825844433088e-09
1802,2.2378401354217203e-09,8.951360541686881e-09
1803,0.0,5.851017448321727e-09
1804,2.2246657849223084e-08,7.4155526164076946e-09
1805,0.0,1.9900143755080535e-08
1806,0.0,0.0
1807,8.540865792383556e-09,2.8469551160981155e-09
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,4.518061036407062e-09,0.0
1810,0.0,1.4040760554223652e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,1.0668832928217853e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,8.091670444798638e-09
1816,2.3176038865813098e-09,2.5493642752394408e-08
1817,0.0,1.556873407970727e-09
1818,0.0,1.668964877410417e-08
1819,1.035105001712111e-09,2.6912729822470283e-08
1820,2.3732962262101864e-09,7.119888678630559e-09
1821,2.9584463767662328e-09,2.7612166775270452e-08
1822,0.0,1.303330066093622e-08
1823,4.941343334508019e-09,2.9648060007048116e-08
1824,5.894778887238772e-09,2.3579115548955087e-08
1825,3.522177216552791e-09,1.937197424695114e-08
1826,7.0463874735082754e-09,2.6423952803611428e-08
1827,0.0,2.7651818612639545e-08
1828,7.337841001486822e-09,8.255071293206129e-09
1829,7.715858174606183e-09,8.573175946935407e-09
1830,0.0,9.39315203396518e-09
1831,4.677361609140007e-09,3.1182413096075834e-08
1832,0.0,1.0823975493678972e-08
1833,1.1583628500844156e-09,2.0850531967653296e-08
1834,1.8669061851994684e-09,1.0267983796552471e-08
1835,0.0,2.193295500774184e-08
1836,4.032449929525228e-09,3.091545153210973e-08
1837,2.0873671680021744e-09,1.87863058442872e-08
1838,1.2624323808552163e-09,1.199310784016916e-08
1839,1.3982950353153e-09,1.8177836125232716e-08
1840,3.1848443882154243e-09,1.7198159341091923e-08
1841,1.926164561183441e-09,1.1556987367100646e-08
1842,6.708265054555795e-10,7.379091560011375e-09
1843,2.3627644285539873e-09,2.126487963494128e-08
1844,3.841992946007622e-09,2.7991662321369404e-08
1845,5.580227946389016e-10,2.6785095030845696e-08
1846,1.7563503984519002e-09,1.8734404250153602e-08
1847,4.314578916364553e-09,1.88762818709165e-08
1848,8.045221711050488e-10,1.448139919091318e-08
1849,0.0,5.865590679832167e-09
1850,4.073397619208663e-09,1.2899092460827433e-08
1851,1.9348316282474798e-09,1.6123596680017727e-08
1852,2.6042181744401205e-09,2.0833745395520964e-08
1853,5.971931837933653e-10,2.9859659633757474e-08
1854,4.676098175337984e-09,1.454786069388092e-08
1855,0.0,2.1227748447927297e-08
1856,5.177189232874468e-10,2.8992259260007813e-08
1857,9.763018171682347e-10,2.0990489346672803e-08
1858,6.8511463169329545e-09,8.808616946964776e-09
1859,1.018434669930457e-09,1.1202780925145817e-08
1860,1.8308735638683515e-09,1.1900677776566226e-08
1861,9.431927461278633e-10,2.8295781717702084e-08
1862,1.3553959066214816e-09,6.776979422085105e-09
1863,4.994620828036034e-10,8.990317823531768e-09
