year,trop_ADV eu_VERB
1800,3.144164395507687e-08
1801,3.095537337571841e-08
1802,1.3427040812530322e-08
1803,2.5354410126965377e-08
1804,1.4831105232815389e-08
1805,6.822906328807221e-08
1806,3.458002950651462e-08
1807,1.7081731584767113e-08
1808,2.2660739062985158e-08
1809,8.584316191218022e-08
1810,2.106114038724627e-08
1811,4.262030373070047e-08
1812,6.934741492159446e-08
1813,3.4508900625951355e-08
1814,3.1466772298927026e-08
1815,2.966945977789237e-08
1816,3.244645441213834e-08
1817,5.60474440192138e-08
1818,1.1921176934492905e-08
1819,5.175525075173937e-08
1820,5.102586797534059e-08
1821,2.070912508145284e-08
1822,2.3058916553964082e-08
1823,2.8659792761231984e-08
1824,1.2631669044083083e-08
1825,2.1133063299316746e-08
1826,2.4662355713189754e-08
1827,1.3825909306319772e-08
1828,1.0089530988466322e-08
1829,1.800366966620004e-08
1830,2.2961039292113128e-08
1831,2.0268567268999504e-08
1832,2.0294953273491956e-08
1833,1.50587169400751e-08
1834,1.213489042584115e-08
1835,2.7983425354705105e-08
1836,3.024337402735e-08
1837,1.1132625488130543e-08
1838,1.830527018853445e-08
1839,1.957613093850341e-08
1840,5.732719632334238e-09
1841,1.6051371787284552e-08
1842,1.609983613093391e-08
1843,3.0125246297529884e-08
1844,1.0977122322231025e-08
1845,2.0088821273134272e-08
1846,8.781752214304106e-09
1847,1.5640349459999925e-08
1848,2.252662056889676e-08
1849,1.1731181359664333e-08
1850,2.0366988096043315e-08
1851,2.3217978650791338e-08
1852,1.7578472011337e-08
1853,1.2541057081705276e-08
1854,2.4419623656513068e-08
1855,2.865746040470185e-08
1856,1.7084724746041502e-08
1857,1.4156376515472857e-08
1858,1.0766087576996597e-08
1859,2.036869339860914e-08
1860,2.242820151820979e-08
1861,2.87673795895671e-08
1862,1.9427341513278407e-08
1863,1.2486552236623538e-08
1864,3.5001512799226475e-08
1865,1.694463946932956e-08
1866,2.0435575009969398e-08
1867,1.067618526917613e-08
1868,4.44588676984381e-09
1869,1.8557372527538973e-08
1870,2.8096838633473453e-08
1871,1.1683295220166201e-08
1872,1.814201766592305e-08
1873,3.292302608315367e-08
1874,1.4936523129449597e-08
1875,3.032409523484603e-08
1876,1.934724735974669e-08
1877,2.3502300550148902e-08
1878,3.32149880932775e-08
1879,2.1993571408529533e-08
1880,8.343199908722454e-09
1881,1.324776466304911e-08
1882,9.317538740560849e-09
1883,1.9589950994713945e-08
1884,1.4523733327109767e-08
1885,7.090199094506033e-09
1886,1.2906927970846027e-08
1887,1.3057849024278312e-08
1888,1.9021843655764314e-08
1889,2.6313573542324775e-08
1890,1.3764211992395303e-08
1891,1.9122660788184476e-08
1892,1.4417578242387208e-08
1893,1.847524977449666e-08
1894,7.561847148451761e-09
1895,1.023164486468886e-08
1896,2.1229304536518612e-08
1897,1.1070755867592652e-08
1898,1.5277558773618694e-08
1899,6.080336234504102e-09
1900,7.786579381274805e-09
1901,1.4530721514915967e-08
1902,9.820567470342212e-09
1903,1.6200660368781428e-08
1904,2.3110889202371254e-08
1905,8.257214467732865e-09
1906,9.773950537805831e-09
1907,1.0285686968813934e-08
1908,9.822778146428846e-09
1909,1.7603147384193107e-08
1910,9.085056262847502e-09
1911,1.9153347352585115e-08
1912,1.3544495303108306e-08
1913,5.833288518886093e-09
1914,1.5402511266415786e-08
1915,1.4136913861761968e-08
1916,1.8678685265172135e-08
1917,1.4256351654751143e-08
1918,1.6080926812378493e-08
1919,9.207848705727883e-09
1920,6.057785384427916e-09
1921,1.3630945261411398e-08
1922,1.549366501762961e-08
1923,4.246379248229459e-09
1924,1.5469948877466777e-08
1925,1.4297631523163545e-08
1926,1.5604593173179637e-08
1927,1.2264147031260109e-08
1928,9.14083297942625e-09
1929,1.5596569369336066e-08
1930,1.6805765667982087e-08
1931,1.8248570654577634e-08
1932,1.53433514782364e-08
1933,2.1794258842078307e-08
1934,2.156684431042777e-08
1935,1.4361940969820353e-08
1936,8.487299751891442e-09
1937,1.3850230295986421e-08
1938,1.4261735792331365e-08
1939,1.5294050470515685e-08
1940,1.0143131667916805e-08
1941,3.246652724442356e-08
1942,1.8205270180260413e-08
1943,1.7419411690866582e-08
1944,1.927911696952833e-08
1945,2.178504132643866e-08
1946,6.960552134671616e-09
1947,2.622591566137089e-08
1948,2.2830963786191205e-08
1949,1.1780409536754632e-08
1950,2.7651939404904624e-08
1951,2.0256663901818683e-08
1952,1.370824520563474e-08
1953,2.3702419582605216e-08
1954,9.772536557761669e-09
1955,1.5016972554349195e-08
1956,2.703553825256222e-08
1957,3.268964121616591e-08
1958,9.099467845885556e-09
1959,1.1626121398933265e-08
1960,1.1765417085030094e-08
1961,2.014966149488373e-08
1962,2.029426049432459e-08
1963,1.3578711488548834e-08
1964,7.300761772910391e-09
1965,1.6963333848707407e-08
1966,1.9940669560014612e-08
1967,1.6763140209263838e-08
1968,2.515192853991266e-08
1969,2.043791091921321e-08
1970,1.7015283404475667e-08
1971,2.2608949379332444e-08
1972,1.5903454553267693e-08
1973,1.598829157956061e-08
1974,1.406392957647995e-08
1975,1.1994108817248161e-08
1976,2.171140245366132e-08
1977,2.4682483612537e-08
1978,1.0693064211864112e-08
1979,1.1703946256602649e-08
1980,3.013130012163856e-08
1981,2.5934753011824796e-08
1982,1.8622506203769262e-08
1983,1.6419821946556112e-08
1984,9.858314165001048e-09
1985,1.6242006850575308e-08
1986,1.978180286243969e-08
1987,1.588812459374367e-08
1988,1.2592763276586538e-08
1989,1.9757239400064464e-08
1990,1.3076762783725826e-08
1991,1.934283488935762e-08
1992,1.652983172562017e-08
