year,trop_ADV aux_ADP,trop_ADV chauds_ADJ
1800,4.62192190298083e-07,1.3519907327008696e-07
1801,4.667117821099964e-07,1.7144515140898875e-07
1802,3.8043282302169246e-07,2.416867346255458e-07
1803,4.1542224948898365e-07,2.5354410126965377e-07
1804,5.092012997920392e-07,1.656140113936999e-07
1805,4.918178433399589e-07,2.3595885068061762e-07
1806,4.5242205715112505e-07,9.221341201737232e-08
1807,3.188589801084163e-07,7.402083213037258e-08
1808,3.08186059783111e-07,1.6995555540688656e-07
1809,4.6536027298316185e-07,1.4909601020463015e-07
1810,4.1888267787726363e-07,1.0296557917399696e-07
1811,3.735544282790215e-07,9.025476543911282e-08
1812,3.8941240632084373e-07,2.2671270016871858e-07
1813,3.163315795973176e-07,8.052076339026826e-08
1814,4.0277467405758216e-07,5.664018942752591e-08
1815,3.3985017466875433e-07,2.3735567822313897e-07
1816,4.1485108681627025e-07,2.3639559287857992e-07
1817,4.2035583192046033e-07,2.428722609693068e-07
1818,3.8028557014513353e-07,1.323250700124845e-07
1819,2.7637304356176173e-07,1.449146935783574e-07
1820,3.8328732898662565e-07,1.0205173595068118e-07
1821,4.605315098160645e-07,9.960103142248045e-08
1822,3.7796570495629567e-07,7.418955760840618e-08
1823,4.78322021990607e-07,1.2452186126665765e-07
1824,3.7221317938929133e-07,4.6316120716483056e-08
1825,4.0945309365270077e-07,1.1447075820569808e-07
1826,2.809746888488007e-07,8.984144272972117e-08
1827,3.5117810170959274e-07,7.465990847776993e-08
1828,2.6874843683799554e-07,1.4217066279798019e-07
1829,3.5321485825079435e-07,1.3974276669159735e-07
1830,2.6613932391228445e-07,8.453837097022188e-08
1831,1.933309619062129e-07,9.666548095310645e-08
1832,3.6395618963069865e-07,1.0959275442701255e-07
1833,2.8264054208193556e-07,1.1236119945579048e-07
1834,3.0897297165211057e-07,8.214387037241977e-08
1835,3.766417648876086e-07,1.194967893525245e-07
1836,3.6157635463496263e-07,1.236618061284389e-07
1837,3.4024085948658467e-07,1.0854309806518359e-07
1838,4.134465996230574e-07,8.521418237705802e-08
1839,3.341925207678287e-07,8.529599426765344e-08
1840,2.8854688594037725e-07,1.1083258044664035e-07
1841,3.2423770335299196e-07,1.2391659254262777e-07
1842,3.622463111696561e-07,1.5496092942157702e-07
1843,3.721353891705803e-07,6.852016554148577e-08
1844,2.8979604849155294e-07,9.111011678442082e-08
1845,2.5836456529759744e-07,8.426144404438674e-08
1846,2.8921235184498073e-07,7.318126904465316e-08
1847,3.5918870366913325e-07,8.413428531639511e-08
1848,2.831918095580477e-07,7.160247150750365e-08
1849,2.664654061845795e-07,6.368355087715827e-08
1850,2.566240482337889e-07,8.418355434969271e-08
1851,4.0373487308897893e-07,6.578427758086036e-08
1852,2.578175894996093e-07,7.747549091163819e-08
1853,3.463720474883303e-07,9.913406984196627e-08
1854,3.7356826965151413e-07,6.598494195486637e-08
1855,3.4654300407055416e-07,4.988520885262915e-08
1856,2.842276956016576e-07,8.179959110066193e-08
1857,3.207151451078971e-07,6.638852312335075e-08
1858,3.753449391297181e-07,5.4809170535463636e-08
1859,3.656180354028038e-07,7.994712092340706e-08
1860,3.2864181775948964e-07,6.087654469411063e-08
1861,3.9378298311021354e-07,8.67737313114958e-08
1862,4.0616697560835746e-07,5.1956842384015545e-08
