year,trop_ADV au_ADP,trop_ADV chaud_ADJ
1800,1.7733087815940962e-06,4.527596786374488e-07
1801,1.412041228832095e-06,8.381762697240447e-07
1802,1.2151472219557036e-06,6.400222503089026e-07
1803,1.1702035180860548e-06,6.280092179622443e-07
1804,1.6981615544864326e-06,6.649278816439619e-07
1805,1.7114124375439133e-06,6.169044581838534e-07
1806,1.25064434541855e-06,4.2648701992220595e-07
1807,1.1302412303848541e-06,6.007075512570736e-07
1808,1.289396095671691e-06,5.166648975318822e-07
1809,1.1927680816370412e-06,7.748474626367852e-07
1810,1.6006466694307164e-06,5.5695016953905e-07
1811,1.271087967325002e-06,4.3121721660099865e-07
1812,1.1122258456452983e-06,4.907662969344528e-07
1813,1.3142139323463198e-06,6.614205858568312e-07
1814,1.0887503094636486e-06,4.5626819655808504e-07
1815,9.33239334699465e-07,3.749140660147532e-07
1816,1.175025204247504e-06,6.813755337731209e-07
1817,1.4821434888290241e-06,5.542469256880622e-07
1818,1.4698812265123706e-06,4.541968459115253e-07
1819,1.3218291314842645e-06,3.8712926198058994e-07
1820,1.3765118183073355e-06,3.749808001884958e-07
1821,1.527544554846827e-06,4.506700024276e-07
1822,1.3173658999221516e-06,3.6593498009551695e-07
1823,1.1197083722436219e-06,4.07166698246364e-07
1824,1.4046415799384704e-06,4.7747708453727e-07
1825,1.4854782648399123e-06,4.666884763082635e-07
1826,1.1142100220240536e-06,3.144450317904557e-07
1827,1.1198986840099678e-06,2.8757891062936025e-07
1828,1.0685730558179785e-06,3.522163609659401e-07
1829,1.2988361959287431e-06,3.3006729049933625e-07
1830,1.2492891983129084e-06,5.187107305903993e-07
1831,1.1615449011515011e-06,2.697278782548551e-07
1832,1.1960493111473625e-06,5.154918496508287e-07
1833,1.1259286338827224e-06,4.5291986339179857e-07
1834,1.098674260902044e-06,4.7606107389519536e-07
1835,9.703442174213706e-07,5.01432737110008e-07
1836,1.1600014886425924e-06,4.912868273865278e-07
1837,1.0582951972537558e-06,4.3834713792101354e-07
1838,9.922719073074404e-07,4.469010517205163e-07
1839,1.0242511052638292e-06,3.663533069131475e-07
1840,1.075840373232495e-06,3.5988740743064795e-07
1841,1.018299030874914e-06,3.229535958659824e-07
1842,1.0773474059533328e-06,2.9315118688089115e-07
1843,1.1772473271776107e-06,2.9002932189214903e-07
1844,1.0356915254305932e-06,3.5620762095511793e-07
1845,1.008347226161277e-06,3.1360880958786197e-07
1846,1.0432721637698705e-06,4.385021554753621e-07
1847,9.082188512365974e-07,2.2759403339733808e-07
1848,9.1071910901519e-07,2.7595109486355796e-07
1849,1.0046918532680138e-06,2.8741392399389554e-07
1850,8.526978945155861e-07,3.1636722042094334e-07
1851,9.564517995386268e-07,2.786157422551838e-07
1852,1.1120012004539603e-06,3.7500742511298313e-07
1853,1.0886831205425551e-06,3.463720399388137e-07
1854,1.0432894441692042e-06,3.6161824024105726e-07
1855,1.099066707865859e-06,3.895291982303206e-07
1856,1.102741293834697e-06,3.7379307649132443e-07
1857,1.1783962463596254e-06,3.6318426777093293e-07
1858,1.0678000990083092e-06,3.9002598195558846e-07
1859,1.2643866966755013e-06,3.554336922562129e-07
1860,1.0962355645460775e-06,4.2430493785161616e-07
1861,1.1596554259085678e-06,4.0321490613060007e-07
