year,beaucoup_ADV eu_VERB
1800,9.432493897065797e-09
1801,1.904946067554647e-08
1802,1.5664880947952042e-08
1803,1.950339267864365e-08
1804,1.730295728918918e-08
1805,1.7057265822018053e-08
1806,8.645007376628655e-09
1807,1.4234775136401367e-08
1808,1.8128591960930862e-08
1809,9.036122072814123e-09
1810,1.8721014072298203e-08
1811,5.0141535368197765e-09
1812,1.3336041604361526e-08
1813,8.627225156487839e-09
1814,6.293354282149721e-09
1815,1.6183340889597275e-08
1816,1.3905623319487859e-08
1817,2.1796227045456362e-08
1818,2.384235386898581e-08
1819,1.449147024601416e-08
1820,1.898636980968149e-08
1821,1.1833785507064931e-08
1822,2.3058916553964082e-08
1823,1.680056804787e-08
1824,5.894778887238772e-09
1825,2.8177417732422327e-08
1826,9.688783109140786e-09
1827,6.452091305675367e-09
1828,5.503380862137419e-09
1829,1.2002446148073886e-08
1830,1.1480519646056564e-08
1831,1.5591206548037917e-08
1832,2.4353944638733083e-08
1833,1.3900354645102198e-08
1834,5.600718555598405e-09
1835,2.0420337421001022e-08
1836,1.4113575197427508e-08
1837,1.8090515752078318e-08
1838,2.840472923537618e-08
1839,7.690622361167243e-09
1840,1.6561189752906103e-08
1841,1.219904177673925e-08
1842,1.2745703159566801e-08
1843,2.9534556134080958e-08
1844,1.2623690537338916e-08
1845,1.674068350610014e-08
1846,1.8734404250153602e-08
1847,1.5101026207275936e-08
1848,1.448139919091318e-08
1849,7.54147322368226e-09
1850,1.9009188889640427e-08
1851,9.674158363282004e-09
1852,1.1067927019325907e-08
1853,6.569124799682413e-09
1854,1.2989160858012383e-08
1855,2.7065379271107304e-08
1856,1.0354378687793542e-08
1857,1.5620829074691756e-08
1858,1.2723557318849998e-08
1859,4.582956236731661e-09
1860,1.0985241161165504e-08
1861,1.5091083938045813e-08
1862,1.536115412648087e-08
1863,1.1487627737949424e-08
1864,1.726102105692462e-08
1865,1.0825742080555756e-08
1866,1.751620715140234e-08
1867,1.3102591012170706e-08
1868,1.3831646938911035e-08
1869,1.4162205630441349e-08
1870,9.17447806614291e-09
1871,7.434824311758348e-09
1872,2.237515595027162e-08
1873,9.577607151811662e-09
1874,1.1949218503559678e-08
1875,8.010138330405425e-09
1876,1.0882827083946722e-08
1877,5.566334504436554e-09
1878,1.0870359723469392e-08
1879,1.3440515367335593e-08
1880,1.0910338410496934e-08
1881,7.669758161910067e-09
1882,8.652000893505374e-09
1883,2.464542170343975e-08
1884,8.582206056928499e-09
1885,9.66845359329227e-09
1886,1.2261581083805595e-08
1887,1.3710741875172516e-08
1888,6.340614699951175e-09
1889,1.0024218788373673e-08
1890,6.554386366985909e-09
1891,1.3385862196457765e-08
1892,1.4417578242387208e-08
1893,1.7243566574620672e-08
1894,9.452309157609307e-09
1895,9.629783193076946e-09
1896,7.66613794667137e-09
1897,1.4566784223291052e-08
1898,1.5277558773618694e-08
1899,6.633094074004475e-09
1900,1.2977633190303095e-08
1901,7.824234593556412e-09
1902,9.329538919189417e-09
1903,7.020286574288548e-09
1904,8.061937784020756e-09
1905,1.0837593933388234e-08
1906,6.173021205313489e-09
1907,9.257117739025489e-09
1908,6.384805573134145e-09
1909,8.251475058784763e-09
1910,4.809735720812114e-09
1911,7.448523575703803e-09
1912,5.2094213387476884e-09
1913,7.42418571064718e-09
1914,6.027069510139427e-09
1915,7.068456930880984e-09
1916,2.197492410260793e-09
1917,1.5352993543160665e-08
1918,1.1486376294556067e-08
1919,5.524709134618888e-09
1920,6.815008557481406e-09
1921,8.330022005509363e-09
1922,1.0329110011753073e-08
1923,9.554353752605493e-09
1924,7.734974438733389e-09
1925,1.0998178368026856e-08
1926,1.2260752413340015e-08
1927,3.3447675740205796e-09
1928,1.2568645679778001e-08
1929,1.3368487650211591e-08
1930,5.2518016602221e-09
1931,5.7026783295555106e-09
1932,3.287861094491973e-09
1933,9.176529758292418e-09
1934,9.585264137967897e-09
1935,8.377798899061872e-09
1936,2.424942913137329e-09
1937,5.0364472592434595e-09
1938,5.186085783037697e-09
1939,9.176430282309411e-09
1940,0.0
1941,1.1806010391524069e-08
1942,0.0
1943,5.806470415592457e-09
1944,0.0
1945,8.714016175304096e-09
1946,2.7842208538686464e-09
1947,4.7683483828109274e-09
1948,7.610321262063735e-09
1949,4.908504269707237e-09
1950,3.190608444114673e-09
1951,9.595261474260042e-09
1952,3.1634410646574906e-09
1953,1.0773827385790469e-09
1954,9.772536113672459e-10
1955,5.631364707880948e-09
1956,2.616342476002842e-09
1957,1.1485549400447326e-08
1958,1.6544486891589827e-09
1959,5.425523585955716e-09
1960,9.689166802218097e-09
1961,6.25334317660986e-09
1962,4.43936931660005e-09
1963,6.466053248388448e-10
1964,5.475571551727398e-09
1965,7.660860390501512e-09
1966,6.6468897053084675e-09
1967,1.4791006197611978e-09
1968,4.940557296606585e-09
1969,6.358460868938209e-09
1970,7.3579600190498695e-09
1971,5.138397263237948e-09
1972,4.6171320100540925e-09
1973,8.821126051827832e-09
1974,8.438357568252286e-09
1975,6.282628195464213e-09
1976,6.8562320265641574e-09
1977,3.526069214387917e-09
1978,4.752473081737207e-09
1979,7.607565244427406e-09
1980,5.116635559687666e-09
1981,5.69299452024552e-09
1982,1.2415004579935385e-09
1983,1.0104505676622466e-08
1984,8.118611560803402e-09
1985,7.218669662023558e-09
1986,5.395036861699509e-09
1987,7.332980445085013e-09
1988,4.797243047249822e-09
1989,4.390497743145261e-09
1990,5.993515905799995e-09
1991,5.2753188484189195e-09
1992,7.162927584403178e-09
1993,1.2186256448387667e-08
1994,8.439882570598911e-09
1995,8.675921314704738e-09
1996,9.60856638698715e-09
1997,6.233362714880286e-09
1998,1.2873949017944142e-08
1999,8.683382013430219e-09
2000,9.719669513685858e-09
2001,7.0099388516098315e-09
2002,3.9430991805033955e-09
2003,7.083769126836614e-09
2004,8.80958239690699e-09
2005,1.0358624180639708e-08
2006,8.64756888319107e-09
2007,1.078509459517818e-08
2008,1.1495087548496485e-08
2009,1.2397300963584712e-08
2010,1.2754241218715379e-08
2011,1.4913490886669933e-08
2012,1.6680838044180746e-08
2013,1.7013663367038134e-08
2014,2.3603352161671864e-08
2015,1.3077794847049518e-08
2016,1.532791671365885e-08
2017,1.861552334503358e-08
2018,2.4265787601507327e-08
2019,1.9132407658162265e-08
