year,autres_ADJ amas_NOUN
1800,5.65949598296811e-08
1801,7.143547975374531e-09
1802,2.6854081625060644e-08
1803,4.290746247193056e-08
1804,4.943701892301533e-09
1805,8.52863308864471e-08
1806,9.221341201737232e-08
1807,0.0
1808,6.345007363961486e-08
1809,6.325285539787728e-08
1810,1.6380887757350138e-08
1811,2.757784400841956e-08
1812,5.3344164641089264e-09
1813,2.0130190847567064e-08
1814,6.293354459785405e-08
1815,4.045835311217161e-08
1816,6.952811659743929e-09
1817,3.580808893843823e-08
1818,1.668964877410417e-08
1819,1.449147024601416e-08
1820,3.559944161679596e-08
1821,2.5639868894700157e-08
1822,4.0102463572111446e-08
1823,4.941343334508019e-09
1824,5.5579342017608724e-08
1825,2.905796137042671e-08
1826,1.76159691278599e-08
1827,4.7929820112813104e-08
1828,1.834460228167245e-08
1829,1.2859763920403111e-08
1830,3.444155893816969e-08
1831,1.2472964883158966e-08
1832,3.92369123858316e-08
1833,2.3167256557599103e-08
1834,4.760610750054184e-08
1835,3.327758690829796e-08
1836,2.2850549896702432e-08
1837,2.6439986200443855e-08
1838,1.0730675015224733e-08
1839,2.9364196407755117e-08
1840,8.280594876453051e-09
1841,2.8250413564023802e-08
1842,2.4820581145945653e-08
1843,2.8943864194275193e-08
1844,2.5796238034558883e-08
1845,2.6785095030845696e-08
1846,1.2879903366069811e-08
1847,4.58424018745518e-08
1848,2.172209789819135e-08
1849,2.262441967104678e-08
1850,1.4935791270431764e-08
1851,1.096404567135778e-08
1852,2.539112742283578e-08
1853,5.3150191803297275e-08
1854,1.8704392701351935e-08
1855,1.2736649068756378e-08
1856,1.1907535402144731e-08
1857,1.122747050885664e-08
1858,1.9574704523961373e-08
1859,7.638259802433822e-09
1860,2.1512764902809067e-08
1861,4.2443675241088386e-09
1862,1.536115412648087e-08
1863,1.0988165932701577e-08
1864,2.828889478223573e-08
1865,5.554076309977063e-08
1866,2.77339928800302e-08
1867,1.6014277903764196e-08
1868,3.556709415875048e-08
1869,3.369628132077196e-08
1870,2.9243649279919737e-08
1871,3.9298356568906456e-08
1872,2.6003558417642125e-08
1873,3.292302608315367e-08
1874,4.719941060216115e-08
1875,2.5174719198162165e-08
1876,5.501873445723504e-08
1877,1.9791411176584006e-08
1878,2.2344627481629686e-08
1879,2.504823370941267e-08
1880,1.7969970400599777e-08
1881,2.3009274485730202e-08
1882,1.8635077481121698e-08
1883,3.791603475633565e-08
1884,1.7824582698722224e-08
1885,2.1915161241281567e-08
1886,1.871504551331782e-08
1887,2.6768590899450828e-08
1888,1.8387781963724592e-08
1889,2.255449160770695e-08
1890,4.129263331265065e-08
1891,2.103492668936724e-08
1892,2.6954603882245465e-08
1893,3.0176241949675386e-08
1894,1.8904618315218613e-08
1895,1.3842813118003505e-08
1896,1.533227589334274e-08
1897,2.680288169187861e-08
1898,4.5266837389590364e-08
