year,aux_ADP ans_NOUN,aux_ADP gants_NOUN
1800,2.5153315874604232e-08,3.144164395507687e-08
1801,3.0955374485941434e-08,1.4287095950749062e-08
1802,6.713520406265161e-08,1.1189200677108602e-08
1803,9.751696339321825e-09,0.0
1804,4.943701892301533e-09,4.943701892301533e-09
1805,1.1371510844071508e-08,0.0
1806,7.204172636221529e-08,0.0
1807,3.131650672116848e-08,0.0
1808,2.4926813502190726e-08,2.2660739951163578e-09
1809,9.036122072814123e-09,0.0
1810,1.4040760554223652e-08,1.1700633351097167e-08
1811,8.774768645025688e-08,2.5070767684098882e-09
1812,2.1337665856435706e-08,0.0
1813,1.7254450312975678e-08,0.0
1814,1.8880061958270744e-08,1.2586708564299443e-08
1815,4.315557688983063e-08,0.0
1816,2.3176038865813098e-08,0.0
1817,1.5568734412774177e-08,9.341240447824362e-09
1818,2.6226590676969863e-08,1.9073883805731384e-08
1819,4.968504008218133e-08,4.140420117870747e-09
1820,1.6613073583471305e-08,5.933240565525466e-09
1821,1.0847637454958203e-08,5.9168927535324656e-09
1822,4.110502516141423e-08,7.017931125119503e-09
1823,1.1859224047228167e-08,1.087095569118901e-08
1824,7.831634540877985e-08,3.3684450784221553e-09
1825,2.0252518551089338e-08,5.283265824829186e-09
1826,1.6735169472426037e-08,8.80798456392995e-09
1827,1.198245475064752e-08,2.7651818612639545e-09
1828,1.9261833017480967e-08,7.337841001486822e-09
1829,1.971830487779158e-08,1.0287811325060403e-08
1830,2.5048405571936883e-08,6.262101504006523e-09
1831,9.354723218280014e-09,1.870944643656003e-08
1832,2.3000947924067816e-08,6.629684889958298e-08
1833,2.5483982257767934e-08,4.170106149281594e-08
1834,2.7070139907436896e-08,3.173740381612333e-08
1835,1.663879345414898e-08,6.655517381659593e-08
1836,2.3522625958172227e-08,2.486677458390929e-08
1837,1.2524203452102256e-08,2.7831564608504777e-08
1838,2.398621434807069e-08,1.7042836475411605e-08
1839,1.6080393461237463e-08,2.516931019158619e-08
1840,3.3759350870354865e-08,1.9109066329292546e-08
1841,8.988767952189392e-09,1.9903700909651434e-08
1842,1.609983613093391e-08,2.3478927690945284e-08
1843,3.366939316240547e-08,1.594865928211675e-08
1844,1.1525978838022866e-08,3.238251211623577e-08
1845,1.0044410247989077e-08,2.6785095030845696e-08
1846,1.4050803187615202e-08,3.8054258633124505e-08
1847,1.887628364727334e-08,5.123562552000749e-08
1848,2.091757700384278e-08,2.8158275489076345e-08
