year,les_DET oeufs_NOUN,les_DET gueux_NOUN
1800,1.050150927994764e-06,2.672539864967405e-07
1801,1.750169179359773e-06,1.5001450148766082e-07
1802,1.635861167414987e-06,1.320325679898815e-07
1803,5.74569926703461e-06,1.404244258651488e-07
1804,1.4015394937949566e-06,1.7797327434010413e-07
1805,1.4356532724857374e-06,1.7057265799813592e-07
1806,3.0257525018839715e-07,2.56468554837852e-07
1807,3.387876525984268e-07,1.594294829487808e-07
1808,3.172503699744311e-07,2.402038461468692e-07
1809,3.004510509274638e-07,9.262024969203253e-08
1810,4.937667354987241e-07,3.3697826706813316e-07
1811,1.6797414126301646e-07,1.9053784106048965e-07
1812,2.0270783229747735e-07,1.9470620582495712e-07
1813,3.911008619184031e-07,1.9842616660881163e-07
1814,5.349350913341766e-07,1.0069366762621712e-07
1815,2.2656678222432447e-07,1.159806126693752e-07
1816,3.963102610526903e-07,1.1588019255270865e-07
1817,6.196355881726845e-07,1.7904044435912425e-07
1818,4.828076922702706e-07,1.2398024740178926e-07
1819,5.775886062764357e-07,2.6705710287622253e-07
1820,2.7174242323013686e-07,2.0410347101318393e-07
1821,1.2425475581778755e-07,4.674345430721871e-07
1822,1.9349438673543773e-07,5.754703522597993e-07
1823,1.8678277735606486e-07,5.890081551385151e-07
1824,2.147383737494124e-07,2.0210670470532932e-07
1825,1.9107811288776588e-07,1.8403375734443728e-07
1826,1.6030530847199742e-07,1.664708997317632e-07
1827,6.756261352047765e-07,2.5624018817893557e-07
1828,3.1460993210608024e-07,2.6141057996031947e-07
1829,1.7746473929269868e-07,4.6295150335495805e-07
1830,2.0143092882562996e-07,2.1604250077800202e-07
1831,1.7773974980705987e-07,3.4924301317573736e-07
1832,1.9483155533350782e-07,3.585441936682088e-07
1833,1.8997151052246863e-07,2.617900021206765e-07
1834,2.240287466648283e-07,4.4619056449590744e-07
1835,1.8680827196249083e-07,4.6134837816680374e-07
1836,2.083432480426417e-07,3.6426464866679e-07
1837,2.866651082067406e-07,3.1240930198350725e-07
1838,2.9793404321409866e-07,2.9414674340699776e-07
1839,2.0415107082616402e-07,3.3489165940370214e-07
1840,1.1911317832069557e-07,5.624434915585397e-07
1841,1.5280905474313045e-07,2.491172828023025e-07
1842,2.8912622784815767e-07,2.408267123499286e-07
1843,1.7720733613835193e-07,2.1442087327905313e-07
1844,2.2064016780287687e-07,2.974800242250275e-07
1845,1.8414752256390443e-07,3.041224259092701e-07
1846,1.7504959481939864e-07,3.424883261438083e-07
1847,3.1658221377739437e-07,5.306932209236948e-07
1848,2.051531546864993e-07,5.647745686676586e-07
1849,2.0864742733550656e-07,2.2624420892292108e-07
1850,1.7379830286046172e-07,6.103307503835254e-07
1851,2.3024495665602274e-07,3.618135260285982e-07
1852,1.9401425377374437e-07,2.9818297542227867e-07
1853,1.9229620096261613e-07,3.541355622083131e-07
1854,1.1430461621664278e-07,3.6005954573425925e-07
1855,1.719447624282111e-07,5.50860065118286e-07
1856,1.1234500962853389e-07,5.927881625567011e-07
1857,1.571845890113721e-07,5.125584578991038e-07
1858,8.514996041597556e-08,5.715813724549434e-07
1859,1.4461772246399107e-07,6.981369766734247e-07
1860,5.60705014196472e-07,7.163292754519546e-07
1861,1.763770467455572e-07,4.4047101460664706e-07
1862,1.0888347223847461e-07,4.770993440317284e-07
1863,9.439833159596844e-08,7.526893375242594e-07
1864,1.486365611702567e-07,5.005695999926729e-07
1865,1.2237795188330125e-07,6.382481085864811e-07
1866,1.3429091927363856e-07,5.48354568863374e-07
1867,1.0918825665839904e-07,4.7509024625469465e-07
1868,1.0966520536115354e-07,3.8629815257706923e-07
1869,8.790334371511221e-08,5.806504441707716e-07
1870,1.5481931425753714e-07,4.782196585395582e-07
1871,9.452847815616394e-08,4.184743787050138e-07
1872,1.1006157296655772e-07,4.3178003350519134e-07
1873,1.5862911295627669e-07,4.5314054952783067e-07
1874,1.332337859483168e-07,3.9790897110592027e-07
1875,2.0940789680068406e-07,6.236464584752355e-07
1876,1.0278224960025284e-07,6.00973874220756e-07
1877,1.6822699777652161e-07,6.704340624885674e-07
1878,2.143876439708592e-07,4.269635649478687e-07
1879,1.2035370577923032e-07,4.826366897248136e-07
1880,1.5852080514910938e-07,3.4592191444637876e-07
1881,1.2480788336155513e-07,3.4792812098061177e-07
1882,2.642187848511668e-07,3.4275233229408286e-07
1883,2.799467148095758e-07,6.610028542297641e-07
1884,1.1618986661687813e-07,1.5461174420750012e-06
1885,1.2440076779807185e-07,1.0055191594915414e-06
1886,1.35522741750993e-07,8.692815800515064e-07
1887,1.93909063028741e-07,4.98809828219926e-07
1888,1.4076164656096068e-07,5.040788622068249e-07
1889,2.506054730400109e-07,5.538380851710656e-07
1890,1.3502035778323318e-07,3.677010811387049e-07
1891,2.9958834346643926e-07,5.481829195019827e-07
1892,3.3787280573349676e-07,6.105530960809347e-07
1893,1.1269902422950118e-06,3.8613271163834284e-07
1894,2.1047141474106468e-07,3.585575811815289e-07
1895,1.1014064926762046e-07,4.6222959104724737e-07
1896,1.4152869398653678e-07,2.7657066276054465e-07
1897,2.0684832635620154e-07,3.4319343455990747e-07
1898,1.8163319970287972e-07,3.1686787993479015e-07
1899,1.260287909587987e-07,2.691930678366816e-07
1900,1.6092264853995175e-07,3.047148235957309e-07
1901,1.6095568655671855e-07,2.917321693107766e-07
1902,2.1605248967659918e-07,3.005093631713862e-07
1903,2.65150816858295e-07,2.8297154130996205e-07
1904,2.1874724076553775e-07,2.499200775218924e-07
1905,2.4720036384540123e-07,5.274295675761209e-07
1906,2.3097389312276562e-07,4.825245074613349e-07
1907,3.0497060254930375e-07,4.217131435169108e-07
1908,2.603036168835615e-07,3.4723520148105536e-07
1909,4.692339121703526e-07,3.4051088126929585e-07
1910,2.6987960999314e-07,2.923250351782869e-07
1911,3.89983427995233e-07,4.383988203571221e-07
