year,plusieurs_DET amas_NOUN
1800,0.0
1801,2.8574191901498125e-08
1802,1.1189200677108602e-08
1803,7.801356893821776e-09
1804,1.2359254952798437e-08
1805,1.1371510844071508e-08
1806,2.881669125542885e-09
1807,0.0
1808,4.5321479902327155e-09
1809,9.036122072814123e-09
1810,2.3401267590372754e-09
1811,2.5070768572277302e-08
1812,3.7340914360584065e-08
1813,2.0130190847567064e-08
1814,6.293354282149721e-09
1815,0.0
1816,4.6352077731626196e-09
1817,1.0898113744772786e-08
1818,1.3113295338484932e-08
1819,1.035105001712111e-09
1820,3.559944250497438e-08
1821,3.0570614484304315e-08
1822,3.5089655625597516e-08
1823,3.9530747564242574e-09
1824,2.105278262831689e-08
1825,6.251864714812427e-08
1826,3.6112734580484585e-08
1827,2.5808365222701468e-08
1828,4.586150570418113e-09
1829,1.3717081248643126e-08
1830,5.218417920005436e-09
1831,6.236482441579483e-09
1832,6.359085613638626e-08
1833,3.59092489077284e-08
1834,3.733812370398937e-09
1835,2.2689263801112247e-08
1836,9.409049983588602e-09
1837,1.3219992989199625e-08
1838,1.1361891427696946e-08
1839,2.3771016266493916e-08
1840,3.821813088222825e-09
1841,3.017657723702882e-08
1842,3.287049832323419e-08
1843,3.662284986383213e-08
1844,1.811225214254364e-08
1845,1.1160455670733427e-08
1846,1.4636253098387897e-08
1847,3.667392256545554e-08
1848,5.470750785718792e-08
1849,1.5920887719289567e-08
1850,1.2899092460827433e-08
1851,4.1276407403145754e-08
1852,1.6276363368206148e-08
1853,3.4040009921909586e-08
1854,2.338049043260071e-08
1855,2.9718847827098216e-08
1856,1.501384794266869e-08
1857,1.318007414319311e-08
1858,1.8106600663259087e-08
1859,1.323965115318515e-08
1860,9.15436793036406e-09
1861,1.7449064970698203e-08
1862,1.581295278052508e-08
1863,3.995696662428827e-09
1864,1.4384183399940298e-08
1865,2.2592852699787613e-08
1866,6.3252967308358166e-09
1867,2.329349513274792e-08
1868,1.1855697756857353e-08
1869,2.2952540756904227e-08
1870,2.2936195165357276e-08
1871,1.911811864374613e-08
1872,1.9956219787786722e-08
1873,1.2570609442263958e-08
