year,leurs_DET os_NOUN,leurs_DET gosses_NOUN
1800,8.237711046632512e-07,0.0
1801,5.667214679760946e-07,0.0
1802,4.520437073551875e-07,0.0
1803,8.210928008622886e-07,0.0
1804,6.352656960473269e-07,0.0
1805,7.050336705560767e-07,0.0
1806,7.031272453161819e-07,0.0
1807,4.83982385279802e-07,0.0
1808,5.869131616265122e-07,0.0
1809,4.924686400897826e-07,0.0
1810,5.663107032205517e-07,0.0
1811,3.911039723192289e-07,0.0
1812,7.414838680830371e-07,0.0
1813,3.0482860791103406e-07,0.0
1814,2.926409639059102e-07,0.0
1815,3.6412516735140343e-07,0.0
1816,7.068691658673742e-07,0.0
1817,6.974792654546036e-07,0.0
1818,7.760686528968108e-07,0.0
1819,6.200279045742718e-07,0.0
1820,3.5124784503182127e-07,0.0
1821,3.116230424815569e-07,0.0
1822,6.386317323858748e-07,0.0
1823,4.842516467817859e-07,0.0
1824,4.6905597717028513e-07,0.0
1825,6.427973140432641e-07,0.0
1826,4.3335281674217185e-07,0.0
1827,4.5441155549497125e-07,0.0
1828,4.439393741506592e-07,0.0
1829,5.015307920075429e-07,0.0
1830,3.788571483198666e-07,0.0
1831,4.770908930140649e-07,0.0
1832,3.9372211446675465e-07,0.0
1833,7.320853185888154e-07,0.0
1834,5.946096166553616e-07,0.0
1835,6.768963771719427e-07,0.0
1836,6.411595840916107e-07,0.0
1837,5.656765198480684e-07,0.0
1838,4.3364552659852507e-07,0.0
1839,4.2927656274116543e-07,0.0
1840,3.681679974221197e-07,0.0
1841,4.1669359518436977e-07,0.0
1842,3.427923296328572e-07,0.0
1843,3.8867474660975176e-07,0.0
1844,5.137293221935124e-07,0.0
1845,4.1014676810391393e-07,0.0
1846,3.7117539264386323e-07,0.0
1847,3.3222258455367637e-07,0.0
1848,3.1778625952938455e-07,8.045221711050488e-10
1849,3.93832497280755e-07,0.0
1850,4.4196363724324783e-07,0.0
1851,3.8954609848929067e-07,0.0
1852,4.101643682474787e-07,0.0
1853,5.840549555102825e-07,0.0
1854,3.6785303691999616e-07,0.0
1855,4.112876368367324e-07,0.0
1856,3.7223991089518904e-07,0.0
1857,4.4080027983284253e-07,0.0
1858,3.2640819958018596e-07,0.0
1859,4.4760204787053226e-07,0.0
1860,3.904337937399305e-07,0.0
1861,3.961409413832939e-07,0.0
1862,3.3207200011986515e-07,0.0
1863,4.1155675090109867e-07,0.0
1864,3.994008466179366e-07,0.0
1865,3.3136185439985866e-07,0.0
1866,3.474047645113387e-07,0.0
1867,3.0572712361731647e-07,0.0
1868,3.131880248474772e-07,0.0
1869,2.9887138097706156e-07,0.0
1870,3.922089488739289e-07,0.0
1871,2.9102027099270344e-07,0.0
1872,3.785634321573639e-07,0.0
1873,3.7532247088023496e-07,0.0
1874,3.124720624470001e-07,0.0
1875,2.6261808372396445e-07,0.0
1876,2.9383632949020466e-07,0.0
1877,2.7955367620791094e-07,0.0
1878,2.596808119648131e-07,6.039088673581716e-10
1879,2.914148069521616e-07,0.0
1880,2.7981808514709883e-07,1.2835692508872398e-09
1881,2.537992793705257e-07,0.0
1882,2.3293848627758962e-07,6.655385131892899e-10
1883,2.597248212055092e-07,0.0
1884,2.5086449184641424e-07,0.0
