year,leurs_DET amas_NOUN
1800,6.288328968651058e-09
1801,4.0480102825313224e-08
1802,0.0
1803,3.900678446910888e-09
1804,2.4718509461507665e-09
1805,4.8328921309348516e-08
1806,5.76333825108577e-09
1807,1.4234775136401367e-08
1808,4.5321479902327155e-09
1809,2.2590304959990704e-08
1810,4.212228121858175e-08
1811,0.0
1812,2.400487453257938e-08
1813,4.3136125782439194e-08
1814,2.5173417128598885e-08
1815,0.0
1816,0.0
1817,9.341240669868967e-09
1818,7.152706205104664e-09
1819,1.5526575580793178e-08
1820,5.933240565525466e-09
1821,1.1833785507064931e-08
1822,1.4035862250239006e-08
1823,5.929612356680991e-09
1824,4.968456579490521e-08
1825,5.283265824829186e-09
1826,8.80798456392995e-09
1827,1.013900075008678e-08
1828,2.0179061976932644e-08
1829,3.086343447478157e-08
1830,8.349468672008697e-09
1831,2.9623292263636358e-08
1832,2.3000948257134723e-08
1833,2.3167256557599103e-08
1834,2.333632664885954e-08
1835,9.832014313815307e-09
1836,1.1425274948351216e-08
1837,6.262101948095733e-09
1838,8.2058102535143e-09
1839,7.690622805256453e-09
1840,1.1465439264668476e-08
1841,3.146068650039524e-08
1842,1.3416529665022381e-08
1843,5.906911015873817e-09
1844,6.037417232818143e-09
1845,2.1204865419122143e-08
1846,5.269050973311096e-09
1847,3.775256551818984e-09
1848,4.82713291560799e-09
1849,8.379414939696517e-10
1850,9.504594444820214e-09
1851,1.0319102017319892e-08
1852,1.3021090872200602e-09
1853,1.3735443449292006e-08
1854,1.558699302961486e-08
1855,6.368324534378189e-09
1856,1.65670055451983e-08
1857,9.274867096564776e-09
1858,1.0276719697444037e-08
1859,1.2730433596175317e-08
1860,9.154367819341758e-10
1861,1.839225838295988e-08
1862,8.13237568952907e-09
1863,1.39849385405455e-08
1864,1.4384183621984903e-08
1865,1.976874586251398e-08
1866,6.811858188626729e-09
1867,1.8925964795357686e-08
1868,7.903798504571569e-09
1869,1.1720445947105418e-08
1870,2.2936195609446486e-08
1871,2.0180236148803488e-08
1872,1.3304146118109372e-08
1873,2.0352415752711295e-08
1874,2.9873046258899194e-08
1875,1.2015206607429718e-08
1876,1.4510435519810017e-08
1877,1.1132669008873108e-08
1878,2.0532901601200138e-08
1879,2.8102896787451925e-08
1880,8.343199908722454e-09
1881,1.2550513517339823e-08
1882,1.6638463051776853e-08
1883,3.033282780506852e-08
1884,2.1125431182156262e-08
1885,1.9336907297606842e-08
1886,1.5488313076517102e-08
1887,4.700825684267329e-08
1888,2.346027505595316e-08
1889,1.3783300722991498e-08
1890,2.7528423096612187e-08
1891,7.649063604731055e-09
1892,1.3790726782758611e-08
1893,2.3401982574000613e-08
1894,2.9617234886814003e-08
