year,six_DET gouttes_NOUN
1800,1.0375742798274246e-07
1801,1.3334622650518213e-07
1802,1.5888664961494214e-07
1803,2.0478562134940148e-07
1804,2.1010733064485976e-07
1805,1.3930100806192058e-07
1806,1.498467980809437e-07
1807,8.540865259476504e-08
1808,3.6257183921861724e-08
1809,1.4231892864202678e-07
1810,1.0998595456612748e-07
1811,2.933279859007598e-07
1812,2.0537503342410446e-07
1813,1.7254449335979416e-07
1814,1.2901375789908798e-07
1815,1.6183341911002458e-07
1816,8.343373991692715e-08
1817,1.1676550570882682e-07
1818,1.227881321064217e-07
1819,1.1800196908495764e-07
1820,7.357218034798052e-08
1821,8.57949515875589e-08
1822,8.421517350143404e-08
1823,7.214361374963119e-08
1824,7.326367956750346e-08
1825,6.868245772118087e-08
1826,1.4885492927163568e-07
1827,1.1060727445055818e-07
1828,1.403362119845042e-07
1829,1.251683681147142e-07
1830,1.5863990387998683e-07
1831,1.3720260993999034e-07
1832,2.6383440232535804e-07
1833,1.8417968750128466e-07
1834,9.427876079826092e-08
1835,1.285724948729694e-07
1836,9.677879936331735e-08
1837,1.0784730886115312e-07
1838,9.089512964521873e-08
1839,1.3703291212863178e-07
1840,1.0892167379150663e-07
1841,9.181384763579103e-08
1842,1.1873628835701311e-07
1843,9.037574244530333e-08
1844,7.02535829510964e-08
1845,5.970843891534017e-08
1846,7.318126904465316e-08
1847,6.525800344547861e-08
1848,9.493361730061878e-08
1849,7.625267528510449e-08
1850,8.757804881298625e-08
1851,1.0770562952622242e-07
1852,8.593919820221174e-08
1853,1.1346670314438256e-07
1854,7.585669914433879e-08
1855,9.074862816760287e-08
1856,8.179958888021588e-08
1857,5.857810903009408e-08
1858,6.117095163737929e-08
1859,6.059686397108521e-08
1860,8.376246637964435e-08
1861,7.121104977914072e-08
1862,5.286043980312627e-08
1863,5.8437063188421234e-08
1864,7.767459053731329e-08
1865,7.295608694946054e-08
1866,8.174229881863226e-08
1867,6.26012663929032e-08
1868,5.236266598096506e-08
1869,4.248661755745786e-08
1870,6.651496908816057e-08
1871,3.823623728749226e-08
1872,7.861541273523898e-08
1873,1.0595228194798523e-07
1874,7.408515045881359e-08
1875,5.49266601090892e-08
1876,3.869449538562719e-08
1877,5.566334415618712e-08
1878,3.442280660514996e-08
1879,1.2157557527370244e-07
1880,4.10742171386147e-08
1881,4.253229568540462e-08
1882,7.986462047249177e-08
1883,7.330433504648681e-08
1884,5.479408571318345e-08
1885,7.541393842736e-08
1886,5.033701921952627e-08
1887,6.594213730615195e-08
1888,7.798956147553326e-08
1889,7.204907492841528e-08
1890,6.751017966877271e-08
1891,9.816298529585765e-08
1892,6.205827207672598e-08
1893,5.7273272791036334e-08
1894,3.9699698417550167e-08
1895,7.282523739604585e-08
1896,7.48922701632182e-08
1897,6.875521663118889e-08
1898,4.4701003787395166e-08
1899,6.301439192668568e-08
1900,4.568126665827066e-08
1901,6.371162486473736e-08
1902,6.481574460481809e-08
1903,4.536184916581476e-08
1904,3.6009989656804464e-08
1905,4.076999715607599e-08
1906,6.275904951280609e-08
1907,2.8285638165037597e-08
1908,2.1118973236866623e-08
1909,4.2357573448725816e-08
1910,3.153048999671171e-08
1911,2.3941684190731394e-08
1912,3.4903123946605774e-08
1913,2.3863453213479602e-08
1914,2.8126323714516843e-08
1915,2.3561524287174507e-08
1916,1.098746227334857e-08
1917,2.0836207093033465e-08
1918,1.378365155346728e-08
1919,1.6574126959767455e-08
1920,2.2716695191604686e-08
1921,3.634918854800162e-08
1922,2.065821974595039e-08
1923,2.229349149729387e-08
1924,2.5783249313349188e-08
1925,2.1996355625830688e-08
1926,2.3406890647947876e-08
1927,2.7873062080630007e-08
1928,1.9424270192303084e-08
1929,2.6736975744512392e-08
1930,4.621585603103995e-08
