year,des_DET août_NOUN,des_DET gouttes_NOUN
1800,6.288328968651058e-09,1.502910670581059e-06
1801,0.0,9.381859413792881e-07
1802,0.0,7.183466834703722e-07
1803,0.0,1.0317293948070017e-06
1804,0.0,5.90772404329698e-07
1805,2.842877711017877e-09,5.031893541840304e-07
1806,1.152667650217154e-08,7.204172831620781e-07
1807,0.0,6.320240579782421e-07
1808,4.5321479902327155e-09,3.172503593162901e-07
1809,2.259030518203531e-09,5.534624603065197e-07
1810,0.0,5.054673888338357e-07
1811,0.0,5.615851796925142e-07
1812,2.6672082320544632e-09,6.134578853789208e-07
1813,0.0,4.6011866494666265e-07
1814,0.0,4.310947758767725e-07
1815,0.0,5.286557991368568e-07
1816,0.0,6.535642977922862e-07
1817,0.0,7.457423866208401e-07
1818,1.1921177378582115e-09,6.234776037672418e-07
1819,0.0,5.123770030479591e-07
1820,0.0,3.8091405052398386e-07
1821,0.0,4.60531515145135e-07
1822,0.0,5.734652290811937e-07
1823,9.882686891060644e-10,4.921578184990949e-07
1824,0.0,4.656875294273277e-07
1825,0.0,4.7109119227783935e-07
1826,0.0,5.152670912167423e-07
1827,0.0,3.9634273729660663e-07
1828,9.172301251858528e-10,5.549242132474319e-07
1829,2.571952872898464e-09,5.469686099601745e-07
1830,0.0,5.416717883122146e-07
1831,1.5591206103948707e-09,7.530552403878232e-07
1832,0.0,7.089704112672734e-07
1833,0.0,7.818948972726503e-07
1834,3.733812370398937e-09,5.89942329209947e-07
1835,0.0,6.005091819361041e-07
1836,0.0,7.244968756037196e-07
1837,6.957890930081589e-10,6.436048884950196e-07
1838,0.0,5.182285107707685e-07
1839,6.9914751765765e-10,4.866066767306165e-07
1840,0.0,5.700871295033494e-07
1841,0.0,4.6677387821603133e-07
1842,6.708265054555795e-10,5.494069301725801e-07
1843,5.906911071384968e-10,5.812400650229144e-07
1844,1.097712254427563e-09,5.279995738405319e-07
1845,1.674068439427856e-09,5.211932823101506e-07
1846,0.0,6.598022874726439e-07
1847,5.393223645455691e-10,5.285359048201599e-07
1848,0.0,5.30180109592493e-07
1849,0.0,5.530413851317917e-07
1850,0.0,7.264225558856197e-07
1851,0.0,5.507820670658248e-07
1852,2.6042181744401205e-09,4.987077615314917e-07
1853,5.971931837933653e-10,9.262466313941786e-07
1854,5.195664454227256e-10,7.398626022947496e-07
1855,1.0613874223963649e-09,6.272799772943927e-07
1856,0.0,5.508529058451117e-07
1857,4.881509085841174e-10,7.131884489641749e-07
1858,0.0,6.542844914747548e-07
1859,0.0,6.095331599453857e-07
1860,0.0,5.932030169297775e-07
1861,4.715963730639317e-10,7.234288424418089e-07
1862,9.035972525772706e-10,6.76342551797493e-07
1863,0.0,6.153372608119767e-07
1864,9.589455896019672e-10,5.98382023486721e-07
1865,4.706844358715045e-10,6.391894913360119e-07
1866,0.0,6.544249533391167e-07
1867,4.85281148598915e-10,7.633472467460933e-07
1868,4.93987406535723e-10,9.00539029236036e-07
1869,0.0,6.558565981418241e-07
1870,0.0,8.027668361165752e-07
1871,0.0,6.213388901166184e-07
1872,1.8142017887967654e-09,6.385990097834693e-07
1873,0.0,8.278643921499906e-07
1874,5.974609140757536e-10,7.498134291239467e-07
1875,5.721527140956084e-10,6.425275032029276e-07
1876,1.209202959984168e-09,7.364045973012878e-07
1877,0.0,9.060755252754404e-07
1878,0.0,7.065733549360687e-07
1879,0.0,7.215112994840567e-07
1880,0.0,6.892767032695701e-07
1881,0.0,5.745346369767645e-07
1882,0.0,7.081329946867498e-07
1883,0.0,7.709593745630627e-07
1884,0.0,7.195849471841598e-07
1885,0.0,8.28264214602914e-07
1886,1.2906927748801422e-09,7.550553036139718e-07
1887,0.0,7.449502881229364e-07
1888,1.268122939990235e-09,7.2600038847348e-07
1889,1.8795409673089125e-09,6.509477099569949e-07
1890,6.554386478008212e-10,6.521614365206929e-07
1891,6.374220040683554e-10,7.177371905697782e-07
1892,1.2537024751679837e-09,7.57236294557373e-07
1893,6.158416554491453e-10,6.811208703716432e-07
1894,0.0,7.108136452771419e-07
1895,0.0,5.970465395410685e-07
1896,1.769108692872834e-09,6.793377478331308e-07
1897,1.1653427112179315e-09,7.452366435067859e-07
1898,0.0,6.671200583063808e-07
1899,1.1055156790007459e-09,6.837614261456793e-07
1900,2.07642125715779e-09,6.514771814236653e-07
1901,0.0,6.617067109804253e-07
1902,0.0,6.731998918318993e-07
1903,5.400220270956879e-10,7.641311572381682e-07
1904,0.0,7.067632354917919e-07
1905,0.0,6.636736307186197e-07
1906,1.0288369045596824e-09,8.318146358377021e-07
1907,5.142843373384665e-10,8.835405029827825e-07
1908,4.911389073214423e-10,7.43093167443476e-07
1909,5.500983557560346e-10,8.003931029065825e-07
1910,1.6032452032632705e-09,8.817848629050218e-07
1911,0.0,8.102929704989492e-07
1912,5.209421227725386e-10,7.506775787646802e-07
1913,5.30298971401777e-10,7.413579803383641e-07
1914,1.3393487430235496e-09,8.103060024078346e-07
1915,0.0,8.022698798626493e-07
1916,0.0,1.0734750457430664e-06
1917,0.0,1.0736129709698616e-06
1918,3.44591288836682e-09,9.671528751198366e-07
1919,0.0,6.546780131344576e-07
1920,1.514446346106979e-09,8.071999211267666e-07
1921,0.0,9.117588177787184e-07
1922,7.377935484775833e-10,8.300177576359147e-07
1923,1.0615948120573648e-09,7.420547873948635e-07
1924,0.0,8.933895667695424e-07
1925,0.0,8.33661857768675e-07
1926,0.0,7.579374070587619e-07
1927,1.1149224876660924e-09,8.540306248860929e-07
1928,1.1426041224282812e-09,9.437910186704812e-07
1929,0.0,8.199338914494092e-07
1930,0.0,7.531083578982134e-07
1931,0.0,6.740565741125693e-07
1932,0.0,6.422288407748056e-07
1933,0.0,8.362112779991548e-07
1934,0.0,7.356690403526045e-07
1935,0.0,7.635765388869231e-07
1936,0.0,9.045037021593316e-07
1937,0.0,7.680581877167469e-07
1938,0.0,8.219945719645239e-07
1939,0.0,8.121140790962045e-07
1940,0.0,6.263384051408138e-07
1941,0.0,1.0241714285541548e-06
1942,0.0,9.830845968394897e-07
1943,0.0,9.174223141172888e-07
1944,0.0,8.771998327716801e-07
1945,0.0,8.496165708749004e-07
1946,1.3921104269343232e-09,8.756374674234735e-07
1947,2.3841741914054637e-09,8.22540125788862e-07
1948,0.0,8.458328935034842e-07
1949,0.0,6.862088647308084e-07
1950,0.0,7.380940871826169e-07
