year,trois_DET airs_NOUN,trois_DET guerres_NOUN
1800,4.087413785214267e-08,6.60274537267469e-08
1801,8.096020565062645e-08,5.714838380299625e-08
1802,1.7902721083373763e-08,2.9091921760482364e-08
1803,2.145373123596528e-08,1.1311967540450496e-07
1804,1.1123329102247226e-07,1.2359254508709228e-07
1805,0.0,1.108722305076526e-07
1806,1.613734639249742e-07,5.76333825108577e-09
1807,2.2775641372874134e-08,8.825561081948763e-08
1808,1.5862518409903714e-08,3.172503681980743e-08
1809,8.132509776714869e-08,7.68070356205186e-08
1810,2.106114083133548e-08,2.3401266702194334e-08
1811,8.524060923775778e-08,6.518399686683551e-08
1812,7.20146218213813e-08,1.040211223823917e-07
1813,1.552900432688631e-07,6.901780125190271e-08
1814,4.090680105761635e-08,9.125363531481412e-08
1815,1.0788894222457657e-08,8.361393355471591e-08
1816,1.3905623319487859e-08,5.7940098940889584e-08
1817,1.5568734412774177e-08,9.029865566390072e-08
1818,1.1921177378582115e-08,4.530047426065664e-08
1819,2.5877625819958894e-08,8.901903325586602e-08
1820,3.441279616822612e-08,6.407899988403187e-08
1821,4.5362847478358503e-08,8.38226491550742e-08
1822,3.308453244699194e-08,1.0526896687679255e-07
1823,7.906149623870817e-09,1.0574474629265751e-07
1824,3.452656205382709e-08,1.1536924393595882e-07
1825,1.8491430608946757e-08,1.012625929774913e-07
1826,2.2019961409824873e-08,9.336463335785083e-08
1827,1.1982455361270183e-08,6.636436467033491e-08
1828,1.7427372434042354e-08,5.1364885678140126e-08
1829,4.972442174677738e-08,4.715246948450158e-08
1830,5.0096812920230605e-08,3.652892388572582e-08
1831,4.989186042081428e-08,7.951515357262906e-08
1832,3.5177921020590475e-08,7.576782889984202e-08
1833,4.2859427118457916e-08,3.243415847009601e-08
1834,2.0535967593104942e-08,6.16079063320285e-08
1835,3.327758690829796e-08,8.24376584773745e-08
1836,2.419469957715137e-08,6.115882306145792e-08
1837,1.87863058442872e-08,4.6617867677234415e-08
1838,1.704283669745621e-08,9.657607424884418e-08
1839,4.824117816326634e-08,6.012668762878093e-08
1840,2.9300568360479673e-08,5.6053261143773625e-08
1841,2.8892467973662406e-08,2.0545755319290038e-08
1842,2.68330611064016e-08,4.8970336230524936e-08
1843,1.8311423488626133e-08,5.3162200197576226e-08
1844,1.866110915793584e-08,6.092302973215169e-08
1845,1.3950569588416784e-08,6.473064617651403e-08
1846,1.2294452567118697e-08,5.561776106333127e-08
1847,2.6966118227278457e-08,7.280851921365183e-08
1848,2.654923214606697e-08,7.482056524343861e-08
1849,2.011059585527164e-08,2.681412802907346e-08
1850,2.5798184921654865e-08,5.5669765686161554e-08
1851,5.0305621446256055e-08,3.1602251482354404e-08
1852,3.971432693816723e-08,3.711010876372711e-08
1853,1.7318602552052198e-08,4.658106700361486e-08
