year,deux_DET amas_NOUN,deux_DET gamma_NOUN
1800,4.4018303668735825e-08,0.0
1801,2.6193008650921e-08,0.0
1802,3.8043282302169246e-08,8.951360541686881e-09
1803,1.3652374342143503e-08,1.950339223455444e-09
1804,3.213406074564773e-08,0.0
1805,1.7057265822018053e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,4.518061036407062e-09,1.581321384946932e-08
1810,1.8721014072298203e-08,0.0
1811,7.521229861140455e-09,0.0
1812,1.600324850414836e-08,0.0
1813,0.0,0.0
1814,6.293354459785405e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,3.244645441213834e-08,0.0
1817,3.113746860350375e-08,0.0
1818,3.5763532135746345e-09,0.0
1819,1.6561680027393777e-08,0.0
1820,8.306536791735653e-09,0.0
1821,1.3806083387635226e-08,0.0
1822,1.0025615893027862e-09,0.0
1823,1.2847492847356534e-08,0.0
1824,7.57900142644985e-09,0.0
1825,2.1133063299316746e-08,0.0
1826,1.0569580766173203e-08,0.0
1827,2.7651818612639545e-09,0.0
1828,1.559291185060374e-08,0.0
1829,1.1145129263923081e-08,0.0
1830,2.2961039292113128e-08,0.0
1831,3.1182411319718994e-08,0.0
1832,2.841293600397421e-08,0.0
1833,5.444305539725747e-08,0.0
1834,1.4001796166951408e-08,0.0
1835,5.596685070941021e-08,0.0
1836,3.5619975413681004e-08,2.688300027031687e-09
1837,1.7394727436226276e-08,6.262101948095733e-09
1838,2.651107955387033e-08,0.0
1839,1.5381244722334486e-08,0.0
1840,1.9109065441114126e-09,0.0
1841,3.852329122366882e-09,0.0
1842,2.683306021822318e-09,0.0
1843,4.430183153658618e-08,0.0
1844,2.4698525891153622e-08,0.0
1845,1.674068350610014e-08,2.7901139176833567e-09
1846,1.7563504428608212e-08,2.9272506640865004e-09
1847,1.3483059113639229e-08,0.0
1848,4.103063133698015e-08,2.413566457803995e-09
1849,2.262441967104678e-08,0.0
1850,8.146795238417326e-09,0.0
1851,1.2898877521649865e-09,0.0
1852,1.3021090872200602e-08,2.6042181744401205e-09
1853,2.6873693936835252e-08,5.971931837933653e-10
1854,1.195002785614463e-08,2.0782657816909023e-09
1855,1.6451505047143655e-08,0.0
1856,3.002769588533738e-08,0.0
1857,2.4407546206361985e-08,4.393358121745905e-09
1858,1.761723295023998e-08,9.787352039936081e-10
1859,1.5785736939832873e-08,5.092173349652285e-10
1860,1.1442959468865865e-08,4.577183909670879e-10
1861,2.405141535932742e-08,1.8863854922557266e-09
1862,3.34331000662047e-08,4.517986262886353e-10
1863,2.197633214295891e-08,4.994620828036034e-10
1864,4.075518633683828e-08,9.589455896019672e-10
1865,8.89593603781158e-08,1.4120533631256649e-09
1866,2.6274309838925092e-08,0.0
1867,3.396968040192405e-08,0.0
1868,2.9639243948054173e-08,1.4819622196071691e-09
1869,6.836927135545068e-08,1.953407657850903e-09
1870,5.390005952676802e-08,0.0
1871,3.717412155879174e-08,3.18635318130589e-09
1872,2.479409177968961e-08,6.047339295989218e-10
1873,4.489503185878263e-08,5.986004469882289e-10
1874,5.616132625618775e-08,0.0
1875,5.492665877682157e-08,0.0
1876,6.529695961710047e-08,1.209202959984168e-09
1877,5.504486111362894e-08,0.0
1878,3.140326043649111e-08,0.0
1879,5.254019797007459e-08,0.0
1880,3.465636866373245e-08,0.0
1881,3.974329465528115e-08,2.091752326904839e-09
1882,4.3925543202760764e-08,0.0
1883,7.899173937175874e-08,0.0
1884,6.46966329398424e-08,0.0
1885,5.414334092179729e-08,0.0
1886,3.872078235822585e-08,6.453463874400711e-10
1887,4.439668899181015e-08,0.0
1888,3.233713385952797e-08,0.0
1889,4.2602930960811136e-08,0.0
1890,6.423298781754738e-08,0.0
1891,6.69293100941104e-08,0.0
1892,4.450643897868645e-08,0.0
1893,9.915050475095555e-08,0.0
1894,4.600123837406045e-08,0.0
1895,4.0926579236710836e-08,0.0
