year,autres_ADJ ans_NOUN,autres_ADJ gants_NOUN
1800,2.5153315874604232e-08,0.0
1801,9.524730337773235e-09,0.0
1802,4.475680270843441e-09,0.0
1803,1.950339223455444e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,5.685755422035754e-09,0.0
1806,8.645007376628655e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,4.5321479902327155e-09,0.0
1809,6.7770917766551975e-09,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,6.293354282149721e-09,0.0
1815,5.394447111228828e-09,0.0
1816,0.0,0.0
1817,4.670620334934483e-09,0.0
1818,4.768470951432846e-09,0.0
1819,1.3456364911235141e-08,0.0
1820,1.4239777357261119e-08,0.0
1821,1.3806083387635226e-08,0.0
1822,2.105379337535851e-08,0.0
1823,4.941343334508019e-09,9.882686891060644e-10
1824,3.3684450784221553e-09,0.0
1825,1.6730341556581152e-08,0.0
1826,4.403992281964975e-09,8.807984341885344e-10
1827,5.530363722527909e-09,1.8434546111834038e-09
1828,2.2930752408001354e-08,1.0089530988466322e-08
1829,6.001223074036943e-09,0.0
1830,7.305785310052215e-09,0.0
1831,2.182768810143898e-08,0.0
1832,6.764984683549358e-09,0.0
1833,4.6334514003376626e-09,0.0
1834,9.334531148041947e-09,0.0
1835,1.9664028627630614e-08,0.0
1836,3.36037508930076e-09,0.0
1837,3.4789454650407947e-09,6.957890930081589e-10
1838,3.1560809521380406e-09,6.312161904276081e-10
1839,2.09744255297295e-09,2.7965900706306e-09
1840,8.280595042986505e-09,6.369688665408546e-10
1841,5.1364388298225094e-09,0.0
1842,1.0062397137744483e-08,6.708265054555795e-10
1843,1.1813822142769936e-09,1.7720733769266417e-09
1844,1.6465684371524958e-09,0.0
1845,3.348136878855712e-09,0.0
1846,2.9272506640865004e-09,2.3418005312692003e-09
1847,8.089835468183537e-09,0.0
1848,4.022610855525244e-09,0.0
1849,8.379414495607307e-09,0.0
1850,2.0366988096043315e-09,0.0
1851,1.096404611544699e-08,8.384270167027807e-09
1852,1.2370036550635177e-08,1.3021090872200602e-09
