year,plusieurs_DET gouttes_NOUN
1800,3.772997558826319e-08
1801,9.048493865293494e-08
1802,5.147032311469957e-08
1803,4.095712213825209e-08
1804,7.415552971679062e-08
1805,4.5486043376286034e-08
1806,4.034336598124355e-08
1807,5.693910232196231e-09
1808,4.985362878073829e-08
1809,4.0662549327663555e-08
1810,1.0062544930633521e-07
1811,1.0028307073639553e-08
1812,3.7340915692851695e-08
1813,3.163315653864629e-08
1814,1.2586708564299443e-08
1815,6.203614333344376e-08
1816,1.3905623319487859e-08
1817,5.4490570278176165e-08
1818,9.417730417737857e-08
1819,2.5877625375869684e-08
1820,3.678609150625789e-08
1821,4.43766958735381e-08
1822,2.2056354964661296e-08
1823,3.656594316225892e-08
1824,5.3895121254754486e-08
1825,3.9624492131906663e-08
1826,3.347034194245424e-08
1827,4.516463647519231e-08
1828,4.1275355133763014e-08
1829,2.3147576133641934e-08
1830,3.6528925662082656e-08
1831,4.989185953263586e-08
1832,5.276687886635045e-08
1833,6.02348677603004e-08
1834,3.547121707470069e-08
1835,4.235329242874286e-08
1836,4.838939915430274e-08
1837,3.89641890974346e-08
1838,3.850418650586107e-08
1839,5.2436064379435265e-08
1840,3.567025563810944e-08
1841,4.044945534076305e-08
1842,1.677066263638949e-08
1843,4.016699506337318e-08
1844,4.555505839221041e-08
1845,3.459741293454499e-08
1846,4.625055893825447e-08
1847,5.3932235566378495e-08
1848,5.95346403287067e-08
1849,6.871120117324381e-08
1850,3.394497838371535e-08
1851,4.643595974407333e-08
1852,9.440290615891911e-08
1853,3.523439673358553e-08
1854,2.1302223984775992e-08
1855,4.988520885262915e-08
1856,4.193523306383895e-08
1857,3.9540225316159194e-08
1858,2.7404585267731818e-08
1859,2.8006952978998356e-08
1860,2.7463104124159088e-08
1861,3.914249901981748e-08
1862,6.68661996883202e-08
1863,5.693867777267769e-08
1864,3.212467869495583e-08
1865,4.848049783845454e-08
1866,4.281739285350028e-08
1867,3.688136729351754e-08
1868,4.100095551962113e-08
1869,3.320792973937614e-08
1870,7.511603827836666e-08
1871,6.585129597169725e-08
1872,5.6844989160254045e-08
1873,8.859286348972262e-08
1874,4.958925714504403e-08
1875,4.462791264314703e-08
1876,5.3204928462946555e-08
1877,6.679601227688181e-08
1878,5.314397977240759e-08
1879,5.376206324569921e-08
1880,4.171599954361227e-08
1881,3.6257038260600893e-08
1882,6.322616030729478e-08
1883,6.635305993540896e-08
1884,3.1688145440966764e-08
1885,5.672159275604827e-08
1886,5.3563748991791726e-08
1887,5.4842967500690065e-08
1888,6.974676436399818e-08
1889,3.3831739187917265e-08
1890,2.4906668727453507e-08
1891,5.035633776628856e-08
1892,4.638699024894777e-08
1893,4.0645549148621285e-08
1894,3.843938944925185e-08
1895,1.444467478961542e-08
1896,5.6021774275105685e-08
1897,3.787363955787271e-08
1898,3.621347133275776e-08
1899,2.1557555740514545e-08
1900,2.6993476454073573e-08
1901,4.526878438770865e-08
1902,4.3701525287431764e-08
1903,4.320176305583345e-08
1904,3.869729958694279e-08
1905,4.902721251198727e-08
1906,3.137952631071528e-08
1907,6.222840198688573e-08
1908,2.2592390180875555e-08
1909,5.9410623698408216e-08
1910,2.5651923252212327e-08
1911,4.149891885685264e-08
1912,4.740573444905749e-08
1913,3.8711824856818566e-08
1914,5.2234600644851525e-08
1915,4.947920118070215e-08
1916,2.307367097387214e-08
1917,4.057576963312215e-08
1918,3.331049214239101e-08
1919,1.6574126959767455e-08
1920,2.6502810612782923e-08
1921,4.1650110915725236e-08
1922,6.49258353746518e-08
1923,4.458698343867695e-08
1924,1.675911143195208e-08
1925,2.3096173862313663e-08
1926,3.009457361091705e-08
1927,2.6758140592164636e-08
1928,2.9707706517001498e-08
1929,4.233354289340241e-08
1930,2.7309369543537798e-08
1931,4.676196141417677e-08
1932,2.9590749406338546e-08
1933,3.6706120587481905e-08
1934,1.677421224144382e-08
1935,2.5133395809007197e-08
1936,4.001155806676593e-08
1937,2.6441348666139675e-08
1938,5.186085871855539e-08
1939,2.9058696782158222e-08
1940,3.296517903095264e-08
1941,3.5418032950929046e-08
1942,6.978687139280737e-08
1943,3.193558839598154e-08
1944,3.213186161588055e-08
1945,1.089252021913012e-08
1946,1.5313215584455975e-08
1947,1.907339353124371e-08
1948,1.4133454184772631e-08
1949,2.748762362170254e-08
1950,2.3397795700930146e-08
1951,2.5587365115598004e-08
1952,3.901577316778315e-08
1953,4.632745742583211e-08
1954,2.247683239531284e-08
1955,2.0648338150408563e-08
1956,2.180285396669035e-08
1957,1.325255621908994e-08
1958,1.902615986981715e-08
1959,8.525822714489095e-09
1960,1.3841666479663672e-08
1961,1.8065213991391715e-08
1962,1.7757477988045167e-08
1963,6.466053470433053e-09
1964,1.8251904876365188e-08
1965,1.641613067704384e-08
1966,1.8278946356531378e-08
1967,1.4297972972254769e-08
1968,2.3355362088750553e-08
1969,1.1354394285900682e-08
1970,1.3796174702651598e-08
1971,1.0790634497048757e-08
1972,7.69522046084603e-09
1973,1.1577727887512879e-08
1974,3.375343005096454e-09
1975,5.140332159925265e-09
1976,8.570290255249802e-09
1977,1.057820719907454e-08
1978,1.247524139547096e-08
