year,quelques_DET os_NOUN,quelques_DET gosses_NOUN
1800,1.1947824418712116e-07,0.0
1801,9.524730337773235e-08,0.0
1802,1.432217686669901e-07,0.0
1803,1.8723257144692695e-07,0.0
1804,1.4089550992579802e-07,0.0
1805,1.4498677014529449e-07,0.0
1806,3.054569219784753e-07,0.0
1807,1.8220512254529808e-07,0.0
1808,1.3369836437959748e-07,0.0
1809,1.4457795316502597e-07,0.0
1810,1.521082393374229e-07,0.0
1811,9.025476321866677e-08,0.0
1812,4.6142702103679767e-07,0.0
1813,2.8469842527911737e-07,0.0
1814,1.2272040805783035e-07,0.0
1815,1.4025562222741428e-07,0.0
1816,1.3210342864056202e-07,0.0
1817,5.7604317760251433e-08,0.0
1818,1.478225941653477e-07,0.0
1819,1.635465967098071e-07,0.0
1820,9.730514705097448e-08,0.0
1821,2.021605176594221e-07,0.0
1822,1.6943290859217086e-07,0.0
1823,1.788766308408185e-07,0.0
1824,1.002112401948807e-07,0.0
1825,2.2629988016831248e-07,0.0
1826,1.1538459609994334e-07,0.0
1827,1.7881509517536642e-07,0.0
1828,2.0179062154568328e-07,0.0
1829,1.8689523528792051e-07,0.0
1830,1.73251471835556e-07,0.0
1831,1.60589427755653e-07,0.0
1832,1.7453660161592666e-07,0.0
1833,3.139163355925234e-07,0.0
1834,2.566996055719528e-07,0.0
1835,2.2840526270329065e-07,0.0
1836,2.2380097464136384e-07,0.0
1837,1.864714720412053e-07,0.0
1838,1.7042836830682973e-07,0.0
1839,1.9925704286549717e-07,0.0
1840,1.248458971758737e-07,0.0
1841,1.9775289583634503e-07,0.0
1842,1.5160678845660414e-07,0.0
1843,1.6244004896748265e-07,0.0
1844,9.550096724542101e-08,0.0
1845,1.5010813214644259e-07,0.0
1846,1.1240642328047556e-07,0.0
1847,1.1163972857275439e-07,0.0
1848,9.654265958891628e-08,0.0
1849,1.2569122276318012e-07,0.0
1850,9.165144820855176e-08,0.0
1851,1.470471966413811e-07,0.0
1852,1.542999292780678e-07,0.0
1853,2.5261271474619207e-07,0.0
1854,1.4028294259560425e-07,0.0
1855,1.5496256366986927e-07,0.0
1856,1.0923869453449697e-07,0.0
1857,1.2106142244228124e-07,0.0
1858,1.003203546900977e-07,0.0
1859,1.1610155303820591e-07,0.0
1860,1.4921619917451778e-07,0.0
1861,1.3157538258923296e-07,0.0
1862,1.3508778895499063e-07,0.0
1863,1.7830796217310763e-07,0.0
1864,2.2774957564308806e-07,0.0
1865,2.0427704505721067e-07,0.0
1866,1.6543083880549148e-07,0.0
1867,2.460375405632931e-07,0.0
1868,2.3661996984003508e-07,0.0
1869,2.1682825579460996e-07,0.0
1870,2.1732044608313572e-07,0.0
1871,2.5703250017272694e-07,0.0
